id,magnitud,pata,unidad,modelo_nominal,m1,m2,m3,media,diferencia_modelo,instrumento,resolucion,fecha,evidencia,estado
G01,largo_cuerpo,GLOBAL,mm,230,,,,,,,,,,pendiente
G02,ancho_cuerpo,GLOBAL,mm,120,,,,,,,,,,pendiente
G03,alto_cuerpo,GLOBAL,mm,75,,,,,,,,,,pendiente
G04,separacion_longitudinal_caderas,GLOBAL,mm,180,,,,,,,,,,pendiente
G05,separacion_transversal_caderas,GLOBAL,mm,120,,,,,,,,,,pendiente
G06,longitud_coxa,FL,mm,90,,,,,,,,,,pendiente
G07,longitud_femur,FL,mm,105,,,,,,,,,,pendiente
G08,longitud_tibia,FL,mm,132,,,,,,,,,,pendiente
G09,longitud_coxa,FR,mm,90,,,,,,,,,,pendiente
G10,longitud_femur,FR,mm,105,,,,,,,,,,pendiente
G11,longitud_tibia,FR,mm,132,,,,,,,,,,pendiente
G12,longitud_coxa,RL,mm,90,,,,,,,,,,pendiente
G13,longitud_femur,RL,mm,105,,,,,,,,,,pendiente
G14,longitud_tibia,RL,mm,132,,,,,,,,,,pendiente
G15,longitud_coxa,RR,mm,90,,,,,,,,,,pendiente
G16,longitud_femur,RR,mm,105,,,,,,,,,,pendiente
G17,longitud_tibia,RR,mm,132,,,,,,,,,,pendiente
G18,diametro_efectivo_pie,FL,mm,36,,,,,,,,,,pendiente
G19,diametro_efectivo_pie,FR,mm,36,,,,,,,,,,pendiente
G20,diametro_efectivo_pie,RL,mm,36,,,,,,,,,,pendiente
G21,diametro_efectivo_pie,RR,mm,36,,,,,,,,,,pendiente
