marcha,muestra,tiempo_s,pata,articulacion,velocidad_rad_s
gateo,0,0.000000,0,coxa,0.062925861
gateo,0,0.000000,0,femur,-0.218280911
gateo,0,0.000000,0,tibia,0.162813239
gateo,0,0.000000,1,coxa,-0.063368377
gateo,0,0.000000,1,femur,-0.039901679
gateo,0,0.000000,1,tibia,-0.111701931
gateo,0,0.000000,2,coxa,0.062925861
gateo,0,0.000000,2,femur,-0.211287042
gateo,0,0.000000,2,tibia,0.202103988
gateo,0,0.000000,3,coxa,-0.063368377
gateo,0,0.000000,3,femur,-0.032582107
gateo,0,0.000000,3,tibia,-0.123555838
gateo,1,0.180000,0,coxa,0.069733134
gateo,1,0.180000,0,femur,0.301374804
gateo,1,0.180000,0,tibia,-0.892535747
gateo,1,0.180000,1,coxa,-0.039381246
gateo,1,0.180000,1,femur,-0.016719945
gateo,1,0.180000,1,tibia,-0.066431922
gateo,1,0.180000,2,coxa,0.038665443
gateo,1,0.180000,2,femur,-0.122501028
gateo,1,0.180000,2,tibia,0.129094558
gateo,1,0.180000,3,coxa,-0.039381246
gateo,1,0.180000,3,femur,-0.012987347
gateo,1,0.180000,3,tibia,-0.072382628
gateo,2,0.360000,0,coxa,0.013717267
gateo,2,0.360000,0,femur,0.068234431
gateo,2,0.360000,0,tibia,-0.342114483
gateo,2,0.360000,1,coxa,0.000000000
gateo,2,0.360000,1,femur,0.031527545
gateo,2,0.360000,1,tibia,-0.010236976
gateo,2,0.360000,2,coxa,0.000000000
gateo,2,0.360000,2,femur,0.033417545
gateo,2,0.360000,2,tibia,-0.014717213
gateo,2,0.360000,3,coxa,0.000000000
gateo,2,0.360000,3,femur,0.029817121
gateo,2,0.360000,3,tibia,-0.007033607
gateo,3,0.540000,0,coxa,-0.054087160
gateo,3,0.540000,0,femur,-0.207587733
gateo,3,0.540000,0,tibia,0.307917617
gateo,3,0.540000,1,coxa,0.039381246
gateo,3,0.540000,1,femur,0.077071922
gateo,3,0.540000,1,tibia,0.050534267
gateo,3,0.540000,2,coxa,-0.038665443
gateo,3,0.540000,2,femur,0.186312330
gateo,3,0.540000,2,tibia,-0.152259457
gateo,3,0.540000,3,coxa,0.039381246
gateo,3,0.540000,3,femur,0.069839856
gateo,3,0.540000,3,tibia,0.062920486
gateo,4,0.720000,0,coxa,-0.092289103
gateo,4,0.720000,0,femur,-0.465199937
gateo,4,0.720000,0,tibia,0.870976848
gateo,4,0.720000,1,coxa,0.063368377
gateo,4,0.720000,1,femur,0.093628659
gateo,4,0.720000,1,tibia,0.106835518
gateo,4,0.720000,2,coxa,-0.062925861
gateo,4,0.720000,2,femur,0.268568041
gateo,4,0.720000,2,tibia,-0.211747582
gateo,4,0.720000,3,coxa,0.063368377
gateo,4,0.720000,3,femur,0.082581447
gateo,4,0.720000,3,tibia,0.125277007
gateo,5,0.900000,0,coxa,0.000000000
gateo,5,0.900000,0,femur,0.000000000
gateo,5,0.900000,0,tibia,0.000000000
gateo,5,0.900000,1,coxa,0.000000000
gateo,5,0.900000,1,femur,0.028229999
gateo,5,0.900000,1,tibia,-0.004570980
gateo,5,0.900000,2,coxa,0.000000000
gateo,5,0.900000,2,femur,0.030011227
gateo,5,0.900000,2,tibia,-0.007840965
gateo,5,0.900000,3,coxa,0.000000000
gateo,5,0.900000,3,femur,0.026432804
gateo,5,0.900000,3,tibia,-0.001344200
gateo,6,1.080000,0,coxa,-0.063368377
gateo,6,1.080000,0,femur,0.263212313
gateo,6,1.080000,0,tibia,-0.200011753
gateo,6,1.080000,1,coxa,0.062925861
gateo,6,1.080000,1,femur,0.076399435
gateo,6,1.080000,1,tibia,0.134579864
gateo,6,1.080000,2,coxa,-0.063368377
gateo,6,1.080000,2,femur,0.253092179
gateo,6,1.080000,2,tibia,-0.179594450
gateo,6,1.080000,3,coxa,0.062925861
gateo,6,1.080000,3,femur,0.040221269
gateo,6,1.080000,3,tibia,0.151892073
gateo,7,1.260000,0,coxa,-0.039381246
gateo,7,1.260000,0,femur,0.167131001
