x_m,y_m,z_m,sigma_min_m_rad,condition_number
6.413267855901698400e-02,1.248551171746181410e-01,2.310732104420559069e-02,4.652395367439881441e-02,3.370708513840158904e+00
7.152238086704156006e-02,1.258305816729511639e-01,2.453315354793753761e-02,4.793700684103258114e-02,3.377207334539498174e+00
7.899915150415748322e-02,1.265646451975572517e-01,2.560613122675214209e-02,4.911749787848462140e-02,3.409635792623971096e+00
8.653827720759030284e-02,1.270548814195229526e-01,2.632270752551028187e-02,5.006647244329593543e-02,3.459761620463349896e+00
9.411483860992306272e-02,1.272996699418662558e-01,2.668051391651072440e-02,5.078635351324261443e-02,3.524169121351394818e+00
1.017037926060572889e-01,1.272982016554984608e-01,2.667836772827775899e-02,5.128069680415969084e-02,3.601502059174725101e+00
1.092800551291688987e-01,1.270504814136039773e-01,2.631627605469141068e-02,5.155392671862529808e-02,3.691383174621867269e+00
1.168185840620565574e-01,1.265573280155990465e-01,2.559543573153976598e-02,5.161105626575893807e-02,3.794001397840339518e+00
1.242944620098324071e-01,1.258203715007216728e-01,2.451822938057075102e-02,5.145739172048491294e-02,3.909956923803024953e+00
1.316829786603631036e-01,1.248420477601995537e-01,2.308821753411924999e-02,5.109821852170443740e-02,4.040220080399436142e+00
1.389597124602320322e-01,1.236255904858029331e-01,2.131012686634004699e-02,5.053845879799625379e-02,4.186154207332481114e+00
1.461006113362561809e-01,1.221750204813969454e-01,1.918983456994675235e-02,4.978228238413112683e-02,4.349589342238688872e+00
1.530820721957457664e-01,1.204951323728209456e-01,1.673434893009650287e-02,4.883264117980552071e-02,4.532952296663567360e+00
1.598810189427303796e-01,1.185914787600239884e-01,1.395178615963061503e-02,4.769067945709509759e-02,4.739474518156129079e+00
1.664749787522829816e-01,1.164703518638388474e-01,1.085134357223843660e-02,4.635494778131320215e-02,4.973520269370611757e+00
1.728421563508280578e-01,1.141387627280580075e-01,7.443269182216251389e-03,4.482031298305608896e-02,5.241113337882070233e+00
1.789615060569127170e-01,1.116044180455561807e-01,3.738827831304400440e-03,4.307641123237093000e-02,5.550806774341959127e+00
1.848128013443220419e-01,1.088756946850564233e-01,-2.497360454354544124e-04,4.110544825501651761e-02,5.915169587974847154e+00
1.903767016976079529e-01,1.059616120027379593e-01,-4.509238891630837354e-03,3.887916318639621227e-02,6.353426823296774550e+00
1.956348165390525140e-01,1.028718020302050867e-01,-9.025601605723625187e-03,3.635500248880212809e-02,6.896342159288984419e+00
2.005697660157643725e-01,9.961647763735587136e-02,-1.378389607717581122e-02,3.347238280304550007e-02,7.595654017026352456e+00
2.051652384459873579e-01,9.620639877538327001e-02,-1.876839452893787341e-02,3.015193684473477936e-02,8.543310784269042557e+00
2.094060442347408513e-01,9.265283691148719358e-02,-2.396262150308606578e-02,2.630358994658706095e-02,9.913929055184551586e+00
2.132781660805829205e-01,8.896753777285257292e-02,-2.934940831779871140e-02,2.184914124804492735e-02,1.207212595368782360e+01
2.167688053075456089e-01,8.516268252303728359e-02,-3.491094981567256783e-02,1.675405792651687292e-02,1.591111260409914863e+01
2.198664241690998500e-01,8.125084749909530779e-02,-4.062886321580672089e-02,1.104669120227922199e-02,2.436926249680880119e+01
2.225607839843209979e-01,7.724496264251723421e-02,-4.648424887512843384e-02,4.808494683139009733e-03,5.649068718351649920e+01
2.248429789802016410e-01,7.315826876138854795e-02,-5.245775275812312316e-02,1.851856923783619943e-03,1.478946313647491877e+02
2.267054657282519536e-01,6.900427376502792087e-02,-5.852963040848616072e-02,8.810391323343089165e-03,3.131881910281675729e+01
2.281420880780893612e-01,6.479670801576578598e-02,-6.467981221124727287e-02,1.585660713977165084e-02,1.751869716279569644e+01
2.291480975056033043e-01,6.054947894543986908e-02,-7.088796972965495657e-02,2.123984810181618957e-02,1.315667692912936459e+01
2.297201688084380966e-01,5.627662508661628038e-02,-7.713358289755442576e-02,1.994287165639818671e-02,1.408550005738700861e+01
2.298564110969143204e-01,5.199226967047793774e-02,-8.339600784516594534e-02,1.730240274668113851e-02,1.630778293266367385e+01
2.295563740440607070e-01,4.771057394475560626e-02,-8.965454513407591919e-02,1.454820997735014991e-02,1.946766636623875257e+01
2.288210493740974183e-01,4.344569036600116896e-02,-9.588850817590123532e-02,1.177541110951886398e-02,2.412411807950021014e+01
2.276528675844511074e-01,3.921171582091871610e-02,-1.020772916084801002e-01,9.001981343397932531e-03,3.162832160787013436e+01
2.260556899121366481e-01,3.502264503137300644e-02,-1.082004394035823297e-01,6.233004466203221315e-03,4.574950717930858701e+01
2.240347955710592365e-01,3.089232429708719391e-02,-1.142377124810205480e-01,3.470707248926013875e-03,8.222768380301947388e+01
2.215968643024219253e-01,2.683440572892615422e-02,-1.201691556056745103e-01,7.168059822307535928e-04,3.981698497898105984e+02
2.187499542959154553e-01,2.286230212403986273e-02,-1.259751633463111475e-01,2.026855958785770545e-03,1.407218367812451731e+02
