leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,0.513433469,1.214519714,0.701086245,True,True
fl,1.60512456,2.424724822,0.819600262,True,True
fl,4.822223444,5.747620407,0.925396963,True,True
fl,5.901038651,6.889017528,0.987978877,True,True
fl,9.145733818,10.068330577,0.922596759,True,True
fl,10.223624898,11.21133514,0.987710242,True,True
fl,13.462335717,14.376474458,0.914138741,True,True
fl,14.533445437,15.533637404,1.000191967,True,True
fl,17.789506178,18.712005295,0.922499117,True,True
fl,18.859606342,19.847989732,0.98838339,True,True
fl,22.105287016,23.023178468,0.917891452,True,True
fl,23.177148868,24.164573138,0.98742427,True,True
fl,26.422722957,27.343746986,0.921024029,True,True
fl,27.501879423,28.482437316,0.980557893,True,True
fl,30.762346482,31.667296768,0.904950286,True,True
fl,31.818331207,32.809698418,0.991367211,True,True
fl,35.070805563,35.986083516,0.915277953,True,True
fl,36.13145652,37.132232342,1.000775822,True,True
fl,39.385659456,40.302323331,0.916663875,True,True
fl,40.462039092,41.445561126,0.983522034,True,True
fl,43.708646707,44.623916662,0.915269955,True,True
fl,44.780219588,45.768772139,0.988552551,True,True
fl,48.028379127,48.94891095,0.920531823,True,True
fl,49.10285441,50.088658118,0.985803708,True,True
fl,52.351133813,53.264152208,0.913018395,True,True
fl,53.422627811,54.408282283,0.985654472,True,True
fl,56.67286372,57.579006088,0.906142368,True,True
fl,57.734448732,58.721627215,0.987178483,True,True
fl,60.987948986,61.895147511,0.907198525,True,True
fl,62.059097356,63.053243116,0.99414576,True,True
fl,65.308432986,66.215062814,0.906629828,True,True
fl,66.384284993,67.367780142,0.983495149,True,True
fl,69.636997129,70.541771903,0.904774774,True,True
fl,70.698673857,71.691178495,0.992504638,True,True
fl,73.945416902,74.867425339,0.922008437,True,True
fl,75.022285156,76.004079844,0.981794688,True,True
fl,78.268081262,79.182043103,0.913961841,True,True
fl,79.338207637,80.323197109,0.984989472,True,True
fl,82.588930016,83.498807027,0.909877011,True,True
fl,83.670119934,84.648569522,0.978449588,True,True
fl,86.901835636,87.824536747,0.922701111,True,True
fl,87.975935902,88.957564057,0.981628155,True,True
fl,91.222831207,92.17805127,0.955220063,True,True
fl,92.31316733,93.294997477,0.981830147,True,True
fl,95.539134941,96.458266822,0.919131881,True,True
fl,96.616939737,97.60302232,0.986082583,True,True
fl,99.862845312,100.78275964,0.919914328,True,True
fl,100.943098751,101.918944268,0.975845517,True,True
fl,104.188755503,105.105473656,0.916718153,True,True
fl,105.263337655,106.241918313,0.978580658,True,True
fl,108.507796393,109.431004038,0.923207645,True,True
fl,109.581400118,110.563891171,0.982491053,True,True
fl,112.822766757,113.740545745,0.917778988,True,True
fl,113.907231788,114.882251208,0.97501942,True,True
fl,117.146159202,118.059854884,0.913695682,True,True
fl,118.226281454,119.210999689,0.984718235,True,True
fl,121.472224779,122.383820239,0.91159546,True,True
fl,122.536761056,123.531455023,0.994693967,True,True
fl,125.785274117,,,,False
fr,1.323627415,1.366268644,0.042641229,False,True
fr,2.654246119,3.567715296,0.913469177,True,True
fr,3.739599736,4.726312707,0.986712971,True,True
fr,6.987760652,7.902337744,0.914577092,True,True
fr,8.06010008,9.043646779,0.983546699,True,True
fr,11.309499747,12.218941141,0.909441394,True,True
fr,12.371168332,13.361874485,0.990706153,True,True
fr,15.630800377,16.550658267,0.91985789,True,True
fr,16.695512913,17.690038926,0.994526013,True,True
fr,19.946457106,20.857964659,0.911507553,True,True
fr,21.020578875,22.004593112,0.984014237,True,True
fr,24.273148958,25.17966869,0.906519732,True,True
fr,25.337941634,26.325412499,0.987470865,True,True
fr,28.583968264,29.494055835,0.910087571,True,True
fr,29.650429704,30.652757772,1.002328068,True,True
fr,32.901087526,33.821824038,0.920736512,True,True
fr,33.977903226,34.97304684,0.995143614,True,True
fr,37.222167843,38.148851812,0.926683969,True,True
fr,38.295794206,39.287335673,0.991541467,True,True
fr,41.546863474,42.456181937,0.909318463,True,True
fr,42.620919275,43.610131718,0.989212443,True,True
fr,45.857378593,46.780694632,0.923316039,True,True
fr,46.943341087,47.928662785,0.985321698,True,True
fr,50.18429931,51.097816576,0.913517266,True,True
fr,51.26218844,52.254621821,0.992433381,True,True
fr,54.505772528,55.423985369,0.918212841,True,True
fr,55.588161052,56.571223152,0.9830621,True,True
fr,58.82433702,59.739109767,0.914772747,True,True
fr,59.893138814,60.888296507,0.995157693,True,True
fr,63.152863629,64.067364245,0.914500616,True,True
fr,64.214716633,65.206576447,0.991859814,True,True
fr,67.470403582,68.382722489,0.912318907,True,True
fr,68.53917908,69.526852971,0.987673891,True,True
fr,71.782463341,72.713234376,0.930771035,True,True
fr,72.865216979,73.846094282,0.980877303,True,True
fr,76.101694246,77.025102181,0.923407935,True,True
fr,77.180656898,78.170988009,0.990331111,True,True
fr,80.423651957,81.338321495,0.914669538,True,True
fr,81.495926062,82.498019788,1.002093726,True,True
fr,84.745142088,85.668749052,0.923606964,True,True
fr,85.817936093,86.805848223,0.98791213,True,True
fr,89.057931518,89.984691435,0.926759917,True,True
fr,90.131079815,91.122246746,0.991166931,True,True
fr,93.391172745,94.300706915,0.90953417,True,True
fr,94.454284558,95.448673366,0.994388808,True,True
fr,97.702331403,98.626884751,0.924553348,True,True
fr,98.772009723,99.762789828,0.990780105,True,True
fr,102.019552069,102.938274921,0.918722852,True,True
fr,103.095222679,104.087482386,0.992259707,True,True
fr,106.35566561,107.264190989,0.908525379,True,True
fr,107.422696987,108.411007705,0.988310718,True,True
fr,110.665550633,111.584359418,0.918808785,True,True
fr,111.740679862,112.724146672,0.98346681,True,True
fr,114.981576845,115.903815325,0.92223848,True,True
fr,116.056076864,117.047992261,0.991915397,True,True
fr,119.308623469,120.219136514,0.910513045,True,True
fr,120.382340366,121.370005903,0.987665537,True,True
fr,123.631214171,124.535875515,0.904661344,True,True
fr,124.694591768,125.693962838,0.99937107,True,True
rl,3.746521376,3.814259786,0.06773841,False,True
rl,8.07150062,8.148501044,0.077000424,False,True
rl,12.382936093,12.45991104,0.076974947,False,True
rl,16.705767731,16.782500176,0.076732445,False,True
rl,21.020578875,21.096930433,0.076351558,False,True
rl,25.350617917,25.41478843,0.064170513,False,True
rl,29.660942692,29.740045803,0.079103111,False,True
rl,33.987297806,34.064084099,0.076786293,False,True
rl,38.307604791,38.385919528,0.078314737,False,True
rl,42.632143428,42.707920509,0.075777081,False,True
rl,46.943341087,47.023185589,0.079844502,False,True
rl,51.272941872,51.349672167,0.076730295,False,True
rl,55.588161052,55.667873807,0.079712755,False,True
rl,59.903188429,59.979182301,0.075993872,False,True
rl,64.226116265,64.304629983,0.078513718,False,True
rl,68.549269862,68.629884966,0.080615104,False,True
rl,72.865216979,72.94125868,0.076041701,False,True
rl,77.192624632,77.268737572,0.07611294,False,True
rl,81.506958599,81.58348919,0.076530591,False,True
rl,85.840246754,85.909264822,0.069018068,False,True
rl,90.15262349,90.221175672,0.068552182,False,True
rl,94.465291624,94.543809807,0.078518183,False,True
rl,98.794304899,98.861825269,0.06752037,False,True
rl,103.105895594,103.183829797,0.077934203,False,True
rl,107.432437081,107.507343378,0.074906297,False,True
rl,111.751075376,111.828394672,0.077319296,False,True
rl,116.068259458,116.145246893,0.076987435,False,True
rl,120.394517549,120.461045774,0.066528225,False,True
rl,124.710115167,124.785081141,0.074965974,False,True
rr,1.60512456,1.681277738,0.076153178,False,True
rr,5.913487786,5.989904489,0.076416703,False,True
rr,10.234992946,10.302326028,0.067333082,False,True
rr,14.544238926,14.622464238,0.078225312,False,True
rr,18.869592045,18.946340475,0.07674843,False,True
rr,23.187119932,23.266131409,0.079011477,False,True
rr,27.512263947,27.59207825,0.079814303,False,True
rr,31.83201337,31.91901656,0.08700319,False,True
rr,36.142962203,36.231254466,0.088292263,False,True
rr,40.47408185,40.541635584,0.067553734,False,True
rr,44.791037926,44.87015318,0.079115254,False,True
rr,49.10285441,49.180628162,0.077773752,False,True
rr,53.433752852,53.500062428,0.066309576,False,True
rr,57.744557812,57.82030582,0.075748008,False,True
rr,62.070510946,62.147634463,0.077123517,False,True
rr,66.384284993,66.457737852,0.073452859,False,True
rr,70.710607458,70.777050853,0.066443395,False,True
rr,75.032466309,75.110026246,0.077559937,False,True
rr,79.349763985,79.429574523,0.079810538,False,True
rr,83.670119934,83.739981817,0.069861883,False,True
rr,87.992741821,88.054153091,0.06141127,False,True
rr,92.31316733,92.391527556,0.078360226,False,True
rr,96.629016044,96.708264268,0.079248224,False,True
rr,100.943098751,101.027716567,0.084617816,False,True
rr,105.263337655,105.338580958,0.075243303,False,True
rr,109.592779692,109.671428479,0.078648787,False,True
rr,113.914857404,113.981461772,0.066604368,False,True
rr,118.23539016,118.31270138,0.07731122,False,True
rr,122.547794716,122.625087804,0.077293088,False,True
