leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.371686644,0.513433469,0.141746825,True
fl,landing,0.908685968,1.214519714,0.305833746,True
fl,liftoff,4.689091291,4.822223444,0.133132153,True
fl,landing,5.228880393,5.747620407,0.518740014,True
fl,liftoff,9.009350989,9.145733818,0.136382829,True
fl,landing,9.548652068,10.068330577,0.519678509,True
fl,liftoff,13.328614288,13.462335717,0.133721429,True
fl,landing,13.868811925,14.376474458,0.507662533,True
fl,liftoff,17.648746853,17.789506178,0.140759325,True
fl,landing,18.189249349,18.712005295,0.522755946,True
fl,liftoff,21.969587587,22.105287016,0.135699429,True
fl,landing,22.508899489,23.023178468,0.514278979,True
fl,liftoff,26.289843511,26.422722957,0.132879446,True
fl,landing,26.828902044,27.343746986,0.514844942,True
fl,liftoff,30.608794438,30.762346482,0.153552044,True
fl,landing,31.149221215,31.667296768,0.518075553,True
fl,liftoff,34.929094883,35.070805563,0.14171068,True
fl,landing,35.470658021,35.986083516,0.515425495,True
fl,liftoff,39.248952229,39.385659456,0.136707227,True
fl,landing,39.788807782,40.302323331,0.513515549,True
fl,liftoff,43.568876632,43.708646707,0.139770075,True
fl,landing,44.109577632,44.623916662,0.51433903,True
fl,liftoff,47.888779755,48.028379127,0.139599372,True
fl,landing,48.429161125,48.94891095,0.519749825,True
fl,liftoff,52.208821402,52.351133813,0.142312411,True
fl,landing,52.748605559,53.264152208,0.515546649,True
fl,liftoff,56.52854507,56.67286372,0.14431865,True
fl,landing,57.068674091,57.579006088,0.510331997,True
fl,liftoff,60.848759029,60.987948986,0.139189957,True
fl,landing,61.391832936,61.895147511,0.503314575,True
fl,liftoff,65.169152439,65.308432986,0.139280547,True
fl,landing,65.708542119,66.215062814,0.506520695,True
fl,liftoff,69.49043592,69.636997129,0.146561209,True
fl,landing,70.028650483,70.541771903,0.51312142,True
fl,liftoff,73.809189934,73.945416902,0.136226968,True
fl,landing,74.348589773,74.867425339,0.518835566,True
fl,liftoff,78.13102299,78.268081262,0.137058272,True
fl,landing,78.668677466,79.182043103,0.513365637,True
fl,liftoff,82.448740607,82.588930016,0.140189409,True
fl,landing,82.988664586,83.498807027,0.510142441,True
fl,liftoff,86.769554732,86.901835636,0.132280904,True
fl,landing,87.308972479,87.824536747,0.515564268,True
fl,liftoff,91.08897583,91.222831207,0.133855377,True
fl,landing,91.629110496,92.17805127,0.548940774,True
fl,liftoff,95.408852909,95.539134941,0.130282032,True
fl,landing,95.95031484,96.458266822,0.507951982,True
fl,liftoff,99.729272428,99.862845312,0.133572884,True
fl,landing,100.270679841,100.78275964,0.512079799,True
fl,liftoff,104.050934614,104.188755503,0.137820889,True
fl,landing,104.589855601,105.105473656,0.515618055,True
fl,liftoff,108.369799709,108.507796393,0.137996684,True
fl,landing,108.909861988,109.431004038,0.52114205,True
