leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.369075411,0.640166095,0.271090684,True
fl,landing,0.907175918,1.259751522,0.352575604,True
fl,liftoff,4.690087924,4.960321525,0.270233601,True
fl,landing,5.226848964,5.775368501,0.548519537,True
fl,liftoff,9.007062675,9.27259534,0.265532665,True
fl,landing,9.549800951,10.090311291,0.54051034,True
fl,liftoff,13.327236675,13.59763764,0.270400965,True
fl,landing,13.88089605,14.41888646,0.53799041,True
fl,liftoff,17.646664621,17.90961624,0.262951619,True
fl,landing,18.191543441,18.728681295,0.537137854,True
fl,liftoff,21.968304338,22.231541878,0.26323754,True
fl,landing,22.507028611,23.051505468,0.544476857,True
fl,liftoff,26.286714323,26.54423799,0.257523667,True
fl,landing,26.827142537,27.372374329,0.545231792,True
fl,liftoff,30.606635074,30.87265273,0.266017656,True
fl,landing,31.146566996,31.696655714,0.550088718,True
fl,liftoff,34.92695605,35.19416042,0.26720437,True
fl,landing,35.466575979,36.013670399,0.54709442,True
fl,liftoff,39.246876055,39.513244472,0.266368417,True
fl,landing,39.78648971,40.328645484,0.542155774,True
fl,liftoff,43.567426982,43.82745362,0.260026638,True
fl,landing,44.106770513,44.654298708,0.547528195,True
fl,liftoff,47.887528167,48.151743197,0.26421503,True
fl,landing,48.427698309,48.97564864,0.547950331,True
fl,liftoff,52.206833725,52.466186274,0.259352549,True
fl,landing,52.747039973,53.287839523,0.54079955,True
fl,liftoff,56.526958151,56.788571747,0.261613596,True
fl,landing,57.067302798,57.612688792,0.545385994,True
fl,liftoff,60.84700535,61.099998195,0.252992845,True
fl,landing,61.388190584,61.934887827,0.546697243,True
fl,liftoff,65.166851548,65.430686303,0.263834755,True
fl,landing,65.707013564,66.255337652,0.548324088,True
fl,liftoff,69.496818853,69.740647878,0.243829025,True
fl,landing,70.027192097,70.578237942,0.551045845,True
fl,liftoff,73.808070359,74.063264816,0.255194457,True
fl,landing,74.346997785,74.898839773,0.551841988,True
fl,liftoff,78.126698281,78.394069023,0.267370742,True
fl,landing,78.666911997,79.218470517,0.55155852,True
fl,liftoff,82.446512897,82.710308253,0.263795356,True
fl,landing,82.986959151,83.536497416,0.549538265,True
fl,liftoff,86.767210725,87.030762509,0.263551784,True
fl,landing,87.306778203,87.848080834,0.541302631,True
fl,liftoff,91.08682399,91.346451048,0.259627058,True
fl,landing,91.626771275,92.168148184,0.541376909,True
fl,liftoff,95.407657094,95.668069296,0.260412202,True
fl,landing,95.94818743,96.495757503,0.547570073,True
fl,liftoff,99.726881345,99.993983001,0.267101656,True
fl,landing,100.273679816,100.813222641,0.539542825,True
fl,liftoff,104.051687426,104.304719834,0.253032408,True
fl,landing,104.587112658,105.13343705,0.546324392,True
fl,liftoff,108.366855334,108.625958526,0.259103192,True
fl,landing,108.907115842,109.447685714,0.540569872,True
fl,liftoff,112.686817774,112.951714545,0.264896771,True
fl,landing,113.226806565,113.779469464,0.552662899,True
fl,liftoff,117.006803166,117.261612061,0.254808895,True
fl,landing,117.546844254,118.091878387,0.545034133,True
fl,liftoff,121.326709311,121.592951596,0.266242285,True
fl,landing,121.866865124,122.415225839,0.548360715,True
fl,liftoff,125.647140692,125.904093842,0.25695315,True
fl,landing,126.186817075,126.730672194,0.543855119,True
fl,liftoff,129.970162606,130.23541752,0.265254914,True
fl,landing,130.507265378,131.057343156,0.550077778,True
fl,liftoff,134.286664235,134.545145424,0.258481189,True
fl,landing,134.827739941,135.388835922,0.561095981,True
fl,liftoff,138.607062218,138.870036436,0.262974218,True
fl,landing,139.146847441,139.689471603,0.542624162,True
fl,liftoff,142.92669211,143.195727073,0.269034963,True
fl,landing,143.466786235,144.006045269,0.539259034,True
fl,liftoff,147.246639605,147.505803913,0.259164308,True
fl,landing,147.787163761,148.329642224,0.542478463,True
fl,liftoff,151.567455595,151.8315134,0.264057805,True
fl,landing,152.106628763,152.651736809,0.545108046,True
fl,liftoff,155.88714672,156.149984786,0.262838066,True
fl,landing,156.428266428,156.97417181,0.545905382,True
fr,liftoff,2.527047025,2.772833613,0.245786588,True
fr,landing,3.071332312,3.62073422,0.549401908,True
fr,liftoff,6.846957752,7.105576447,0.258618695,True
fr,landing,7.387595195,7.929004377,0.541409182,True
fr,liftoff,11.16665947,11.42696762,0.26030815,True
fr,landing,11.706914847,12.274236463,0.567321616,True
fr,liftoff,15.486892641,15.74976466,0.262872019,True
fr,landing,16.02692895,16.58072857,0.55379962,True
fr,liftoff,19.807776861,20.059059512,0.251282651,True
fr,landing,20.346665937,20.887974901,0.541308964,True
fr,liftoff,24.127532663,24.380212837,0.252680174,True
fr,landing,24.667283276,25.207837299,0.540554023,True
fr,liftoff,28.44777328,28.708175613,0.260402333,True
fr,landing,28.986739326,29.540762019,0.554022693,True
fr,liftoff,32.767110706,33.020736065,0.253625359,True
fr,landing,33.306586063,33.854265562,0.547679499,True
fr,liftoff,37.087767346,37.350291581,0.262524235,True
fr,landing,37.627059664,38.177247495,0.550187831,True
fr,liftoff,41.406838504,41.667105166,0.260266662,True
fr,landing,41.946967593,42.501838281,0.554870688,True
fr,liftoff,45.727133136,45.978830945,0.251697809,True
fr,landing,46.266551858,46.81943884,0.552886982,True
fr,liftoff,50.047098793,50.311392041,0.264293248,True
fr,landing,50.588606765,51.132423685,0.54381692,True
fr,liftoff,54.367369266,54.622536086,0.25516682,True
fr,landing,54.906790067,55.45359662,0.546806553,True
fr,liftoff,58.68715461,58.940908555,0.253753945,True
fr,landing,59.226892578,59.768405193,0.541512615,True
fr,liftoff,63.006645777,63.263789364,0.257143587,True
fr,landing,63.54676859,64.095014982,0.548246392,True
fr,liftoff,67.326868567,67.587531701,0.260663134,True
fr,landing,67.866767474,68.414474022,0.547706548,True
fr,liftoff,71.646809984,71.901651743,0.254841759,True
fr,landing,72.192806605,72.733881153,0.541074548,True
fr,liftoff,75.966725211,76.225226413,0.258501202,True
fr,landing,76.506648258,77.054023414,0.547375156,True
fr,liftoff,80.28765666,80.538829907,0.251173247,True
fr,landing,80.827077305,81.366007431,0.538930126,True
fr,liftoff,84.607389462,84.867208244,0.259818782,True
fr,landing,85.147105813,85.701331845,0.554226032,True
fr,liftoff,88.926832195,89.185757295,0.2589251,True
fr,landing,89.466845495,90.005220226,0.538374731,True
fr,liftoff,93.247530092,93.507580531,0.260050439,True
fr,landing,93.786626436,94.338093944,0.551467508,True
fr,liftoff,97.566867867,97.823079382,0.256211515,True
fr,landing,98.107840308,98.646359537,0.538519229,True
fr,liftoff,101.887030393,102.156978515,0.269948122,True
fr,landing,102.426769458,102.963600882,0.536831424,True
fr,liftoff,106.207633754,106.457797194,0.25016344,True
fr,landing,106.747275482,107.291008581,0.543733099,True
fr,liftoff,110.526919613,110.798101336,0.271181723,True
fr,landing,111.066956667,111.614760524,0.547803857,True
fr,liftoff,114.847047557,115.105200579,0.258153022,True
fr,landing,115.387738675,115.931774472,0.544035797,True
fr,liftoff,119.166760394,119.424883098,0.258122704,True
fr,landing,119.706992091,120.248591716,0.541599625,True
fr,liftoff,123.487648257,123.740787041,0.253138784,True
fr,landing,124.027513319,124.574640729,0.54712741,True
fr,liftoff,127.806998965,128.065857919,0.258858954,True
fr,landing,128.347093658,128.885541806,0.538448148,True
fr,liftoff,132.127636368,132.38088614,0.253249772,True
fr,landing,132.668967308,133.210987792,0.542020484,True
fr,liftoff,136.446732847,136.706583927,0.25985108,True
fr,landing,136.987023948,137.532098979,0.545075031,True
fr,liftoff,140.768244698,141.026096425,0.257851727,True
fr,landing,141.306854757,141.852345351,0.545490594,True
fr,liftoff,145.08706491,145.342862388,0.255797478,True
fr,landing,145.626875938,146.180332611,0.553456673,True
fr,liftoff,149.406642957,149.671930618,0.265287661,True
fr,landing,149.946631298,150.496057313,0.549426015,True
fr,liftoff,153.726959804,153.983766029,0.256806225,True
fr,landing,154.266658135,154.81792494,0.551266805,True
fr,liftoff,158.285026046,158.310210982,0.025184936,True
rl,liftoff,3.607065178,,,False
rl,landing,4.146656393,,,False
rl,liftoff,7.927054929,,,False
rl,landing,8.466438739,,,False
rl,liftoff,12.253467287,,,False
rl,landing,12.786906057,,,False
rl,liftoff,16.56690196,,,False
rl,landing,17.106607994,,,False
rl,liftoff,20.886711601,,,False
rl,landing,21.427168082,,,False
rl,liftoff,25.207738292,,,False
rl,landing,25.747807247,,,False
rl,liftoff,29.527098417,,,False
rl,landing,30.066767934,,,False
rl,liftoff,33.846933039,,,False
rl,landing,34.386750472,,,False
rl,liftoff,38.166884329,,,False
rl,landing,38.707190314,,,False
rl,liftoff,42.487148298,,,False
rl,landing,43.027087918,,,False
rl,liftoff,46.807115986,,,False
rl,landing,47.346762568,,,False
rl,liftoff,51.12664368,,,False
rl,landing,51.666752083,,,False
rl,liftoff,55.449793795,,,False
rl,landing,55.987578139,,,False
rl,liftoff,59.767074595,,,False
rl,landing,60.30686916,,,False
rl,liftoff,64.086759654,,,False
rl,landing,64.627098204,,,False
rl,liftoff,68.407037152,,,False
rl,landing,68.946541582,,,False
rl,liftoff,72.726803082,,,False
rl,landing,73.267911384,,,False
rl,liftoff,77.046659913,,,False
rl,landing,77.589923831,,,False
rl,liftoff,81.366712144,,,False
rl,landing,81.907076724,,,False
rl,liftoff,85.687947433,,,False
rl,landing,86.226888428,,,False
rl,liftoff,90.006704194,,,False
rl,landing,90.547132389,,,False
rl,liftoff,94.326629786,,,False
rl,landing,94.867041176,,,False
rl,liftoff,98.646738234,,,False
rl,landing,99.18668332,,,False
rl,liftoff,102.96738478,,,False
rl,landing,103.507186002,,,False
rl,liftoff,107.286650105,,,False
rl,landing,107.826818169,,,False
rl,liftoff,111.607048715,,,False
rl,landing,112.146937547,,,False
rl,liftoff,115.927541263,,,False
rl,landing,116.467621834,,,False
rl,liftoff,120.247068314,,,False
rl,landing,120.786804563,,,False
rl,liftoff,124.567284662,,,False
rl,landing,125.106623257,,,False
rl,liftoff,128.887512014,,,False
rl,landing,129.426869732,,,False
rl,liftoff,133.207002512,,,False
rl,landing,133.74728074,,,False
rl,liftoff,137.531374127,,,False
rl,landing,138.066898239,,,False
