leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,0.509544393,1.236986505,0.727442112,True,True
fl,1.586913816,2.495834566,0.90892075,True,True
fl,4.827990847,5.747604393,0.919613546,True,True
fl,5.902904709,6.886861087,0.983956378,True,True
fl,9.149417781,10.064456093,0.915038312,True,True
fl,10.227022162,11.218824678,0.991802516,True,True
fl,13.465586608,14.390668125,0.925081517,True,True
fl,14.548725187,15.527717041,0.978991854,True,True
fl,17.79205432,18.700702528,0.908648208,True,True
fl,18.869104257,19.849719387,0.98061513,True,True
fl,22.107454734,23.020755587,0.913300853,True,True
fl,23.184633494,24.170551529,0.985918035,True,True
fl,26.431862706,27.339079504,0.907216798,True,True
fl,27.495303109,28.486091888,0.990788779,True,True
fl,30.755020307,31.660872003,0.905851696,True,True
fl,31.817228939,32.802451231,0.985222292,True,True
fl,35.063617665,35.980587822,0.916970157,True,True
fl,36.137266411,37.128575998,0.991309587,True,True
fl,39.393602557,40.304989969,0.911387412,True,True
fl,40.462670514,41.454005919,0.991335405,True,True
fl,43.701587452,44.61812979,0.916542338,True,True
fl,44.77583676,45.77358197,0.99774521,True,True
fl,48.026849811,48.942673472,0.915823661,True,True
fl,49.09923429,50.093404498,0.994170208,True,True
fl,52.351100312,53.261576262,0.91047595,True,True
fl,53.426599658,54.409631602,0.983031944,True,True
fl,56.67255231,57.589856474,0.917304164,True,True
fl,57.745646662,58.731238831,0.985592169,True,True
fl,60.991777992,61.906729446,0.914951454,True,True
fl,62.070554987,63.055396739,0.984841752,True,True
fl,65.310791566,66.227506229,0.916714663,True,True
fl,66.393623007,67.374284624,0.980661617,True,True
fl,69.632057785,70.551230585,0.9191728,True,True
fl,70.706436242,71.698642285,0.992206043,True,True
fl,73.950775818,74.863154251,0.912378433,True,True
fl,75.033630463,76.012390418,0.978759955,True,True
fl,78.287823412,79.193537134,0.905713722,True,True
fl,79.350294189,80.332784747,0.982490558,True,True
fl,82.589900392,83.516662195,0.926761803,True,True
fl,83.672553389,84.656077004,0.983523615,True,True
fl,86.905936772,87.829233672,0.9232969,True,True
fl,87.984061212,88.967423191,0.983361979,True,True
fl,91.228955686,92.150145062,0.921189376,True,True
fl,92.305400369,93.288261912,0.982861543,True,True
fl,95.546282951,96.465911462,0.919628511,True,True
fl,96.62341279,97.612251933,0.988839143,True,True
fl,99.882440922,100.794696601,0.912255679,True,True
fl,100.950005128,101.94930913,0.999304002,True,True
fl,104.198024609,105.102539586,0.904514977,True,True
fl,105.269554118,,,,False
fr,1.34363671,1.429593998,0.085957288,False,True
fr,2.661586781,3.590721575,0.929134794,True,True
fr,3.744799652,4.728531445,0.983731793,True,True
fr,6.985164243,7.898357227,0.913192984,True,True
fr,8.066344194,9.050367837,0.984023643,True,True
fr,11.317995157,12.233476075,0.915480918,True,True
fr,12.380406875,13.370039831,0.989632956,True,True
fr,15.636502233,16.555586086,0.919083853,True,True
fr,16.702015902,17.692327252,0.99031135,True,True
fr,19.950933628,20.872380951,0.921447323,True,True
fr,21.028077103,22.017380452,0.989303349,True,True
fr,24.271938777,25.184572121,0.912633344,True,True
fr,25.347618127,26.331952944,0.984334817,True,True
fr,28.585410813,29.507393622,0.921982809,True,True
fr,29.6640342,30.65377025,0.98973605,True,True
fr,32.903072097,33.822483346,0.919411249,True,True
fr,33.980506165,34.974250758,0.993744593,True,True
fr,37.228677794,38.147257551,0.918579757,True,True
fr,38.311544132,39.284341169,0.972797037,True,True
fr,41.542100914,42.46469164,0.922590726,True,True
fr,42.621803024,43.611158771,0.989355747,True,True
fr,45.862895008,46.782976432,0.920081424,True,True
fr,46.938957424,47.928142949,0.989185525,True,True
fr,50.194221737,51.105185384,0.910963647,True,True
fr,51.262598228,52.251081515,0.988483287,True,True
fr,54.512006603,55.423037965,0.911031362,True,True
fr,55.60047257,56.570977394,0.970504824,True,True
fr,58.8281788,59.747298493,0.919119693,True,True
fr,59.902595249,60.892445671,0.989850422,True,True
fr,63.155021395,64.076935904,0.921914509,True,True
fr,64.227300739,65.222099477,0.994798738,True,True
fr,67.47281448,68.396420236,0.923605756,True,True
fr,68.544527097,69.539418731,0.994891634,True,True
fr,71.787578188,72.710084844,0.922506656,True,True
fr,72.864577123,73.851257866,0.986680743,True,True
fr,76.113406073,77.032365268,0.918959195,True,True
fr,77.188191396,78.180597772,0.992406376,True,True
fr,80.431879963,81.346684627,0.914804664,True,True
fr,81.506590882,82.493254621,0.986663739,True,True
fr,84.75663645,85.672394281,0.915757831,True,True
fr,85.826216975,86.818078154,0.991861179,True,True
fr,89.077444849,89.986666696,0.909221847,True,True
fr,90.143052923,91.132559605,0.989506682,True,True
fr,93.388635616,94.31265848,0.924022864,True,True
fr,94.470263701,95.45748135,0.987217649,True,True
fr,97.710920462,98.638194895,0.927274433,True,True
fr,98.791999055,99.7801536,0.988154545,True,True
fr,102.031684287,102.954803804,0.923119517,True,True
fr,103.108875696,104.096944955,0.988069259,True,True
rl,3.744799652,3.821703102,0.07690345,False,True
rl,8.076805067,8.145515471,0.068710404,False,True
rl,12.391612514,12.469178356,0.077565842,False,True
rl,16.722823335,16.790235899,0.067412564,False,True
rl,21.038291615,21.114818855,0.07652724,False,True
rl,25.359548481,25.425655864,0.066107383,False,True
rl,29.675606336,29.741290209,0.065683873,False,True
rl,33.992502138,34.06960431,0.077102172,False,True
rl,38.311544132,38.401349331,0.089805199,False,True
rl,42.631567086,42.708141599,0.076574513,False,True
rl,46.95107768,47.018631578,0.067553898,False,True
rl,51.273580875,51.350282546,0.076701671,False,True
rl,55.60047257,55.665688709,0.065216139,False,True
rl,59.917181347,59.991553859,0.074372512,False,True
rl,64.237919292,64.315562073,0.077642781,False,True
rl,68.556095757,68.633985861,0.077890104,False,True
rl,72.875527235,72.95078368,0.075256445,False,True
rl,77.19968088,77.278049187,0.078368307,False,True
rl,81.517278586,81.594315197,0.077036611,False,True
rl,85.836371652,85.913255032,0.07688338,False,True
rl,90.153569862,90.232271834,0.078701972,False,True
rl,94.470263701,94.548794402,0.078530701,False,True
rl,98.791999055,98.868705135,0.07670608,False,True
rl,103.120589262,103.188823618,0.068234356,False,True
