leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.375784829,0.642979248,0.267194419,True
fl,landing,0.916637113,1.268212093,0.35157498,True
fl,liftoff,4.695652221,4.9500684,0.254416179,True
fl,landing,5.235644184,5.779629613,0.543985429,True
fl,liftoff,9.020723098,9.271671558,0.25094846,True
fl,landing,9.555890848,10.094926202,0.539035354,True
fl,liftoff,13.335900449,13.587703056,0.251802607,True
fl,landing,13.875766442,14.425825422,0.55005898,True
fl,liftoff,17.655990225,17.912998845,0.25700862,True
fl,landing,18.198372753,18.736339311,0.537966558,True
fl,liftoff,21.975691307,22.228827512,0.253136205,True
fl,landing,22.51536708,23.053623934,0.538256854,True
fl,liftoff,26.296434607,26.561060208,0.264625601,True
fl,landing,26.83591626,27.372242343,0.536326083,True
fl,liftoff,30.61575502,30.885356609,0.269601589,True
fl,landing,31.155665891,31.693610808,0.537944917,True
fl,liftoff,34.935642049,35.191903609,0.25626156,True
fl,landing,35.475823299,36.014277898,0.538454599,True
fl,liftoff,39.255537181,39.518942391,0.26340521,True
fl,landing,39.797311121,40.337453348,0.540142227,True
fl,liftoff,43.575979817,43.823013429,0.247033612,True
fl,landing,44.117625425,44.650868443,0.533243018,True
fl,liftoff,47.896119462,48.146114719,0.249995257,True
fl,landing,48.435283734,48.975073428,0.539789694,True
fl,liftoff,52.215862529,52.480279428,0.264416899,True
fl,landing,52.756565587,53.298246101,0.541680514,True
fl,liftoff,56.535708182,56.796092586,0.260384404,True
fl,landing,57.076019821,57.622076112,0.546056291,True
fl,liftoff,60.856235339,61.120765478,0.264530139,True
fl,landing,61.395708148,61.9379569,0.542248752,True
fl,liftoff,65.177762965,65.439222246,0.261459281,True
fl,landing,65.715583154,66.26121584,0.545632686,True
fl,liftoff,69.498132598,69.755791221,0.257658623,True
fl,landing,70.035834978,70.584180502,0.548345524,True
fl,liftoff,73.815778172,74.076910464,0.261132292,True
fl,landing,74.361356632,74.901924886,0.540568254,True
fl,liftoff,78.135688447,78.404670161,0.268981714,True
fl,landing,78.675965083,79.225272014,0.549306931,True
fl,liftoff,82.455783244,82.714894822,0.259111578,True
fl,landing,82.995941288,83.548639352,0.552698064,True
fl,liftoff,86.775865417,87.02729688,0.251431463,True
fl,landing,87.319492661,87.863426395,0.543933734,True
fl,liftoff,91.096044434,91.352251549,0.256207115,True
fl,landing,91.63647766,92.184452428,0.547974768,True
fl,liftoff,95.415748538,95.668425638,0.2526771,True
fl,landing,95.956435693,96.499958209,0.543522516,True
fl,liftoff,99.735660872,100.001159888,0.265499016,True
fl,landing,100.275555497,100.827614707,0.55205921,True
fl,liftoff,104.055835659,104.31954318,0.263707521,True
fl,landing,104.595940599,105.134238743,0.538298144,True
fr,liftoff,2.535568589,2.783821167,0.248252578,True
fr,landing,3.075795705,3.626782814,0.550987109,True
fr,liftoff,6.864553855,7.107589569,0.243035714,True
fr,landing,7.39636424,7.931816352,0.535452112,True
fr,liftoff,11.175669002,11.442584579,0.266915577,True
fr,landing,11.71577607,12.267296886,0.551520816,True
fr,liftoff,15.496360881,15.757748538,0.261387657,True
fr,landing,16.039463743,16.589473948,0.550010205,True
fr,liftoff,19.817550124,20.071903717,0.254353593,True
fr,landing,20.355456658,20.904885216,0.549428558,True
fr,liftoff,24.135647631,24.396175755,0.260528124,True
fr,landing,24.676285964,25.218082869,0.541796905,True
fr,liftoff,28.455393464,28.708534338,0.253140874,True
fr,landing,28.999687126,29.541626538,0.541939412,True
fr,liftoff,32.775641268,33.033486331,0.257845063,True
fr,landing,33.315442195,33.855305749,0.539863554,True
fr,liftoff,37.095433209,37.349873162,0.254439953,True
fr,landing,37.635645563,38.179403244,0.543757681,True
fr,liftoff,41.417290619,41.672177143,0.254886524,True
fr,landing,41.955905434,42.496853264,0.54094783,True
fr,liftoff,45.735916443,45.984873919,0.248957476,True
fr,landing,46.275445564,46.820578597,0.545133033,True
fr,liftoff,50.055780435,50.316435953,0.260655518,True
fr,landing,50.595757225,51.137185076,0.541427851,True
fr,liftoff,54.375724074,54.639459536,0.263735462,True
fr,landing,54.915588142,55.456219254,0.540631112,True
fr,liftoff,58.69587451,58.958539644,0.262665134,True
fr,landing,59.235957028,59.781500593,0.545543565,True
fr,liftoff,63.015849742,63.285398236,0.269548494,True
fr,landing,63.555506688,64.108335834,0.552829146,True
fr,liftoff,67.335949662,67.59452631,0.258576648,True
fr,landing,67.875616553,68.42665097,0.551034417,True
fr,liftoff,71.655592602,71.90953549,0.253942888,True
fr,landing,72.1955688,72.742594716,0.547025916,True
fr,liftoff,75.975621497,76.242787576,0.267166079,True
fr,landing,76.516081595,77.06606749,0.549985895,True
fr,liftoff,80.295725188,80.553090904,0.257365716,True
fr,landing,80.835996243,81.378737664,0.542741421,True
fr,liftoff,84.615705381,84.876973762,0.261268381,True
fr,landing,85.155578491,85.703829734,0.548251243,True
fr,liftoff,88.936076642,89.202642314,0.266565672,True
fr,landing,89.475451277,90.020537684,0.545086407,True
fr,liftoff,93.256018794,93.510200876,0.254182082,True
fr,landing,93.795646761,94.345736632,0.550089871,True
fr,liftoff,97.575625585,97.83866471,0.263039125,True
fr,landing,98.116815043,98.670555528,0.553740485,True
fr,liftoff,101.895767342,102.153128799,0.257361457,True
fr,landing,102.435589839,102.988902552,0.553312713,True
rl,liftoff,3.616128643,,,False
rl,landing,4.156058456,,,False
rl,liftoff,7.935507612,,,False
rl,landing,8.475847459,,,False
rl,liftoff,12.255682912,,,False
rl,landing,12.797920443,,,False
rl,liftoff,16.575980907,,,False
rl,landing,17.115574817,,,False
rl,liftoff,20.895813361,,,False
rl,landing,21.435590891,,,False
rl,liftoff,25.215774694,,,False
rl,landing,25.755812661,,,False
rl,liftoff,29.535399962,,,False
rl,landing,30.075836846,,,False
rl,liftoff,33.861566126,,,False
rl,landing,34.395971723,,,False
rl,liftoff,38.175572298,,,False
rl,landing,38.715843547,,,False
rl,liftoff,42.496182802,,,False
rl,landing,43.035831244,,,False
rl,liftoff,46.816913415,,,False
rl,landing,47.355641349,,,False
rl,liftoff,51.135598235,,,False
rl,landing,51.675916112,,,False
rl,liftoff,55.455926828,,,False
rl,landing,55.996012021,,,False
rl,liftoff,59.775680005,,,False
rl,landing,60.321186145,,,False
rl,liftoff,64.095737628,,,False
rl,landing,64.635700764,,,False
rl,liftoff,68.415837339,,,False
rl,landing,68.955584813,,,False
rl,liftoff,72.73587515,,,False
rl,landing,73.275583698,,,False
rl,liftoff,77.055718683,,,False
rl,landing,77.595695174,,,False
rl,liftoff,81.378387141,,,False
rl,landing,81.915874746,,,False
rl,liftoff,85.695531144,,,False
rl,landing,86.235549279,,,False
rl,liftoff,90.015845444,,,False
rl,landing,90.555847217,,,False
rl,liftoff,94.335588423,,,False
rl,landing,94.875566463,,,False
rl,liftoff,98.655799103,,,False
rl,landing,99.195594523,,,False
rl,liftoff,102.975476999,,,False
rl,landing,103.518317898,,,False
rr,landing,0.016320372,,,False
rr,liftoff,1.45583238,,,False
rr,landing,1.996504257,,,False
rr,liftoff,5.775431112,,,False
rr,landing,6.316024647,,,False
