leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.375784829,0.509544393,0.133759564,True
fl,landing,0.916637113,1.236986505,0.320349392,True
fl,liftoff,4.695652221,4.827990847,0.132338626,True
fl,landing,5.235644184,5.747604393,0.511960209,True
fl,liftoff,9.020723098,9.149417781,0.128694683,True
fl,landing,9.555890848,10.064456093,0.508565245,True
fl,liftoff,13.335900449,13.465586608,0.129686159,True
fl,landing,13.875766442,14.390668125,0.514901683,True
fl,liftoff,17.655990225,17.79205432,0.136064095,True
fl,landing,18.198372753,18.700702528,0.502329775,True
fl,liftoff,21.975691307,22.107454734,0.131763427,True
fl,landing,22.51536708,23.020755587,0.505388507,True
fl,liftoff,26.296434607,26.431862706,0.135428099,True
fl,landing,26.83591626,27.339079504,0.503163244,True
fl,liftoff,30.61575502,30.755020307,0.139265287,True
fl,landing,31.155665891,31.660872003,0.505206112,True
fl,liftoff,34.935642049,35.063617665,0.127975616,True
fl,landing,35.475823299,35.980587822,0.504764523,True
fl,liftoff,39.255537181,39.393602557,0.138065376,True
fl,landing,39.797311121,40.304989969,0.507678848,True
fl,liftoff,43.575979817,43.701587452,0.125607635,True
fl,landing,44.117625425,44.61812979,0.500504365,True
fl,liftoff,47.896119462,48.026849811,0.130730349,True
fl,landing,48.435283734,48.942673472,0.507389738,True
fl,liftoff,52.215862529,52.351100312,0.135237783,True
fl,landing,52.756565587,53.261576262,0.505010675,True
fl,liftoff,56.535708182,56.67255231,0.136844128,True
fl,landing,57.076019821,57.589856474,0.513836653,True
fl,liftoff,60.856235339,60.991777992,0.135542653,True
fl,landing,61.395708148,61.906729446,0.511021298,True
fl,liftoff,65.177762965,65.310791566,0.133028601,True
fl,landing,65.715583154,66.227506229,0.511923075,True
fl,liftoff,69.498132598,69.632057785,0.133925187,True
fl,landing,70.035834978,70.551230585,0.515395607,True
fl,liftoff,73.815778172,73.950775818,0.134997646,True
fl,landing,74.361356632,74.863154251,0.501797619,True
fl,liftoff,78.135688447,78.287823412,0.152134965,True
fl,landing,78.675965083,79.193537134,0.517572051,True
fl,liftoff,82.455783244,82.589900392,0.134117148,True
fl,landing,82.995941288,83.516662195,0.520720907,True
fl,liftoff,86.775865417,86.905936772,0.130071355,True
fl,landing,87.319492661,87.829233672,0.509741011,True
fl,liftoff,91.096044434,91.228955686,0.132911252,True
fl,landing,91.63647766,92.150145062,0.513667402,True
fl,liftoff,95.415748538,95.546282951,0.130534413,True
fl,landing,95.956435693,96.465911462,0.509475769,True
fl,liftoff,99.735660872,99.882440922,0.14678005,True
fl,landing,100.275555497,100.794696601,0.519141104,True
fl,liftoff,104.055835659,104.198024609,0.14218895,True
fl,landing,104.595940599,105.102539586,0.506598987,True
fr,liftoff,2.535568589,2.661586781,0.126018192,True
fr,landing,3.075795705,3.590721575,0.51492587,True
fr,liftoff,6.864553855,6.985164243,0.120610388,True
fr,landing,7.39636424,7.898357227,0.501992987,True
fr,liftoff,11.175669002,11.317995157,0.142326155,True
fr,landing,11.71577607,12.233476075,0.517700005,True
fr,liftoff,15.496360881,15.636502233,0.140141352,True
fr,landing,16.039463743,16.555586086,0.516122343,True
fr,liftoff,19.817550124,19.950933628,0.133383504,True
fr,landing,20.355456658,20.872380951,0.516924293,True
fr,liftoff,24.135647631,24.271938777,0.136291146,True
fr,landing,24.676285964,25.184572121,0.508286157,True
fr,liftoff,28.455393464,28.585410813,0.130017349,True
fr,landing,28.999687126,29.507393622,0.507706496,True
fr,liftoff,32.775641268,32.903072097,0.127430829,True
fr,landing,33.315442195,33.822483346,0.507041151,True
fr,liftoff,37.095433209,37.228677794,0.133244585,True
fr,landing,37.635645563,38.147257551,0.511611988,True
fr,liftoff,41.417290619,41.542100914,0.124810295,True
fr,landing,41.955905434,42.46469164,0.508786206,True
fr,liftoff,45.735916443,45.862895008,0.126978565,True
fr,landing,46.275445564,46.782976432,0.507530868,True
fr,liftoff,50.055780435,50.194221737,0.138441302,True
fr,landing,50.595757225,51.105185384,0.509428159,True
fr,liftoff,54.375724074,54.512006603,0.136282529,True
fr,landing,54.915588142,55.423037965,0.507449823,True
fr,liftoff,58.69587451,58.8281788,0.13230429,True
fr,landing,59.235957028,59.747298493,0.511341465,True
fr,liftoff,63.015849742,63.155021395,0.139171653,True
fr,landing,63.555506688,64.076935904,0.521429216,True
fr,liftoff,67.335949662,67.47281448,0.136864818,True
fr,landing,67.875616553,68.396420236,0.520803683,True
fr,liftoff,71.655592602,71.787578188,0.131985586,True
fr,landing,72.1955688,72.710084844,0.514516044,True
fr,liftoff,75.975621497,76.113406073,0.137784576,True
fr,landing,76.516081595,77.032365268,0.516283673,True
fr,liftoff,80.295725188,80.431879963,0.136154775,True
fr,landing,80.835996243,81.346684627,0.510688384,True
fr,liftoff,84.615705381,84.75663645,0.140931069,True
fr,landing,85.155578491,85.672394281,0.51681579,True
fr,liftoff,88.936076642,89.077444849,0.141368207,True
fr,landing,89.475451277,89.986666696,0.511215419,True
fr,liftoff,93.256018794,93.388635616,0.132616822,True
fr,landing,93.795646761,94.31265848,0.517011719,True
fr,liftoff,97.575625585,97.710920462,0.135294877,True
fr,landing,98.116815043,98.638194895,0.521379852,True
fr,liftoff,101.895767342,102.031684287,0.135916945,True
fr,landing,102.435589839,102.954803804,0.519213965,True
rl,liftoff,3.616128643,3.744799652,0.128671009,True
rl,landing,4.156058456,3.821703102,-0.334355354,True
rl,liftoff,7.935507612,8.076805067,0.141297455,True
rl,landing,8.475847459,8.145515471,-0.330331988,True
rl,liftoff,12.255682912,12.391612514,0.135929602,True
rl,landing,12.797920443,12.469178356,-0.328742087,True
rl,liftoff,16.575980907,16.722823335,0.146842428,True
rl,landing,17.115574817,16.790235899,-0.325338918,True
rl,liftoff,20.895813361,21.038291615,0.142478254,True
rl,landing,21.435590891,21.114818855,-0.320772036,True
rl,liftoff,25.215774694,25.359548481,0.143773787,True
rl,landing,25.755812661,25.425655864,-0.330156797,True
rl,liftoff,29.535399962,29.675606336,0.140206374,True
rl,landing,30.075836846,29.741290209,-0.334546637,True
rl,liftoff,33.861566126,33.992502138,0.130936012,True
rl,landing,34.395971723,34.06960431,-0.326367413,True
rl,liftoff,38.175572298,38.311544132,0.135971834,True
rl,landing,38.715843547,38.401349331,-0.314494216,True
rl,liftoff,42.496182802,42.631567086,0.135384284,True
rl,landing,43.035831244,42.708141599,-0.327689645,True
rl,liftoff,46.816913415,46.95107768,0.134164265,True
rl,landing,47.355641349,47.018631578,-0.337009771,True
rl,liftoff,51.135598235,51.273580875,0.13798264,True
rl,landing,51.675916112,51.350282546,-0.325633566,True
rl,liftoff,55.455926828,55.60047257,0.144545742,True
rl,landing,55.996012021,55.665688709,-0.330323312,True
rl,liftoff,59.775680005,59.917181347,0.141501342,True
rl,landing,60.321186145,59.991553859,-0.329632286,True
rl,liftoff,64.095737628,64.237919292,0.142181664,True
rl,landing,64.635700764,64.315562073,-0.320138691,True
rl,liftoff,68.415837339,68.556095757,0.140258418,True
rl,landing,68.955584813,68.633985861,-0.321598952,True
rl,liftoff,72.73587515,72.875527235,0.139652085,True
rl,landing,73.275583698,72.95078368,-0.324800018,True
rl,liftoff,77.055718683,77.19968088,0.143962197,True
rl,landing,77.595695174,77.278049187,-0.317645987,True
rl,liftoff,81.378387141,81.517278586,0.138891445,True
rl,landing,81.915874746,81.594315197,-0.321559549,True
rl,liftoff,85.695531144,85.836371652,0.140840508,True
rl,landing,86.235549279,85.913255032,-0.322294247,True
rl,liftoff,90.015845444,90.153569862,0.137724418,True
rl,landing,90.555847217,90.232271834,-0.323575383,True
rl,liftoff,94.335588423,94.470263701,0.134675278,True
rl,landing,94.875566463,94.548794402,-0.326772061,True
rl,liftoff,98.655799103,98.791999055,0.136199952,True
rl,landing,99.195594523,98.868705135,-0.326889388,True
rl,liftoff,102.975476999,103.120589262,0.145112263,True
rl,landing,103.518317898,103.188823618,-0.32949428,True
rr,landing,0.016320372,1.661155635,1.644835263,True
rr,liftoff,1.45583238,1.598047999,0.142215619,True
rr,landing,1.996504257,,,False
rr,liftoff,5.775431112,5.914776948,0.139345836,True
rr,landing,6.316024647,5.981366933,-0.334657714,True
rr,liftoff,10.096245962,10.2384497,0.142203738,True
rr,landing,10.636224453,10.3154238,-0.320800653,True
rr,liftoff,14.415403373,14.548725187,0.133321814,True
rr,landing,14.955593094,14.638120709,-0.317472385,True
rr,liftoff,18.736189741,18.880894849,0.144705108,True
rr,landing,19.275643675,18.947311852,-0.328331823,True
rr,liftoff,23.056272747,23.195578749,0.139306002,True
rr,landing,23.595481461,23.27248694,-0.322994521,True
rr,liftoff,27.376048027,27.507200126,0.131152099,True
rr,landing,27.915784074,27.584294363,-0.331489711,True
rr,liftoff,31.695561203,31.828163953,0.13260275,True
rr,landing,32.236013135,31.906078773,-0.329934362,True
rr,liftoff,36.015378754,36.148531435,0.133152681,True
rr,landing,36.556186187,36.226676206,-0.329509981,True
rr,liftoff,40.335901199,40.472930554,0.137029355,True
rr,landing,40.875702681,40.549420677,-0.326282004,True
rr,liftoff,44.655797626,44.787187622,0.131389996,True
rr,landing,45.195901863,44.864431246,-0.331470617,True
rr,liftoff,48.97553013,49.111138019,0.135607889,True
rr,landing,49.516354861,49.18850067,-0.327854191,True
rr,liftoff,53.295587711,53.438061797,0.142474086,True
rr,landing,53.835916263,53.503486479,-0.332429784,True
rr,liftoff,57.615549656,57.756482677,0.140933021,True
