leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,4.611649356,,,False
fl,landing,6.774150738,,,False
fl,liftoff,8.931767381,,,False
fl,landing,11.093725028,,,False
fl,liftoff,13.25933014,,,False
fl,landing,15.411399924,,,False
fl,liftoff,17.57118371,,,False
fl,landing,19.734741066,,,False
fl,liftoff,21.899220096,,,False
fl,landing,24.053655093,,,False
fl,liftoff,26.215835669,,,False
fl,landing,28.380157209,,,False
fl,liftoff,30.535833079,,,False
fl,landing,32.6937546,,,False
fl,liftoff,34.852432031,,,False
fl,landing,37.018811137,,,False
fl,liftoff,39.175762076,,,False
fl,landing,41.340100265,,,False
fl,liftoff,43.500211202,,,False
fl,landing,45.651716847,,,False
fl,liftoff,47.81135782,,,False
fl,landing,49.97169514,,,False
fl,liftoff,52.140408463,,,False
fl,landing,54.300263761,,,False
fl,liftoff,56.454241276,,,False
fl,landing,58.616812528,,,False
fl,liftoff,60.781536199,,,False
fl,landing,62.940797124,,,False
fl,liftoff,65.097989727,,,False
fl,landing,67.256223539,,,False
fl,liftoff,69.41211041,,,False
fl,landing,71.579041408,,,False
fl,liftoff,73.735053736,,,False
fl,landing,75.892405456,,,False
fl,liftoff,78.057010871,,,False
fl,landing,80.213730795,,,False
fl,liftoff,82.376122726,,,False
fl,landing,84.536357602,,,False
fl,liftoff,86.696833371,,,False
fl,landing,88.857693925,,,False
fl,liftoff,91.018105526,,,False
fl,landing,93.173696993,,,False
fr,landing,4.611649356,,,False
fr,liftoff,6.774150738,,,False
fr,landing,8.931767381,,,False
fr,liftoff,11.093725028,,,False
fr,landing,13.25933014,,,False
fr,liftoff,15.411399924,,,False
fr,landing,17.57118371,,,False
fr,liftoff,19.734741066,,,False
fr,landing,21.899220096,,,False
fr,liftoff,24.053655093,,,False
fr,landing,26.215835669,,,False
fr,liftoff,28.380157209,,,False
fr,landing,30.535833079,,,False
fr,liftoff,32.6937546,,,False
fr,landing,34.852432031,,,False
fr,liftoff,37.018811137,,,False
fr,landing,39.175762076,,,False
fr,liftoff,41.340100265,,,False
fr,landing,43.500211202,,,False
fr,liftoff,45.651716847,,,False
fr,landing,47.81135782,,,False
fr,liftoff,49.97169514,,,False
fr,landing,52.140408463,,,False
fr,liftoff,54.300263761,,,False
fr,landing,56.454241276,,,False
fr,liftoff,58.616812528,,,False
fr,landing,60.781536199,,,False
fr,liftoff,62.940797124,,,False
fr,landing,65.097989727,,,False
fr,liftoff,67.256223539,,,False
fr,landing,69.41211041,,,False
fr,liftoff,71.579041408,,,False
fr,landing,73.735053736,,,False
fr,liftoff,75.892405456,,,False
fr,landing,78.057010871,,,False
fr,liftoff,80.213730795,,,False
fr,landing,82.376122726,,,False
fr,liftoff,84.536357602,,,False
fr,landing,86.696833371,,,False
fr,liftoff,88.857693925,,,False
fr,landing,91.018105526,,,False
fr,liftoff,93.173696993,,,False
