leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,4.615775702,,,False
fl,landing,6.762932974,,,False
fl,liftoff,8.933439608,,,False
fl,landing,11.084313122,,,False
fl,liftoff,13.259917429,,,False
fl,landing,15.414188891,,,False
fl,liftoff,17.572765169,,,False
fl,landing,19.722910466,,,False
fl,liftoff,21.888674813,,,False
fl,landing,24.051608569,,,False
fl,liftoff,26.211852516,,,False
fl,landing,28.375724761,,,False
fl,liftoff,30.532843585,,,False
fl,landing,32.685172319,,,False
fl,liftoff,34.850843805,,,False
fl,landing,37.018382382,,,False
fl,liftoff,39.172606526,,,False
fl,landing,41.327855626,,,False
fl,liftoff,43.48562278,,,False
fl,landing,45.646570734,,,False
fl,liftoff,47.811932236,,,False
fl,landing,49.976265049,,,False
fl,liftoff,52.13687777,,,False
fl,landing,54.29333981,,,False
fl,liftoff,56.449348273,,,False
fl,landing,58.620462687,,,False
fl,liftoff,60.767741535,,,False
fl,landing,62.932731075,,,False
fl,liftoff,65.094724832,,,False
fl,landing,67.261695796,,,False
fl,liftoff,69.414310646,,,False
fl,landing,71.569448614,,,False
fl,liftoff,73.726185142,,,False
fl,landing,75.893889286,,,False
fl,liftoff,78.056957939,,,False
fl,landing,80.217360477,,,False
fl,liftoff,82.367782026,,,False
fl,landing,84.534125845,,,False
fl,liftoff,86.699404119,,,False
fl,landing,88.845418001,,,False
fl,liftoff,91.012300902,,,False
fl,landing,93.175530467,,,False
fl,liftoff,95.327666534,,,False
fl,landing,97.494754599,,,False
fl,liftoff,99.649182264,,,False
fr,landing,4.615775702,,,False
fr,liftoff,6.762932974,,,False
fr,landing,8.933439608,,,False
fr,liftoff,11.084313122,,,False
fr,landing,13.259917429,,,False
fr,liftoff,15.414188891,,,False
fr,landing,17.572765169,,,False
fr,liftoff,19.722910466,,,False
fr,landing,21.888674813,,,False
fr,liftoff,24.051608569,,,False
fr,landing,26.211852516,,,False
fr,liftoff,28.375724761,,,False
fr,landing,30.532843585,,,False
fr,liftoff,32.685172319,,,False
fr,landing,34.850843805,,,False
fr,liftoff,37.018382382,,,False
fr,landing,39.172606526,,,False
fr,liftoff,41.327855626,,,False
fr,landing,43.48562278,,,False
fr,liftoff,45.646570734,,,False
fr,landing,47.811932236,,,False
fr,liftoff,49.976265049,,,False
fr,landing,52.13687777,,,False
fr,liftoff,54.29333981,,,False
fr,landing,56.449348273,,,False
fr,liftoff,58.620462687,,,False
fr,landing,60.767741535,,,False
fr,liftoff,62.932731075,,,False
fr,landing,65.094724832,,,False
fr,liftoff,67.261695796,,,False
fr,landing,69.414310646,,,False
fr,liftoff,71.569448614,,,False
fr,landing,73.726185142,,,False
fr,liftoff,75.893889286,,,False
fr,landing,78.056957939,,,False
fr,liftoff,80.217360477,,,False
fr,landing,82.367782026,,,False
fr,liftoff,84.534125845,,,False
fr,landing,86.699404119,,,False
fr,liftoff,88.845418001,,,False
fr,landing,91.012300902,,,False
fr,liftoff,93.175530467,,,False
fr,landing,95.327666534,,,False
fr,liftoff,97.494754599,,,False
fr,landing,99.649182264,,,False
