leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,landing,1.100101265,2.454060239,1.353958974,True
fl,liftoff,4.33993319,4.712739269,0.372806079,True
fl,landing,5.419836006,6.786213357,1.366377351,True
fl,liftoff,8.659825381,9.034315178,0.374489797,True
fl,landing,9.739991818,11.099705653,1.359713835,True
fl,liftoff,12.979780615,13.360068413,0.380287798,True
fl,landing,14.060142316,15.427613293,1.367470977,True
fl,liftoff,17.300609194,17.677391148,0.376781954,True
fl,landing,18.379910114,19.745891246,1.365981132,True
fl,liftoff,21.619752092,21.99337651,0.373624418,True
fl,landing,22.699860962,24.060315734,1.360454772,True
fl,liftoff,25.940314445,26.318444211,0.378129766,True
fl,landing,27.020320604,28.384886611,1.364566007,True
fl,liftoff,30.260170436,30.647967671,0.387797235,True
fl,landing,31.34045363,32.702166487,1.361712857,True
fl,liftoff,34.580332054,34.952865504,0.37253345,True
fl,landing,35.660137459,37.020087564,1.359950105,True
fl,liftoff,38.899931011,39.287686555,0.387755544,True
fl,landing,39.979760203,41.338625107,1.358864904,True
fl,liftoff,43.220462629,43.599757037,0.379294408,True
fl,landing,44.299825363,45.659361442,1.359536079,True
fl,liftoff,47.539859943,47.918708807,0.378848864,True
fl,landing,48.619841658,49.978180263,1.358338605,True
fl,liftoff,51.86025477,52.242174463,0.381919693,True
fl,landing,52.948783985,54.297012688,1.348228703,True
fl,liftoff,56.180222017,56.561071997,0.38084998,True
fl,landing,57.260177667,58.61941825,1.359240583,True
fl,liftoff,60.500306793,60.879271618,0.378964825,True
fl,landing,61.580469174,62.94737159,1.366902416,True
fl,liftoff,64.819784257,65.198496724,0.378712467,True
fl,landing,65.899854125,67.266663973,1.366809848,True
fl,liftoff,69.139885445,69.528439021,0.388553576,True
fl,landing,70.219776927,71.587645702,1.367868775,True
fl,liftoff,73.459820873,73.843153413,0.38333254,True
fl,landing,74.540029596,75.907757802,1.367728206,True
fl,liftoff,77.779870372,78.158654366,0.378783994,True
fl,landing,78.860029341,80.218125647,1.358096306,True
fl,liftoff,82.100036234,82.481382156,0.381345922,True
fl,landing,83.179838971,84.548857237,1.369018266,True
fl,liftoff,86.420946825,86.79267367,0.371726845,True
fl,landing,87.500271199,88.869367098,1.369095899,True
fl,liftoff,90.741342506,91.117095044,0.375752538,True
fl,landing,91.819921161,93.185440518,1.365519357,True
fl,liftoff,95.059925933,95.438143556,0.378217623,True
fl,landing,96.140236862,97.500812634,1.360575772,True
fl,liftoff,99.379833122,99.764800003,0.384966881,True
fl,landing,100.459740809,101.819367793,1.359626984,True
fl,liftoff,103.699996755,104.074785974,0.374789219,True
fl,landing,104.779888421,106.149807817,1.369919396,True
fl,liftoff,108.019815876,108.400858557,0.381042681,True
fl,landing,109.100722961,110.45764274,1.356919779,True
fl,liftoff,112.340110725,112.72074424,0.380633515,True
fl,landing,113.419889317,114.781663502,1.361774185,True
fl,liftoff,116.660083513,117.044798967,0.384715454,True
fl,landing,117.739980788,119.103716504,1.363735716,True
fl,liftoff,120.983001081,121.358513584,0.375512503,True
fl,landing,122.059956768,123.424044804,1.364088036,True
fl,liftoff,125.299800838,125.67328788,0.373487042,True
fl,landing,126.379987378,127.746858857,1.366871479,True
fl,liftoff,129.61980263,130.003668529,0.383865899,True
fl,landing,130.699844445,132.068017017,1.368172572,True
fl,liftoff,133.939724205,134.320280227,0.380556022,True
fl,landing,135.019971267,136.378701762,1.358730495,True
fl,liftoff,138.259953156,138.635789627,0.375836471,True
fl,landing,139.339898196,140.707125598,1.367227402,True
fl,liftoff,142.57985882,142.972174315,0.392315495,True
fl,landing,143.659950054,145.027308007,1.367357953,True
fl,liftoff,146.900355003,147.286803168,0.386448165,True
fl,landing,147.983309656,149.344689155,1.361379499,True
fl,liftoff,151.222020458,151.603348465,0.381328007,True
fl,landing,152.299892025,153.663371144,1.363479119,True
fl,liftoff,155.546029995,155.925595046,0.379565051,True
fl,landing,156.619725198,157.982265405,1.362540207,True
fl,liftoff,159.859969805,160.248201309,0.388231504,True
fl,landing,160.939834643,162.30925782,1.369423177,True
fl,liftoff,164.180573559,164.559752413,0.379178854,True
fl,landing,165.259645717,166.627877824,1.368232107,True
fl,liftoff,168.499819697,168.874012335,0.374192638,True
fl,landing,169.580353294,170.946293633,1.365940339,True
fl,liftoff,172.819885573,173.203870161,0.383984588,True
fl,landing,173.901802623,175.265050586,1.363247963,True
fl,liftoff,177.141462696,177.518577247,0.377114551,True
fl,landing,178.219819424,179.586664576,1.366845152,True
fl,liftoff,181.461720793,181.837312763,0.37559197,True
fl,landing,182.542988881,183.911418358,1.368429477,True
fl,liftoff,185.779792618,186.161962504,0.382169886,True
fl,landing,186.859887895,188.227306915,1.36741902,True
fl,liftoff,190.116197183,190.48493882,0.368741637,True
fl,landing,191.179791185,192.54684716,1.367055975,True
fl,liftoff,194.419667579,194.805895666,0.386228087,True
fl,landing,195.499919356,196.86216977,1.362250414,True
fl,liftoff,198.751275183,199.12361446,0.372339277,True
fl,landing,199.819886839,201.188005624,1.368118785,True
fl,liftoff,203.060262827,203.448457702,0.388194875,True
fl,landing,204.139904834,205.505965129,1.366060295,True
fl,liftoff,207.381234632,207.764140699,0.382906067,True
fl,landing,208.459715952,209.829514502,1.36979855,True
fl,liftoff,211.701687502,212.079742206,0.378054704,True
fl,landing,212.779797085,214.144588113,1.364791028,True
fl,liftoff,216.019774925,216.403418407,0.383643482,True
fl,landing,217.099932425,218.469708673,1.369776248,True
fl,liftoff,220.340058392,220.719775439,0.379717047,True
fl,landing,221.419836971,222.787251306,1.367414335,True
fl,liftoff,224.660055731,225.050060987,0.390005256,True
fl,landing,225.741840928,227.108177055,1.366336127,True
fl,liftoff,228.980252058,229.36599219,0.385740132,True
fl,landing,230.060066447,231.431164723,1.371098276,True
fl,liftoff,233.300222752,233.684342846,0.384120094,True
fl,landing,234.380274023,235.742391857,1.362117834,True
fl,liftoff,237.619898409,238.002830303,0.382931894,True
fl,landing,238.702328851,240.067233852,1.364905001,True
fl,liftoff,241.940813889,242.320844456,0.380030567,True
fl,landing,243.020374233,244.383201577,1.362827344,True
fl,liftoff,246.263045137,246.645728292,0.382683155,True
fl,landing,247.340229496,248.696961619,1.356732123,True
fl,liftoff,250.579782382,250.959703262,0.37992088,True
fl,landing,251.65978934,253.021784668,1.361995328,True
fl,liftoff,254.89986614,255.287469585,0.387603445,True
fl,landing,255.97994061,257.348170711,1.368230101,True
fl,liftoff,259.221153292,259.611322461,0.390169169,True
fl,landing,260.299956013,261.666027533,1.36607152,True
fl,liftoff,263.540240835,263.921606291,0.381365456,True
fl,landing,264.619971324,265.986429923,1.366458599,True
fl,liftoff,267.860102489,268.229250509,0.36914802,True
fl,landing,268.940253707,270.313573573,1.373319866,True
fl,liftoff,272.180058348,272.564302174,0.384243826,True
fl,landing,273.259697343,274.623229818,1.363532475,True
fl,liftoff,276.505261452,276.883365027,0.378103575,True
fl,landing,277.580060152,278.941046703,1.360986551,True
fl,liftoff,280.824446858,281.202155392,0.377708534,True
fl,landing,281.900854303,283.270431679,1.369577376,True
fl,liftoff,285.140100726,285.515269194,0.375168468,True
fl,landing,286.219733421,287.578190556,1.358457135,True
fl,liftoff,289.459899423,289.840705611,0.380806188,True
fl,landing,290.539966733,291.901181428,1.361214695,True
fl,liftoff,293.780142073,294.160623393,0.38048132,True
fl,landing,294.86231669,296.231744055,1.369427365,True
fl,liftoff,298.103043855,298.483895539,0.380851684,True
fl,landing,299.179836403,300.550100326,1.370263923,True
fl,liftoff,302.419722599,302.799376513,0.379653914,True
fl,landing,303.499948469,304.871587918,1.371639449,True
fl,liftoff,306.739849503,307.120067308,0.380217805,True
fl,landing,307.820319077,309.179358719,1.359039642,True
fl,liftoff,311.059868757,311.434144145,0.374275388,True
fl,landing,312.140064497,313.499971785,1.359907288,True
fl,liftoff,315.379929452,315.755231846,0.375302394,True
fl,landing,316.459737853,317.825701334,1.365963481,True
fl,liftoff,319.699901021,320.083431421,0.3835304,True
fl,landing,320.780291325,322.143239764,1.362948439,True
fl,liftoff,324.020174282,324.401391114,0.381216832,True
fl,landing,325.09977711,326.462200323,1.362423213,True
fl,liftoff,328.339907704,328.721339547,0.381431843,True
fl,landing,329.419875064,,,False
fr,liftoff,2.182651424,2.545793384,0.36314196,True
fr,landing,3.264400996,4.622525423,1.358124427,True
fr,liftoff,6.500133784,6.884529809,0.384396025,True
fr,landing,7.579830393,8.946979065,1.367148672,True
fr,liftoff,10.819780528,11.208355697,0.388575169,True
fr,landing,11.90040833,13.272619225,1.372210895,True
fr,liftoff,15.143348966,15.518198115,0.374849149,True
fr,landing,16.219941378,17.577426827,1.357485449,True
fr,liftoff,19.459776639,19.848738704,0.388962065,True
fr,landing,20.540028657,21.894703486,1.354674829,True
fr,liftoff,23.781752595,24.157559128,0.375806533,True
fr,landing,24.860073027,26.21846084,1.358387813,True
fr,liftoff,28.100256846,28.486044011,0.385787165,True
fr,landing,29.181642051,30.546449339,1.364807288,True
fr,liftoff,32.420886944,32.791761446,0.370874502,True
fr,landing,33.499824348,34.856158558,1.35633421,True
fr,liftoff,36.739834345,37.118174408,0.378340063,True
fr,landing,37.819634781,39.192642258,1.373007477,True
fr,liftoff,41.060025535,41.436697846,0.376672311,True
fr,landing,42.142432769,43.502807639,1.36037487,True
fr,liftoff,45.379935323,45.765947515,0.386012192,True
fr,landing,46.460981087,47.828727481,1.367746394,True
fr,liftoff,49.71103535,50.075809238,0.364773888,True
fr,landing,50.780874745,52.151749547,1.370874802,True
fr,liftoff,54.02011766,54.394982679,0.374865019,True
fr,landing,55.100170001,56.47144696,1.371276959,True
fr,liftoff,58.341331665,58.719951475,0.37861981,True
fr,landing,59.420247541,60.789994687,1.369747146,True
fr,liftoff,62.671729247,63.044686176,0.372956929,True
fr,landing,63.74207339,65.098481494,1.356408104,True
fr,liftoff,66.979834179,67.363964545,0.384130366,True
fr,landing,68.059737193,69.432334438,1.372597245,True
fr,liftoff,71.305142647,71.678635323,0.373492676,True
fr,landing,72.385200935,73.74020635,1.355005415,True
fr,liftoff,75.619784286,75.99750125,0.377716964,True
fr,landing,76.699894724,78.059874174,1.35997945,True
fr,liftoff,79.940390709,80.316979399,0.37658869,True
fr,landing,81.019892257,82.385281764,1.365389507,True
fr,liftoff,84.260060505,84.647806993,0.387746488,True
fr,landing,85.339797849,86.706685282,1.366887433,True
fr,liftoff,88.580588545,88.969246331,0.388657786,True
fr,landing,89.660974765,91.029547488,1.368572723,True
fr,liftoff,92.901868586,93.285002083,0.383133497,True
fr,landing,93.980355258,95.348820604,1.368465346,True
fr,liftoff,97.220133963,97.603123866,0.382989903,True
fr,landing,98.29992514,99.651985766,1.352060626,True
fr,liftoff,101.539778997,101.916409902,0.376630905,True
fr,landing,102.619915345,103.987417081,1.367501736,True
fr,liftoff,105.859785172,106.244725143,0.384939971,True
fr,landing,106.940071624,108.300802211,1.360730587,True
fr,liftoff,110.179961588,110.560510639,0.380549051,True
fr,landing,111.259752703,112.629290726,1.369538023,True
fr,liftoff,114.499775116,114.88472549,0.384950374,True
fr,landing,115.580018475,116.947702339,1.367683864,True
fr,liftoff,118.819830538,119.202795328,0.38296479,True
fr,landing,119.90017113,121.26910457,1.36893344,True
fr,liftoff,123.139813551,123.53740799,0.397594439,True
fr,landing,124.222070273,125.573225966,1.351155693,True
fr,liftoff,127.462127815,127.845372086,0.383244271,True
fr,landing,128.54004708,129.9034937,1.36344662,True
fr,liftoff,131.781050174,132.165651747,0.384601573,True
fr,landing,132.859870401,134.2222665,1.362396099,True
fr,liftoff,136.099833116,136.484478869,0.384645753,True
fr,landing,137.20785581,138.54714451,1.3392887,True
fr,liftoff,140.419990789,140.795601586,0.375610797,True
fr,landing,141.50022791,142.860496265,1.360268355,True
fr,liftoff,144.739983223,145.116585561,0.376602338,True
fr,landing,145.822881351,147.187796058,1.364914707,True
fr,liftoff,149.060106619,149.444451462,0.384344843,True
fr,landing,150.139650566,151.503777558,1.364126992,True
fr,liftoff,153.380796897,153.760806425,0.380009528,True
fr,landing,154.459762129,155.825753406,1.365991277,True
fr,liftoff,157.699729506,158.081559902,0.381830396,True
fr,landing,158.780048845,160.148017151,1.367968306,True
fr,liftoff,162.031684424,162.39587858,0.364194156,True
fr,landing,163.09955685,164.470935102,1.371378252,True
fr,liftoff,166.344570409,166.72485245,0.380282041,True
fr,landing,167.420238273,168.784842085,1.364603812,True
fr,liftoff,170.659765938,171.036142997,0.376377059,True
fr,landing,171.740111077,173.101196574,1.361085497,True
fr,liftoff,174.979708256,175.364283783,0.384575527,True
fr,landing,176.060135017,177.435439374,1.375304357,True
fr,liftoff,179.299632459,179.674984663,0.375352204,True
fr,landing,180.379855582,181.740477977,1.360622395,True
fr,liftoff,183.619893386,184.00871555,0.388822164,True
fr,landing,184.700071101,186.058722121,1.35865102,True
fr,liftoff,187.939771688,188.325228238,0.38545655,True
fr,landing,189.019655344,190.384501372,1.364846028,True
fr,liftoff,192.259753733,192.641547738,0.381794005,True
fr,landing,193.339934928,194.704654438,1.36471951,True
fr,liftoff,196.579958244,196.959726928,0.379768684,True
fr,landing,197.659918969,199.027515828,1.367596859,True
fr,liftoff,200.900031494,201.277502151,0.377470657,True
fr,landing,201.98321706,203.346849267,1.363632207,True
fr,liftoff,205.220899101,205.605999321,0.38510022,True
fr,landing,206.300891137,207.66466395,1.363772813,True
fr,liftoff,209.540073963,209.918375961,0.378301998,True
fr,landing,210.619721154,211.991309847,1.371588693,True
fr,liftoff,213.859823465,214.243461714,0.383638249,True
fr,landing,214.939799644,216.304581725,1.364782081,True
fr,liftoff,218.180351402,218.559812312,0.37946091,True
fr,landing,219.260026057,220.620336307,1.36031025,True
fr,liftoff,222.501422679,222.877699017,0.376276338,True
fr,landing,223.579623875,224.94746122,1.367837345,True
fr,liftoff,226.819902652,227.206624516,0.386721864,True
fr,landing,227.900312688,229.266634458,1.36632177,True
fr,liftoff,231.140171187,231.529839084,0.389667897,True
fr,landing,232.219849636,233.58788829,1.368038654,True
fr,liftoff,235.460030961,235.840075386,0.380044425,True
fr,landing,236.54011904,237.903928931,1.363809891,True
fr,liftoff,239.779863255,240.164564957,0.384701702,True
fr,landing,240.860239343,242.227731383,1.36749204,True
fr,liftoff,244.099988703,244.482946805,0.382958102,True
fr,landing,245.180240291,246.547253735,1.367013444,True
fr,liftoff,248.41991772,248.801117985,0.381200265,True
fr,landing,249.500983982,250.859813278,1.358829296,True
fr,liftoff,252.739879037,253.119190238,0.379311201,True
fr,landing,253.821315574,255.1871619,1.365846326,True
