leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,landing,2.448371385,,,False
fl,liftoff,4.618400892,,,False
fl,landing,6.780274433,,,False
fl,liftoff,8.936697539,,,False
fl,landing,11.096846454,,,False
fl,liftoff,13.261668113,,,False
fl,landing,15.424186719,,,False
fl,liftoff,17.571896862,,,False
fl,landing,19.737281167,,,False
fl,liftoff,21.896621913,,,False
fl,landing,24.061447209,,,False
fl,liftoff,26.220408176,,,False
fl,landing,28.380919013,,,False
fl,liftoff,30.531510516,,,False
fl,landing,32.700923585,,,False
fl,liftoff,34.856316858,,,False
fl,landing,37.015950721,,,False
fl,liftoff,39.180998331,,,False
fl,landing,41.334535355,,,False
fl,liftoff,43.499508366,,,False
fl,landing,45.658270495,,,False
fl,liftoff,47.818279484,,,False
fl,landing,49.975045406,,,False
fl,liftoff,52.138903199,,,False
fl,landing,54.297759227,,,False
fl,liftoff,56.454727787,,,False
fl,landing,58.614787479,,,False
fl,liftoff,60.773234256,,,False
fl,landing,62.936381996,,,False
fr,liftoff,2.448371385,,,False
fr,landing,4.618400892,,,False
fr,liftoff,6.780274433,,,False
fr,landing,8.936697539,,,False
fr,liftoff,11.096846454,,,False
fr,landing,13.261668113,,,False
fr,liftoff,15.424186719,,,False
fr,landing,17.571896862,,,False
fr,liftoff,19.737281167,,,False
fr,landing,21.896621913,,,False
fr,liftoff,24.061447209,,,False
fr,landing,26.220408176,,,False
fr,liftoff,28.380919013,,,False
fr,landing,30.531510516,,,False
fr,liftoff,32.700923585,,,False
fr,landing,34.856316858,,,False
fr,liftoff,37.015950721,,,False
fr,landing,39.180998331,,,False
fr,liftoff,41.334535355,,,False
fr,landing,43.499508366,,,False
fr,liftoff,45.658270495,,,False
fr,landing,47.818279484,,,False
fr,liftoff,49.975045406,,,False
fr,landing,52.138903199,,,False
fr,liftoff,54.297759227,,,False
fr,landing,56.454727787,,,False
fr,liftoff,58.614787479,,,False
fr,landing,60.773234256,,,False
fr,liftoff,62.936381996,,,False
