ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,5.759893376,5.759893376,559,1.4507107086170201e-06,2.518641603092446e-07,5.660380787046218e-06,6.769730666999422e-06,0.0374024861532295,0.03740667214470446,0.03740481210010371,179.9993060576578,180.0,0.002497072775853154,0.004335783450789744,0.009084944780205051,0.3967673066959864
2,5.759893376,11.519813972,5.759920596,576,8.855937960183802e-07,1.5375104244204067e-07,-2.2678857054846732e-07,1.2019762707230646e-05,0.03740248610464255,0.03740667065505313,0.03740474872036446,179.99924998468796,179.9999999869741,0.002544113641075471,0.004421695662352337,0.008021526496679754,0.3957432117944726
3,11.519813972,17.27999457,5.760180598,576,9.23543590936049e-07,1.6033240194877117e-07,-1.466792176109023e-07,1.1938961179892739e-05,0.037402486179130855,0.0374066701711564,0.037404749444912566,179.99925098783916,179.99999994672817,0.0025431571415173064,0.004411166012798956,0.00800544731085484,0.39571477506334035
4,17.27999457,23.040038901,5.760044331,576,9.235435753929266e-07,1.6033619227937272e-07,-1.466792330707342e-07,1.1938961195352676e-05,0.03740248617913086,0.037406670171156405,0.03740474944491258,179.9992509878391,179.99999994672817,0.0025431571421088164,0.004411166012799033,0.00800544731085484,0.39571477506334096
5,23.040038901,28.799984252,5.759945351,576,9.23654273510266e-07,1.6035816613258454e-07,-1.463375756260355e-07,1.1938961195353074e-05,0.03740248617913087,0.03740667017115642,0.03740474945410787,179.99925099483767,179.99999994672817,0.0025431272589597907,0.004411166012799029,0.007861732148040645,0.39571477506334013
6,28.799984252,34.56004395,5.760059698,576,9.2429394327187e-07,1.6046603537682119e-07,-1.480485258597925e-07,1.194033074119102e-05,0.037402486179130626,0.037406670171152734,0.03740474945141692,179.99925075289718,179.99999995449116,0.002543372064299228,0.004412018342698308,0.008022211760449816,0.3958640475782396
7,34.56004395,40.319920083,5.759876133,574,9.233282524112596e-07,1.6030349109788046e-07,-1.464516545545791e-07,1.193869709129337e-05,0.0374024861791009,0.03740667017967829,0.037404750761221364,179.9992520028689,179.99999994672817,0.0025439079851472426,0.0044111660127989505,0.008021573690703332,0.39571477506333996
8,40.319920083,46.080030034,5.760109951,576,9.235435750598597e-07,1.60334365648615e-07,-1.4667923651033086e-07,1.1938961176778434e-05,0.03740248617913088,0.03740667017115642,0.03740474944491258,179.9992509878391,179.99999994672817,0.002543157142104582,0.004411166012799066,0.008021526495926246,0.39571477506334024
9,46.080030034,51.840191529,5.760161495,576,9.235435750598597e-07,1.60332930918955e-07,-1.466792357083355e-07,1.1938961175976847e-05,0.037402486179130855,0.03740667017115643,0.03740474944491258,179.9992509878391,179.99999994672817,0.0025431571421088146,0.004411166012799047,0.008022211760563502,0.39571477506333974
10,51.840191529,57.599946341,5.759754812,576,9.235435750598597e-07,1.603442516573325e-07,-1.4667923570872175e-07,1.1938961175976779e-05,0.037402486179130834,0.037406670171156446,0.03740474944491258,179.9992509878391,179.99999994672817,0.0025431571421088133,0.0044111660127990945,0.008022211760563502,0.39571477506333996
11,57.599946341,63.360092437,5.760146096,576,9.235435750598597e-07,1.6033335954815334e-07,-1.466792357086201e-07,1.1938961175976874e-05,0.03740248617913086,0.0374066701711564,0.03740474944491257,179.9992509878391,179.99999994672817,0.0025431571421088007,0.004411166012799024,0.008022211760563502,0.39571477506334013
12,63.360092437,69.119927623,5.759835186,576,9.235435750598597e-07,1.603420141785737e-07,-1.4667923570900127e-07,1.1938961175976708e-05,0.03740248617913088,0.03740667017115642,0.03740474944491258,179.9992509878391,179.99999994672817,0.002543157142108799,0.004411166012799039,0.008022211760563502,0.3957147750633402
