leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.375945427,0.513269048,0.137323621,True
fl,landing,0.914567683,1.135747049,0.221179366,True
fl,liftoff,4.69318447,4.835818198,0.142633728,True
fl,landing,5.232691266,5.695584065,0.462892799,True
fl,liftoff,9.013029447,9.147548689,0.134519242,True
fl,landing,9.552970013,10.014480418,0.461510405,True
fl,liftoff,13.332788837,13.477301945,0.144513108,True
fl,landing,13.873343286,14.322906274,0.449562988,True
fl,liftoff,17.652802454,17.783499669,0.130697215,True
fl,landing,18.193446165,18.653778833,0.460332668,True
fl,liftoff,21.973442496,22.116344709,0.142902213,True
fl,landing,22.51512913,22.984235227,0.469106097,True
fl,liftoff,26.293080068,26.423496734,0.130416666,True
fl,landing,26.837463187,27.299529709,0.462066522,True
fl,liftoff,30.613350034,30.751112212,0.137762178,True
fl,landing,31.153115822,31.619040888,0.465925066,True
fl,liftoff,34.932915153,35.060247651,0.127332498,True
fl,landing,35.473935614,35.934604028,0.460668414,True
fl,liftoff,39.252874183,39.395173659,0.142299476,True
fl,landing,39.793264746,40.254072419,0.460807673,True
fl,liftoff,43.573424731,43.708715434,0.135290703,True
fl,landing,44.113420566,44.571126937,0.457706371,True
fl,liftoff,47.892843412,48.03444252,0.141599108,True
fl,landing,48.432907348,48.902185162,0.469277814,True
fl,liftoff,52.213086676,52.349159725,0.136073049,True
fl,landing,52.753024865,53.205221054,0.452196189,True
fl,liftoff,56.533374291,56.669039558,0.135665267,True
fl,landing,57.075368222,57.527076553,0.451708331,True
fl,liftoff,60.85495021,60.981434594,0.126484384,True
fl,landing,61.39292551,61.853093809,0.460168299,True
fl,liftoff,65.173111126,65.31074729,0.137636164,True
fr,liftoff,2.533374165,2.660632096,0.127257931,True
fr,landing,3.076001397,3.525645616,0.449644219,True
fr,liftoff,6.852911337,6.994078475,0.141167138,True
fr,landing,7.393232541,7.855752461,0.46251992,True
fr,liftoff,11.173626198,11.308825105,0.135198907,True
fr,landing,11.714823734,12.168898175,0.454074441,True
fr,liftoff,15.492998382,15.630662608,0.137664226,True
fr,landing,16.0338067,16.492741992,0.458935292,True
fr,liftoff,19.813007388,19.955078599,0.142071211,True
fr,landing,20.35331682,20.812416332,0.459099512,True
