ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,4.320014886,4.320014886,254,0.006621638850512975,0.0015327814892425293,0.004951487040138152,0.010021910463660367,0.22250162792942052,0.22421669432204314,0.22359310776354271,1.0710681635743111,2.23262770821048,2.151367695056722,4.358724456232371,0.021619804814029586,1.08670888202717
2,4.320014886,8.640231408,4.320216522,253,0.023296241882804145,0.00539237831348772,0.0005399341833249253,0.0150914024410285,0.22292934637824785,0.22425557585185102,0.22384072844379696,1.1336529911151965,2.226300744061025,2.220355603529207,4.353124085962141,0.018237881618576535,0.9193356633583611
3,8.640231408,12.960042644,4.319811236,254,0.023560624613731995,0.0054540866085501325,0.0004132267240981877,0.015166036635823202,0.22292171091343407,0.22425290663295733,0.22383419489519563,1.1431708252081068,2.2340857619854346,2.238933825177802,4.3666562912989155,0.01832019495408932,0.9192744787159931
4,12.960042644,17.279999624,4.31995698,253,0.023176631356902677,0.0053650143888476125,0.0005601481891802677,0.01510447321791376,0.22292186678001416,0.2242541575340179,0.22383712454521404,1.1395985016903305,2.233914115268625,2.23205106474219,4.364332178095902,0.01832157231090925,0.9193397219337687
5,17.279999624,21.600164699,4.320165075,254,0.023698798194142487,0.00548562329973988,0.00036449347247050935,0.015175144702897148,0.22292264013547416,0.22425618037130277,0.22383811351308244,1.1411635849858315,2.2333348724515054,2.2354026676544576,4.36346605905945,0.018324540084661778,0.919480300690493
6,21.600164699,25.92003198,4.319867281,253,0.023163863761658784,0.005362170236928348,0.0005676538887036675,0.015064585923407977,0.22292335214701328,0.22425572158975202,0.2238385695134449,1.137262511816731,2.2330145491652016,2.2270440213813374,4.366303781930872,0.018321572135510222,0.9193397232454001
7,25.92003198,30.2401229,4.32009092,254,0.02329475813747167,0.005392191638751823,0.0005369450601152865,0.01513751028818117,0.2229224291876837,0.22425363629910344,0.22383623981601164,1.1415482473818892,2.233940968351001,2.2357560944082913,4.366585208398627,0.0183245399677473,0.9194802951524309
8,30.2401229,34.560132551,4.320009651,254,0.023341023502831015,0.0054030026292714445,0.0005066761041396441,0.015171766852259148,0.2229215535032984,0.2242568161966896,0.22383575486876914,1.1428199854063026,2.2339894193023704,2.2383086458850823,4.367821025959271,0.01832157223999975,0.9264979524543339
9,34.560132551,38.880319378,4.320186827,254,0.02327811199532029,0.0053882188265188865,0.0005586409972640196,0.015157186587458045,0.22292189652306826,0.22425524826074658,0.22383512923695564,1.143072416793075,2.234005932579465,2.239241382424593,4.367624271648562,0.018484684090905645,0.92649794769387
10,38.880319378,43.200104401,4.319785023,253,0.023677144226413233,0.0054810931794865006,0.0004033484530539429,0.015181685499394295,0.2229230897000071,0.22425523089677793,0.2238359842697857,1.1406044379981815,2.233275233583344,2.2344523952546878,4.366870509740776,0.018364896614839865,0.9219704615168189
11,43.200104401,47.520430315,4.320325914,253,0.0229282119441315,0.005307056088021673,0.0006645281682784599,0.01507826966975763,0.22292065564081767,0.2242568585979424,0.22383403350244058,1.1430383279253677,2.233937267347432,2.2385848716291097,4.367547409321631,0.01832109662346415,0.919339720227103
12,47.520430315,51.84009248,4.319662165,254,0.023719985590244574,0.005491166828377323,0.00040950134980406207,0.015194071993960594,0.22292221051614436,0.2242551747677091,0.22383311888347832,1.1463667047556585,2.23352243454223,2.245743797750168,4.367932360652895,0.018364896616450133,0.9219704614607742
13,51.84009248,56.160165896,4.320073416,253,0.022925772841966008,0.005306801675419955,0.0006855792016713831,0.015073978543619717,0.2229213560626408,0.2242564814577345,0.22383686957627258,1.1397805465346145,2.234023007727779,2.2325534341924445,4.367043900093025,0.018324444539521756,0.9194757748554949
