ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,4.80004067,4.80004067,282,0.006028218883157521,0.0012558682931237584,0.0054161542953912786,0.009166823029143224,0.2223558246106909,0.2242234742683782,0.22353722302230922,1.0832571745823634,2.254718842633776,2.191280324603923,4.401102399046756,0.017967641035035675,0.9025745562340427
2,4.80004067,9.600052493,4.800011823,281,0.023337844634662992,0.004862038989745003,0.0007007145695577767,0.014829916690820809,0.22290711971804472,0.2242693570286173,0.2238511095118365,1.1480765099443637,2.255426978763483,2.249956779413149,4.408917925031158,0.017967641086626185,0.9028375749214161
3,9.600052493,14.399979905,4.799927412,282,0.024106742070209203,0.005022313881235254,0.0003572434179366273,0.015057939894963577,0.2229065499687139,0.22426998572467086,0.22384823472444457,1.1536697148527901,2.2551478165576384,2.2609700845323353,4.4115800594870676,0.01797319367781458,0.9028375761551708
4,14.399979905,19.200018771,4.800038866,282,0.02367985003834936,0.00493326214628808,0.0005233599784596294,0.014951506532797351,0.22290646294815994,0.22427012427661,0.2238501099868601,1.1509645409742615,2.255348458361239,2.255569698393611,4.411644724490239,0.01796764102222992,0.9025745569772587
5,19.200018771,24.000077336,4.800058565,282,0.024034146409246657,0.005007052744000564,0.0003930325799657011,0.014993059704789981,0.22290847872122785,0.2242699523830647,0.22385091371497326,1.149697428758482,2.2551152670088617,2.2532331518457025,4.4115673498228825,0.017967641087563546,0.9025745587221978
6,24.000077336,28.7800035,4.779926164,281,0.023907750684595844,0.005001698742682889,0.00043984756442784056,0.014925872774328516,0.2229068865338457,0.22427016385457263,0.22384782105885748,1.154013918100003,2.2551781886456936,2.261702506998781,4.411855782162922,0.017970946592833492,0.9027311352876454
7,28.7800035,33.58001418,4.80001068,282,0.02377089336105989,0.004952258431445801,0.0004928367196252647,0.014875674454239325,0.22290648796707102,0.2242700254485333,0.22385033381877956,1.1489968171179874,2.2552777329906686,2.2517910063414597,4.40768386673967,0.018066045354042215,0.9027686054355012
8,33.58001418,38.380079302,4.800065122,281,0.023626004816466067,0.004922017559341368,0.0005493577121017225,0.01493486933699396,0.22290812838260982,0.2242700208679227,0.22385085485520298,1.1484383187064031,2.255239946797074,2.25065673982363,4.4113049981051,0.018130643134156688,0.9102957082978624
9,38.380079302,43.15996398,4.779884678,281,0.02392067605718573,0.0050044462719537035,0.00044788277065524896,0.014941284623098102,0.2229069488669146,0.22427024313085095,0.2238563662837699,1.1398068337232201,2.2554509275979053,2.233848270572791,4.4086601069535325,0.01796764103956583,0.90257455644863
10,43.15996398,47.959983367,4.800019387,282,0.02361078863318236,0.004918894431370004,0.0005515295984032942,0.014965661880139904,0.22290531189841292,0.2242702629345674,0.2238487302198112,1.1513201925593086,2.255316110614296,2.256078907759876,4.411918871459839,0.018130643111434086,0.9102957072044354
11,47.959983367,52.760127892,4.800144525,282,0.02412857324120876,0.005026634743088024,0.00036599264591203814,0.015022443279456184,0.22290626464936486,0.22426972536369286,0.2238502007221729,1.1499238337012099,2.255351877261454,2.2535495891858424,4.4117290883956235,0.018130643112515443,0.9102957072164943
12,52.760127892,57.560005212,4.79987732,282,0.023653898294389825,0.004928021430012262,0.0005376462913511699,0.014907291535374232,0.22290640781828513,0.22426995172977887,0.223849993300766,1.1503608906245792,2.2553410211156644,2.25429073963131,4.410401523265236,0.017973193650066777,0.9028375748069469
13,57.560005212,62.360004251,4.799999039,282,0.02381393398452919,0.004961237240057953,0.0004944952625985776,0.014958816010302734,0.2229066409036526,0.22427019154812844,0.22384993945269444,1.1513453626433103,2.2553465519581057,2.256368387630392,4.411085889823621,0.01796764100300896,0.9025745587790884
14,62.360004251,67.160160921,4.80015667,281,0.023577653974782287,0.004911850923978756,0.0005813338150107341,0.014958497123559848,0.2229084662474567,0.2242705828772802,0.22385145500962095,1.1474127431456174,2.2550154721795876,2.248666539255858,4.412127778229818,0.017967640999632106,0.910295709769144
15,67.160160921,71.960271079,4.800110158,282,0.023956983995548076,0.004990923792784357,0.0004349387311148728,0.015029409337876384,0.22290641092116004,0.2242703136555748,0.2238495391973949,1.151455519062493,2.2553457866254543,2.256710759930084,4.411190245455337,0.01791934347612756,0.9025745556379139
