ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,5.760087114,5.760087114,338,0.01653446170895737,0.002870522855248152,0.0004506250881776818,0.005597717180697153,0.22339732000112655,0.22424324008851793,0.22388771893005677,0.5754117544744742,1.2555413946164133,1.1970473296564346,2.5288200456190615,0.009026700029792112,0.4538680740771781
2,5.760087114,11.52005228,5.759965166,338,0.022053646487139252,0.003828781225504247,0.00032925149748291556,0.005448092662860675,0.22364497944503534,0.22433363585283797,0.22411639343141948,0.6097968373120262,1.2802946017888388,1.187191062774048,2.4833003301509873,0.00835778694311795,0.4188766816793164
3,11.52005228,17.280090953,5.760038673,339,0.02228303762591683,0.0038685569474329862,0.00025710176513156534,0.005429695340597819,0.22366993028685225,0.22432933597820387,0.2241255260938704,0.6125925966075246,1.2814853208873676,1.187467434311186,2.4838249552347333,0.008353572815671395,0.4226066407107174
4,17.280090953,23.039916173,5.75982522,338,0.02182631271936146,0.0037894053874366453,0.00034571624408036023,0.0054725831891989036,0.22367006309510631,0.22432912367365615,0.22412560638610465,0.6131982839127843,1.2821686154503091,1.1884118659441487,2.4837092462549104,0.008353563637906514,0.4186766303798837
5,23.039916173,28.800124613,5.76020844,338,0.02163847046965596,0.003756542961083533,0.00038370325618357386,0.0054359428807735305,0.22367003011435863,0.2243291553660755,0.22412555380968874,0.6133727046250258,1.2819817441721726,1.1888419878931331,2.4841241514230576,0.00835357281674809,0.4186770651781842
6,28.800124613,34.560070496,5.759945883,338,0.022259130721597492,0.0038644687248353253,0.0002572261384027563,0.005371380823275445,0.2236705216116824,0.22432914752085575,0.22412641090972069,0.6109136741099948,1.2817265192782883,1.1841232721045012,2.483397720401605,0.008353572816699573,0.41867706517588354
7,34.560070496,40.319889072,5.759818576,339,0.022222634998950386,0.0038582178771303,0.0002657577133659638,0.00542433677106315,0.22367006686089952,0.2243291563359944,0.22412533593633982,0.613223170054967,1.281724519520217,1.1885633500312016,2.4842635559793314,0.008353572816746313,0.41867706517808645
8,40.319889072,46.080208291,5.760319219,338,0.022098120788035996,0.003836266697711288,0.00029001597813532975,0.0054622757143108595,0.22367041300129567,0.22432915558156877,0.2241265259057179,0.610821500772436,1.2820060112774294,1.183927708613517,2.483287616470004,0.008353563637906292,0.41867663037987385
9,46.080208291,51.840023533,5.759815242,338,0.021761335575142704,0.0037781308359443907,0.00035825674451211536,0.0054644086802553326,0.22367010710302349,0.2243291121293942,0.22412584674720376,0.6128248396889046,1.2820167497154953,1.1877908619562925,2.483344355966292,0.00835356363782791,0.41867706513552705
10,51.840023533,57.600273832,5.760250299,339,0.022317131519817346,0.003874333642010605,0.00024419552869902933,0.005425005287879624,0.22367010181879174,0.22432912072045597,0.22412542106937092,0.6128440493396907,1.2820710797645427,1.1878544221730571,2.4841151619845068,0.008353572848045276,0.4186770666717532
11,57.600273832,63.359929782,5.75965595,338,0.02163501543083035,0.003756303435247786,0.00038513739544206844,0.005478901285346638,0.223670107108694,0.22432908989615527,0.22412539789741534,0.6137313894231693,1.282042762706031,1.1895120555165044,2.483591866495856,0.008353572815666732,0.41867706513771474
12,63.359929782,69.120009929,5.760080147,339,0.022250597568141267,0.0038628972167566032,0.0002599234748985659,0.005407845098688946,0.22366998711431504,0.22432910471646336,0.22412555095618092,0.6127050242518423,1.2820311384674905,1.1875731866311405,2.4840775649338975,0.008298823642688302,0.4186766303754455
