ciclo,duracion_s,error_rms_rad,error_max_abs_rad
1,5.760040883,0.02663336201680097,0.05498279999505051
2,5.759951892,0.02650398975630895,0.05463701540259347
3,5.760267155,0.026485020204724492,0.05463700998282972
4,5.759734778,0.026242989019837792,0.05453058512668085
5,5.760018819,0.02612819631554286,0.05069926467572716
6,5.760031765,0.026126773005037875,0.05069926467240282
7,5.760048365,0.026135763870349774,0.05069926467149344
8,5.759985336,0.026136181479521434,0.05069926467149344
9,5.75987324,0.02612850017034736,0.05069926467149344
10,5.760036502,0.0261286191669916,0.05069926467187791
11,5.76007731,0.026384326081119895,0.054566458854115485
12,5.759968272,0.026149561136657434,0.050702385693369934
