ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,5.75984743,5.75984743,338,0.016466820513923418,0.0028588987319623184,0.00043184295530023626,0.005571693568349228,0.22339694018307962,0.22424324483002275,0.22388956707224325,0.5777728266256623,1.25880778132614,1.1998029583640508,2.5331056931129736,0.009026700029792,0.45386807407717494
2,5.75984743,11.520113409,5.760265979,338,0.022034859205909092,0.0038253197484700895,0.00033818786609754676,0.005435050332322788,0.22365042134243038,0.22433112120096413,0.22411889819346634,0.6099036015878552,1.2803222128482636,1.186354680001114,2.4837613688964195,0.008353572815660959,0.42260664071328835
3,11.520113409,17.279942262,5.759828853,338,0.021932682974467176,0.0038078706041835882,0.00032825120594181265,0.005410373979840044,0.22367001868948083,0.22432933074459852,0.22412541502099637,0.612698578959657,1.2814971559504342,1.1877313402293708,2.483964270457686,0.008353572816472754,0.41867706516508696
4,17.279942262,23.039865204,5.759922942,338,0.02183318591526264,0.0037905343760869085,0.0003426206052259843,0.005395647114206248,0.22366998191819054,0.22432910574743942,0.22412609119014604,0.6121169448468119,1.282173690013391,1.1862499600650227,2.484305708145252,0.00835779714149476,0.4188771647714644
5,23.039865204,28.799929113,5.760063909,339,0.02242143128154918,0.00389256640825045,0.0002255188413238852,0.005370907219251642,0.22367019122133996,0.22432910203994527,0.22412642538556005,0.6111023058106162,1.2821057541384495,1.1844985828397627,2.4837891136094408,0.008353563637906625,0.4186766303798836
6,28.799929113,34.55995525,5.760026137,338,0.021963970534095503,0.0038131720259059485,0.00031905931478880457,0.005452156709004967,0.22367002664865984,0.2243291018083253,0.22412594495922178,0.6122590958644216,1.282150160003385,1.1866242222088597,2.4837077189555608,0.008442771121681236,0.42260615762251585
7,34.55995525,40.32003053,5.76007528,338,0.02182119224636675,0.0037883519200059396,0.00034792930004920436,0.0054421985245865475,0.22367010567088347,0.22432914142828864,0.22412544719808283,0.6134862003996135,1.2820824083814788,1.1889464221272905,2.483590412182664,0.008353572815805288,0.4186770651797602
8,40.32003053,46.079824271,5.759793741,338,0.02214791019832582,0.0038452609927105757,0.00028019185992115956,0.0054063396197929926,0.22367006411312257,0.22432915763547762,0.22412559909392632,0.6126949445118614,1.2818210036402062,1.1874566544447291,2.4839582892328527,0.008353572816777288,0.41867706517958964
9,46.079824271,51.839962709,5.760138438,338,0.021813031435138103,0.003786893608534848,0.00034877662531890974,0.005427762752667602,0.22367000964012015,0.22432914065749354,0.22412579743096503,0.6126361792426362,1.2820639255576658,1.1874396616187943,2.484313730432233,0.00835779714037821,0.41887716472950354
10,51.839962709,57.60003425,5.760071541,338,0.02200995137918943,0.003821124654880294,0.00030827928897207707,0.005392569115395859,0.22367014655066686,0.2243291330822528,0.22412548369308016,0.6126529049280278,1.2816622781107023,1.187500893009375,2.4835997727532493,0.00835357281580107,0.4186770651438385
11,57.60003425,63.359898563,5.759864313,339,0.02218384623477354,0.0038514529213309165,0.00027444915389273787,0.005407486650391994,0.22367006321533145,0.22432914983938462,0.22412575927230985,0.6125585456681465,1.282078545809223,1.1871894518732902,2.483708351296446,0.00835357281677751,0.41867706517959513
12,63.359898563,69.119961524,5.760062961,338,0.021853662596923007,0.0037939971741435636,0.00034132087265284126,0.005441563169722886,0.22367016598703643,0.2243291423277744,0.22412484531883323,0.6143257864964443,1.2820201204492958,1.1906722552435423,2.483443284296152,0.008353572815669175,0.4186770651781264
