ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,4.32053036,4.32053036,254,0.006711531509862801,0.0015534045477376996,0.00489608174306512,0.010060451653042583,0.22247658804894105,0.22421976616803116,0.22358579072367812,1.0694198059525166,2.232918891308424,2.158096866715603,4.359373748369535,0.021454502366151984,1.075271599382542
2,4.32053036,8.640088934,4.319558574,254,0.02384659352564284,0.005520608904154853,0.0003379064915311602,0.015158069794697825,0.22292174457303598,0.22425580429026473,0.22383419794220238,1.14296886990241,2.234168503350396,2.2383712815258034,4.367366948231969,0.018324011761240766,0.919455274844232
3,8.640088934,12.960140194,4.32005126,253,0.02299003921959338,0.005321705191894732,0.0006388766981413017,0.015021113180827685,0.22292165008846368,0.2242541448610225,0.22383858725599484,1.1380955494090426,2.233961618183486,2.228869376648201,4.364261857546745,0.018321572270081576,0.9193397199998298
4,12.960140194,17.280130437,4.319990243,253,0.023418435680688465,0.005420946428903419,0.00048561009460688833,0.015171889427345948,0.22292242210406257,0.22425649531169767,0.22383489458778907,1.145384962683336,2.2339417910348085,2.243626437696624,4.367653182833662,0.01823788144596261,0.9264979584221104
5,17.280130437,21.600097865,4.319967428,254,0.02338825296868874,0.005413988266924669,0.0004781613033432632,0.015160113102719044,0.22292109385391062,0.22425402919337847,0.22383479167721695,1.1422230744570165,2.234015906707869,2.236906129560248,4.366788356554145,0.018324539827671127,0.9194802885223072
6,21.600097865,25.920162749,4.320064884,253,0.02334340134138478,0.005403483967993288,0.0005400096379193815,0.015128196533746772,0.22292291215731388,0.22425523757023097,0.22383906666880182,1.138294079158465,2.233750184680521,2.229773175074817,4.366204807437313,0.018484684091478853,0.9264979476740792
7,25.920162749,30.240108479,4.31994573,254,0.023845416971297884,0.005519841790072183,0.0003259728494852945,0.015155849377654362,0.22292073870967666,0.22425691152734104,0.2238325573044202,1.1469832740234345,2.233975083115213,2.2465961624959405,4.367075265857736,0.018321572134088582,0.9193397135565715
8,30.240108479,34.560197259,4.32008878,253,0.022659424855442672,0.005245129442789524,0.0007730748253370907,0.015003711967731176,0.2229211595992666,0.2242596083173028,0.2238374857724897,1.1417770721572102,2.233694799324747,2.235943110980552,4.368315634579027,0.018321572231375427,0.9193397181663785
9,34.560197259,38.880048627,4.319851368,254,0.023388746209526218,0.005414247902782524,0.0004952309787880256,0.015234125079416272,0.2229221440777509,0.22425394277974317,0.22383357965924613,1.145495445868815,2.233985519001824,2.243830350160809,4.366991173518451,0.018321486377025353,0.9193397120082833
10,38.880048627,43.200222371,4.320173744,254,0.023359065464363088,0.005406973619245043,0.0004918288076131653,0.015197352216839613,0.2229210150145131,0.22425230077649497,0.22383407747463052,1.143508467786569,2.233711250940945,2.239802706415271,4.366995816336185,0.01832157233766618,0.9193397232012119
11,43.200222371,47.52007529,4.319852919,254,0.023385012701159502,0.00541338169137779,0.00048155408398358954,0.015162121156241467,0.22292285573534007,0.22425580749746604,0.22383365179049947,1.1437822916724023,2.2329178960788587,2.2402460826762924,4.3672220238566,0.018321572135419184,0.9193397136132372
12,47.52007529,51.8401728,4.32009751,253,0.02326653911292817,0.0053856513791810615,0.0005891151823256661,0.015089318925434757,0.2229216972311213,0.22425564942517695,0.2238361422882324,1.1405528189918577,2.233959542368678,2.2346598940450155,4.36725151910511,0.01848468409555004,0.9264979478690447
13,51.8401728,56.160041959,4.319869159,254,0.02371407550535587,0.005489535592982035,0.00041041669058354546,0.015139125834568917,0.22292150269865918,0.22425587960643834,0.2238355451223027,1.1405394999659646,2.233460958325747,2.234645284694893,4.368325139105322,0.01832453982739446,0.9194802884928883
