ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,4.799843737,4.799843737,281,0.007766851945033319,0.0016181468336483303,0.004653393562477864,0.010163533209488007,0.2224433858931216,0.2242247158910732,0.2235789728908967,1.079877165118124,2.2545049321064323,2.186981816672769,4.400766920398218,0.01953020505205616,0.9717779097558585
2,4.799843737,9.599844587,4.80000085,282,0.023825457410494716,0.004963636081542509,0.00048775015842889274,0.014984294708983315,0.22290883896985111,0.22426930314937066,0.22384984007102998,1.1484281357077193,2.255287324413434,2.2503614573501625,4.411375518936737,0.018066045326797675,0.9027686039659187
3,9.599844587,14.400054377,4.80020979,282,0.02381191211290177,0.004960598214375495,0.0004773231623898949,0.015001381196479396,0.2229065532771569,0.2242700986800904,0.2238496976522425,1.1505393543566935,2.255329042306296,2.2547459867541724,4.4115270512799505,0.017967641050781857,0.9025745569799113
4,14.400054377,19.199854065,4.799799688,281,0.02368892576081045,0.004935398829254319,0.0005568441649619893,0.014991193274765469,0.22290606410540062,0.22427563746854293,0.22385187583622754,1.1520993403570605,2.2554647119041014,2.2579471260692974,4.41269315141017,0.018130643112185152,0.9102957071853074
5,19.199854065,23.979897307,4.780043242,281,0.0239561233275363,0.005011695943887091,0.00040170314730165243,0.015055810344664201,0.22290615420807422,0.22427055026864892,0.22384565391562766,1.1571169510768669,2.2553602712737626,2.2675615302458128,4.411593778213418,0.017973193706825485,0.9028375775293689
6,23.979897307,28.779780911,4.799883604,282,0.023944164080195618,0.004988488483396069,0.0004243983922923812,0.014980975689982828,0.22290602432571072,0.224270004024843,0.22384764510430621,1.1537543871945781,2.255360837193634,2.261097257592753,4.411348829831981,0.017924340833107677,0.8944817913459083
7,28.779780911,33.579973372,4.800192461,281,0.023459173679153844,0.004887131895179618,0.000599887461522986,0.014941825840554401,0.22290643379693917,0.2242696443623492,0.2238490491560789,1.1512634526598293,2.2551213389202642,2.2561178591543904,4.411878930841587,0.01796764100249504,0.902574554608473
8,33.579973372,38.359928936,4.779955564,281,0.023799294604341437,0.004978978211342518,0.0004126171902720018,0.015050767141917082,0.22290284261168808,0.2242708314973223,0.2238410219069434,1.1556798297294524,2.2552920828481926,2.2641897938667315,4.410673484597328,0.017967318933376664,0.9025745543837767
9,38.359928936,43.11984178,4.759912844,279,0.023782603218503923,0.004996436699147243,0.0005065441530041487,0.014913936983867065,0.22290632454219225,0.22427043558454213,0.22385260395435247,1.1443544875854808,2.255342321902624,2.242608454991745,4.408281667202108,0.018136812810018332,0.9105879561018528
10,43.11984178,47.919815262,4.799973482,282,0.02386145623921196,0.004971164180113267,0.0004597160186911066,0.015000245661668653,0.22290607234341905,0.22427020203040432,0.22384879694337373,1.1521656125387825,2.2553444603909956,2.257908812172246,4.411571192188515,0.017967641028422965,0.9025745559208135
