leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,0.003551407,1.527689096,1.524137689,True,True
fl,1.837678088,3.011751553,1.174073465,True,True
fl,6.096214926,8.890754728,2.794539802,True,True
fl,11.869550562,14.647388831,2.777838269,True,True
fl,17.635370034,20.41100444,2.775634406,True,True
fl,23.398060281,26.180748326,2.782688045,True,True
fl,29.152932855,31.929825606,2.776892751,True,True
fl,34.912962577,37.703390446,2.790427869,True,True
fl,40.671633754,43.453146507,2.781512753,True,True
fl,46.439172166,49.221307634,2.782135468,True,True
fl,52.198478171,54.982568043,2.784089872,True,True
fl,57.945913046,60.729167155,2.783254109,True,True
fl,63.708986205,66.494043621,2.785057416,True,True
fl,69.473449627,72.259223275,2.785773648,True,True
fl,75.229836837,78.013277971,2.783441134,True,True
fl,80.993335312,83.776856344,2.783521032,True,True
fl,86.752815501,89.534098448,2.781282947,True,True
fl,92.512694229,95.303960345,2.791266116,True,True
fl,98.269212053,101.05811691,2.788904857,True,True
fl,104.039994795,106.819570444,2.779575649,True,True
fl,109.799694748,112.580610849,2.780916101,True,True
fl,115.553680206,118.344713371,2.791033165,True,True
fl,121.319966105,,,,False
fr,1.63313377,1.751609062,0.118475292,False,True
fr,3.208891095,4.513856507,1.304965412,True,True
fr,4.671698128,5.985649275,1.313951147,True,True
fr,8.980367808,11.772178597,2.791810789,True,True
fr,14.746566972,17.531542269,2.784975297,True,True
fr,20.517885501,23.296163587,2.778278086,True,True
fr,26.279179204,29.060783378,2.781604174,True,True
fr,32.039379122,34.814022807,2.774643685,True,True
fr,37.791871985,40.572318353,2.780446368,True,True
fr,43.559328806,46.339450167,2.780121361,True,True
fr,49.321675175,52.100430539,2.778755364,True,True
fr,55.080072148,57.850000132,2.769927984,True,True
fr,60.824746208,63.619805864,2.795059656,True,True
fr,66.591034905,69.372225667,2.781190762,True,True
fr,72.356148214,75.141392058,2.785243844,True,True
fr,78.111330753,80.902951075,2.791620322,True,True
fr,83.872600409,86.651902229,2.77930182,True,True
fr,89.643863562,92.414256449,2.770392887,True,True
fr,95.400366101,98.171650511,2.77128441,True,True
fr,101.155996093,103.944882435,2.788886342,True,True
fr,106.920295249,109.696667708,2.776372459,True,True
fr,112.669678165,115.455558414,2.785880249,True,True
fr,118.429793435,121.218208817,2.788415382,True,True
