leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,landing,1.461548353,1.557948771,0.096400418,True
fl,liftoff,5.781478504,6.217054319,0.435575815,True
fl,landing,7.221548871,8.925547427,1.703998556,True
fl,liftoff,11.54176036,11.992257918,0.450497558,True
fl,landing,12.986403735,14.683756458,1.697352723,True
fl,liftoff,17.304413604,17.760302269,0.455888665,True
fl,landing,18.741221445,20.442718516,1.701497071,True
fl,liftoff,23.061041905,23.521415953,0.460374048,True
fl,landing,24.501185355,26.21351327,1.712327915,True
fl,liftoff,28.821129233,29.272317486,0.451188253,True
fl,landing,30.261343646,31.962390561,1.701046915,True
fl,liftoff,34.581095275,35.043509962,0.462414687,True
fl,landing,36.021534041,37.736720579,1.715186538,True
fl,liftoff,40.34143616,40.802683448,0.461247288,True
fl,landing,41.781630943,43.484533474,1.702902531,True
fl,liftoff,46.101384276,46.559525268,0.458140992,True
fl,landing,47.541354743,49.254467344,1.713112601,True
fl,liftoff,51.861684452,52.329635419,0.467950967,True
fl,landing,53.301370138,55.015597447,1.714227309,True
fl,liftoff,57.621190209,58.067491777,0.446301568,True
fl,landing,59.061153138,60.762370337,1.701217199,True
fl,liftoff,63.382393972,63.830925897,0.448531925,True
fl,landing,64.821540485,66.525894766,1.704354281,True
fl,liftoff,69.1410609,69.600735491,0.459674591,True
fl,landing,70.581262649,72.291878791,1.710616142,True
fl,liftoff,74.90324732,75.349596707,0.446349387,True
fl,landing,76.341767606,78.044513501,1.702745895,True
fl,liftoff,80.661506095,81.122780892,0.461274797,True
fl,landing,82.10133779,83.807615574,1.706277784,True
fl,liftoff,86.421352918,86.885037793,0.463684875,True
fl,landing,87.861259083,89.567036278,1.705777195,True
fl,liftoff,92.181661408,92.642853818,0.46119241,True
fl,landing,93.622017933,95.337343888,1.715325955,True
fl,liftoff,97.941347386,98.394001355,0.452653969,True
fl,landing,99.381190518,101.092201459,1.711010941,True
fl,liftoff,103.701331843,104.162900194,0.461568351,True
fl,landing,105.147344344,106.853473189,1.706128845,True
fl,liftoff,109.461331252,109.921731212,0.46039996,True
fl,landing,110.901245778,112.613344823,1.712099045,True
fl,liftoff,115.226278705,115.675334047,0.449055342,True
fl,landing,116.661717654,118.377047158,1.715329504,True
fl,liftoff,120.981578925,121.457762358,0.476183433,True
fr,liftoff,2.902068812,3.332589185,0.430520373,True
fr,landing,4.341099934,4.550413152,0.209313218,True
fr,liftoff,8.661262322,9.101787007,0.440524685,True
fr,landing,10.101207852,11.805267373,1.704059521,True
fr,liftoff,14.421469964,14.870431457,0.448961493,True
fr,landing,15.861655476,17.567458633,1.705803157,True
