leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,landing,1.461548353,1.527689096,0.066140743,True
fl,liftoff,5.781478504,6.096214926,0.314736422,True
fl,landing,7.221548871,8.890754728,1.669205857,True
fl,liftoff,11.54176036,11.869550562,0.327790202,True
fl,landing,12.986403735,14.647388831,1.660985096,True
fl,liftoff,17.304413604,17.635370034,0.33095643,True
fl,landing,18.741221445,20.41100444,1.669782995,True
fl,liftoff,23.061041905,23.398060281,0.337018376,True
fl,landing,24.501185355,26.180748326,1.679562971,True
fl,liftoff,28.821129233,29.152932855,0.331803622,True
fl,landing,30.261343646,31.929825606,1.66848196,True
fl,liftoff,34.581095275,34.912962577,0.331867302,True
fl,landing,36.021534041,37.703390446,1.681856405,True
fl,liftoff,40.34143616,40.671633754,0.330197594,True
fl,landing,41.781630943,43.453146507,1.671515564,True
fl,liftoff,46.101384276,46.439172166,0.33778789,True
fl,landing,47.541354743,49.221307634,1.679952891,True
fl,liftoff,51.861684452,52.198478171,0.336793719,True
fl,landing,53.301370138,54.982568043,1.681197905,True
fl,liftoff,57.621190209,57.945913046,0.324722837,True
fl,landing,59.061153138,60.729167155,1.668014017,True
fl,liftoff,63.382393972,63.708986205,0.326592233,True
fl,landing,64.821540485,66.494043621,1.672503136,True
fl,liftoff,69.1410609,69.473449627,0.332388727,True
fl,landing,70.581262649,72.259223275,1.677960626,True
fl,liftoff,74.90324732,75.229836837,0.326589517,True
fl,landing,76.341767606,78.013277971,1.671510365,True
fl,liftoff,80.661506095,80.993335312,0.331829217,True
fl,landing,82.10133779,83.776856344,1.675518554,True
fl,liftoff,86.421352918,86.752815501,0.331462583,True
fl,landing,87.861259083,89.534098448,1.672839365,True
fl,liftoff,92.181661408,92.512694229,0.331032821,True
fl,landing,93.622017933,95.303960345,1.681942412,True
fl,liftoff,97.941347386,98.269212053,0.327864667,True
fl,landing,99.381190518,101.05811691,1.676926392,True
fl,liftoff,103.701331843,104.039994795,0.338662952,True
fl,landing,105.147344344,106.819570444,1.6722261,True
fl,liftoff,109.461331252,109.799694748,0.338363496,True
fl,landing,110.901245778,112.580610849,1.679365071,True
fl,liftoff,115.226278705,115.553680206,0.327401501,True
fl,landing,116.661717654,118.344713371,1.682995717,True
fl,liftoff,120.981578925,121.319966105,0.33838718,True
fr,liftoff,2.902068812,3.208891095,0.306822283,True
fr,landing,4.341099934,4.513856507,0.172756573,True
fr,liftoff,8.661262322,8.980367808,0.319105486,True
fr,landing,10.101207852,11.772178597,1.670970745,True
fr,liftoff,14.421469964,14.746566972,0.325097008,True
fr,landing,15.861655476,17.531542269,1.669886793,True
fr,liftoff,20.181555397,20.517885501,0.336330104,True
fr,landing,21.621258054,23.296163587,1.674905533,True
fr,liftoff,25.941345406,26.279179204,0.337833798,True
fr,landing,27.381222982,29.060783378,1.679560396,True
fr,liftoff,31.701389419,32.039379122,0.337989703,True
fr,landing,33.147837181,34.814022807,1.666185626,True
fr,liftoff,37.461222296,37.791871985,0.330649689,True
fr,landing,38.901168259,40.572318353,1.671150094,True
fr,liftoff,43.23724505,43.559328806,0.322083756,True
fr,landing,44.661372761,46.339450167,1.678077406,True
fr,liftoff,48.982287509,49.321675175,0.339387666,True
fr,landing,50.421021847,52.100430539,1.679408692,True
fr,liftoff,54.741003365,55.080072148,0.339068783,True
fr,landing,56.181724089,57.850000132,1.668276043,True
fr,liftoff,60.501641722,60.824746208,0.323104486,True
fr,landing,61.941460698,63.619805864,1.678345166,True
fr,liftoff,66.261483916,66.591034905,0.329550989,True
fr,landing,67.70267711,69.372225667,1.669548557,True
fr,liftoff,72.022721073,72.356148214,0.333427141,True
fr,landing,73.461253714,75.141392058,1.680138344,True
fr,liftoff,77.781779844,78.111330753,0.329550909,True
fr,landing,79.221595791,80.902951075,1.681355284,True
fr,liftoff,83.541515129,83.872600409,0.33108528,True
fr,landing,84.981165501,86.651902229,1.670736728,True
fr,liftoff,89.301220301,89.643863562,0.342643261,True
fr,landing,90.741513066,92.414256449,1.672743383,True
fr,liftoff,95.061102913,95.400366101,0.339263188,True
fr,landing,96.501949465,98.171650511,1.669701046,True
fr,liftoff,100.821389153,101.155996093,0.33460694,True
fr,landing,102.261336883,103.944882435,1.683545552,True
fr,liftoff,106.581556805,106.920295249,0.338738444,True
fr,landing,108.021314624,109.696667708,1.675353084,True
fr,liftoff,112.341233481,112.669678165,0.328444684,True
fr,landing,113.786555653,115.455558414,1.669002761,True
fr,liftoff,118.101330837,118.429793435,0.328462598,True
fr,landing,119.541043228,121.218208817,1.677165589,True
rl,liftoff,4.341099934,,,False
rl,landing,5.781478504,,,False
rl,liftoff,10.101207852,,,False
rl,landing,11.54176036,,,False
rl,liftoff,15.861655476,,,False
rl,landing,17.304413604,,,False
rl,liftoff,21.621258054,,,False
rl,landing,23.061041905,,,False
rl,liftoff,27.381222982,,,False
rl,landing,28.821129233,,,False
rl,liftoff,33.147837181,,,False
rl,landing,34.581095275,,,False
rl,liftoff,38.901168259,,,False
rl,landing,40.34143616,,,False
rl,liftoff,44.661372761,,,False
rl,landing,46.101384276,,,False
rl,liftoff,50.421021847,,,False
rl,landing,51.861684452,,,False
rl,liftoff,56.181724089,,,False
rl,landing,57.621190209,,,False
rl,liftoff,61.941460698,,,False
rl,landing,63.382393972,,,False
rl,liftoff,67.70267711,,,False
rl,landing,69.1410609,,,False
rl,liftoff,73.461253714,,,False
rl,landing,74.90324732,,,False
rl,liftoff,79.221595791,,,False
rl,landing,80.661506095,,,False
rl,liftoff,84.981165501,,,False
rl,landing,86.421352918,,,False
rl,liftoff,90.741513066,,,False
rl,landing,92.181661408,,,False
rl,liftoff,96.501949465,,,False
rl,landing,97.941347386,,,False
rl,liftoff,102.261336883,,,False
rl,landing,103.701331843,,,False
rl,liftoff,108.021314624,,,False
rl,landing,109.461331252,,,False
rl,liftoff,113.786555653,,,False
rl,landing,115.226278705,,,False
rl,liftoff,119.541043228,,,False
rl,landing,120.981578925,,,False
rr,liftoff,1.461548353,,,False
rr,landing,2.902068812,,,False
rr,liftoff,7.221548871,,,False
rr,landing,8.661262322,,,False
rr,liftoff,12.986403735,,,False
rr,landing,14.421469964,,,False
rr,liftoff,18.741221445,,,False
rr,landing,20.181555397,,,False
rr,liftoff,24.501185355,,,False
rr,landing,25.941345406,,,False
rr,liftoff,30.261343646,,,False
rr,landing,31.701389419,,,False
rr,liftoff,36.021534041,,,False
rr,landing,37.461222296,,,False
rr,liftoff,41.781630943,,,False
rr,landing,43.23724505,,,False
rr,liftoff,47.541354743,,,False
rr,landing,48.982287509,,,False
rr,liftoff,53.301370138,,,False
rr,landing,54.741003365,,,False
rr,liftoff,59.061153138,,,False
rr,landing,60.501641722,,,False
rr,liftoff,64.821540485,,,False
rr,landing,66.261483916,,,False
rr,liftoff,70.581262649,,,False
rr,landing,72.022721073,,,False
rr,liftoff,76.341767606,,,False
rr,landing,77.781779844,,,False
rr,liftoff,82.10133779,,,False
rr,landing,83.541515129,,,False
rr,liftoff,87.861259083,,,False
rr,landing,89.301220301,,,False
rr,liftoff,93.622017933,,,False
rr,landing,95.061102913,,,False
rr,liftoff,99.381190518,,,False
rr,landing,100.821389153,,,False
rr,liftoff,105.147344344,,,False
rr,landing,106.581556805,,,False
rr,liftoff,110.901245778,,,False
rr,landing,112.341233481,,,False
rr,liftoff,116.661717654,,,False
rr,landing,118.101330837,,,False
