leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,landing,1.44490263,,,False
fl,liftoff,5.764770177,,,False
fl,landing,7.216995284,,,False
fl,liftoff,11.528784373,,,False
fl,landing,12.965334954,,,False
fl,liftoff,17.284871601,,,False
fl,landing,18.727345808,,,False
fl,liftoff,23.044919709,,,False
fl,landing,24.484741566,,,False
fl,liftoff,28.804911108,,,False
fl,landing,30.244627545,,,False
fl,liftoff,34.565474213,,,False
fl,landing,36.004728262,,,False
fl,liftoff,40.324774381,,,False
fl,landing,41.767249237,,,False
fl,liftoff,46.085270457,,,False
fl,landing,47.5271484,,,False
fl,liftoff,51.845122463,,,False
fl,landing,53.285137469,,,False
fl,liftoff,57.608938589,,,False
fl,landing,59.045130503,,,False
fl,liftoff,63.370208262,,,False
fl,landing,64.80497283,,,False
fl,liftoff,69.1269689,,,False
fl,landing,70.565176595,,,False
fr,liftoff,2.885496178,,,False
fr,landing,4.325003247,,,False
fr,liftoff,8.647315472,,,False
fr,landing,10.085221949,,,False
fr,liftoff,14.404625758,,,False
fr,landing,15.845020953,,,False
fr,liftoff,20.164637787,,,False
fr,landing,21.605532546,,,False
fr,liftoff,25.924963646,,,False
fr,landing,27.364639145,,,False
fr,liftoff,31.687988975,,,False
fr,landing,33.124552866,,,False
fr,liftoff,37.44478183,,,False
fr,landing,38.885239047,,,False
fr,liftoff,43.205203737,,,False
fr,landing,44.649745706,,,False
fr,liftoff,48.966566788,,,False
fr,landing,50.4051457,,,False
fr,liftoff,54.724629004,,,False
fr,landing,56.165258036,,,False
fr,liftoff,60.485840591,,,False
fr,landing,61.925108309,,,False
fr,liftoff,66.244820579,,,False
fr,landing,67.684809057,,,False
fr,liftoff,72.005529798,,,False
rl,liftoff,4.325003247,,,False
rl,landing,5.764770177,,,False
rl,liftoff,10.085221949,,,False
rl,landing,11.528784373,,,False
rl,liftoff,15.845020953,,,False
rl,landing,17.284871601,,,False
rl,liftoff,21.605532546,,,False
rl,landing,23.044919709,,,False
rl,liftoff,27.364639145,,,False
rl,landing,28.804911108,,,False
rl,liftoff,33.124552866,,,False
rl,landing,34.565474213,,,False
rl,liftoff,38.885239047,,,False
rl,landing,40.324774381,,,False
rl,liftoff,44.649745706,,,False
rl,landing,46.085270457,,,False
rl,liftoff,50.4051457,,,False
rl,landing,51.845122463,,,False
rl,liftoff,56.165258036,,,False
rl,landing,57.608938589,,,False
rl,liftoff,61.925108309,,,False
rl,landing,63.370208262,,,False
rl,liftoff,67.684809057,,,False
rl,landing,69.1269689,,,False
rr,liftoff,1.44490263,,,False
rr,landing,2.885496178,,,False
rr,liftoff,7.216995284,,,False
rr,landing,8.647315472,,,False
rr,liftoff,12.965334954,,,False
rr,landing,14.404625758,,,False
rr,liftoff,18.727345808,,,False
rr,landing,20.164637787,,,False
rr,liftoff,24.484741566,,,False
rr,landing,25.924963646,,,False
rr,liftoff,30.244627545,,,False
rr,landing,31.687988975,,,False
rr,liftoff,36.004728262,,,False
rr,landing,37.44478183,,,False
rr,liftoff,41.767249237,,,False
rr,landing,43.205203737,,,False
rr,liftoff,47.5271484,,,False
rr,landing,48.966566788,,,False
rr,liftoff,53.285137469,,,False
rr,landing,54.724629004,,,False
rr,liftoff,59.045130503,,,False
rr,landing,60.485840591,,,False
rr,liftoff,64.80497283,,,False
rr,landing,66.244820579,,,False
rr,liftoff,70.565176595,,,False
rr,landing,72.005529798,,,False
