leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,2.00997812,2.0183256,0.00834748,False,True
fl,2.148222194,2.157949501,0.009727307,False,True
fl,2.258056642,2.268122802,0.01006616,False,True
fl,7.768318631,7.778361376,0.010042745,False,True
fl,7.938858222,7.948635904,0.009777682,False,True
fl,7.969633292,7.978399266,0.008765974,False,True
fl,13.528920532,13.539880445,0.010959913,False,True
fl,13.699022646,13.708789988,0.009767342,False,True
fl,13.728842223,13.738870279,0.010028056,False,True
fl,19.289004795,19.297965326,0.008960531,False,True
fl,19.458967177,19.468664355,0.009697178,False,True
fl,19.490013869,19.499831105,0.009817236,False,True
fl,25.048224623,25.059875596,0.011650973,False,True
fl,25.217671822,25.228478214,0.010806392,False,True
fl,25.248873798,25.258849595,0.009975797,False,True
fl,30.807871291,30.817984718,0.010113427,False,True
fl,30.980284337,30.988095478,0.007811141,False,True
fl,31.008425387,31.023635719,0.015210332,False,True
fl,36.571245279,36.577819965,0.006574686,False,True
fl,36.738679757,36.748511991,0.009832234,False,True
fl,36.768458923,36.779235827,0.010776904,False,True
fl,42.329283874,42.340308337,0.011024463,False,True
fl,42.505167175,42.519053205,0.01388603,False,True
fl,42.532962658,42.538254332,0.005291674,False,True
fl,48.099995794,48.103007033,0.003011239,False,True
fl,48.265691002,48.274189706,0.008498704,False,True
fl,48.29274607,48.302607749,0.009861679,False,True
fl,53.851931623,53.86251034,0.010578717,False,True
fl,54.024505617,54.032445471,0.007939854,False,True
fl,54.052923217,54.066622822,0.013699605,False,True
fl,59.612652811,59.622867067,0.010214256,False,True
fl,59.782169251,59.792524014,0.010354763,False,True
fl,59.813124822,59.82331337,0.010188548,False,True
fl,65.372780999,65.382782131,0.010001132,False,True
fl,65.546711401,65.553975925,0.007264524,False,True
fr,4.888535564,4.898395682,0.009860118,False,True
fr,5.028768005,5.040012028,0.011244023,False,True
fr,5.139193882,5.148382838,0.009188956,False,True
fr,10.647820616,10.657898758,0.010078142,False,True
fr,10.789000979,10.798395214,0.009394235,False,True
fr,10.898301989,10.908780469,0.01047848,False,True
fr,16.408657274,16.420514659,0.011857385,False,True
fr,16.549526911,16.558433741,0.00890683,False,True
fr,16.658122959,16.671501278,0.013378319,False,True
fr,22.167864856,22.179783116,0.01191826,False,True
fr,22.308602107,22.319852371,0.011250264,False,True
fr,22.418701822,22.432133492,0.01343167,False,True
fr,27.928490155,27.939790061,0.011299906,False,True
fr,28.069059302,28.0784671,0.009407798,False,True
fr,33.688183517,33.698446607,0.01026309,False,True
fr,33.829178806,33.838366778,0.009187972,False,True
fr,39.452008937,39.459117976,0.007109039,False,True
fr,39.588964821,39.599077426,0.010112605,False,True
fr,39.698823866,39.709476886,0.01065302,False,True
fr,45.219484723,45.223031588,0.003546865,False,True
fr,45.353782142,45.363247008,0.009464866,False,True
fr,45.463551873,45.472175454,0.008623581,False,True
fr,50.977649161,50.982427902,0.004778741,False,True
fr,51.113174603,51.123127364,0.009952761,False,True
fr,51.223198293,51.232237552,0.009039259,False,True
fr,56.732870751,56.743257985,0.010387234,False,True
fr,56.873043789,56.882097545,0.009053756,False,True
fr,56.982538832,56.99264868,0.010109848,False,True
fr,62.492628594,62.502532071,0.009903477,False,True
fr,62.636157069,62.642980005,0.006822936,False,True
fr,62.742719117,62.758859959,0.016140842,False,True
