leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,landing,1.453863524,,,False
fl,liftoff,5.775432047,,,False
fl,landing,7.21429289,,,False
fl,liftoff,11.536092261,,,False
fl,landing,12.974067985,,,False
fl,liftoff,17.295724708,,,False
fl,landing,18.734380622,,,False
fl,liftoff,23.05408664,,,False
fl,landing,24.494411152,,,False
fl,liftoff,28.813583073,,,False
fl,landing,30.254352601,,,False
fl,liftoff,34.574517223,,,False
fl,landing,36.013785827,,,False
fl,liftoff,40.335336248,,,False
fl,landing,41.774358118,,,False
fl,liftoff,46.093850808,,,False
fl,landing,47.541931148,,,False
fl,liftoff,51.856677974,,,False
fl,landing,53.295453357,,,False
fl,liftoff,57.614179042,,,False
fl,landing,59.056393601,,,False
fl,liftoff,63.373908689,,,False
fl,landing,64.813820377,,,False
fr,liftoff,2.89570858,,,False
fr,landing,4.334027416,,,False
fr,liftoff,8.65427316,,,False
fr,landing,10.093994534,,,False
fr,liftoff,14.417555176,,,False
fr,landing,15.854678684,,,False
fr,liftoff,20.17540213,,,False
fr,landing,21.616470761,,,False
fr,liftoff,25.940688907,,,False
fr,landing,27.373886817,,,False
fr,liftoff,31.694216316,,,False
fr,landing,33.139366993,,,False
fr,liftoff,37.453844136,,,False
fr,landing,38.894439337,,,False
fr,liftoff,43.214515508,,,False
fr,landing,44.654176051,,,False
fr,liftoff,48.973949651,,,False
fr,landing,50.414022872,,,False
fr,liftoff,54.736176689,,,False
fr,landing,56.174580079,,,False
fr,liftoff,60.494573617,,,False
fr,landing,61.93445793,,,False
fr,liftoff,66.258290676,,,False
fr,landing,67.694076185,,,False
rl,liftoff,4.334027416,,,False
rl,landing,5.775432047,,,False
rl,liftoff,10.093994534,,,False
rl,landing,11.536092261,,,False
rl,liftoff,15.854678684,,,False
rl,landing,17.295724708,,,False
rl,liftoff,21.616470761,,,False
rl,landing,23.05408664,,,False
rl,liftoff,27.373886817,,,False
rl,landing,28.813583073,,,False
rl,liftoff,33.139366993,,,False
rl,landing,34.574517223,,,False
rl,liftoff,38.894439337,,,False
rl,landing,40.335336248,,,False
rl,liftoff,44.654176051,,,False
rl,landing,46.093850808,,,False
rl,liftoff,50.414022872,,,False
rl,landing,51.856677974,,,False
rl,liftoff,56.174580079,,,False
rl,landing,57.614179042,,,False
rl,liftoff,61.93445793,,,False
rl,landing,63.373908689,,,False
rl,liftoff,67.694076185,,,False
rr,liftoff,1.453863524,,,False
rr,landing,2.89570858,,,False
rr,liftoff,7.21429289,,,False
rr,landing,8.65427316,,,False
rr,liftoff,12.974067985,,,False
rr,landing,14.417555176,,,False
rr,liftoff,18.734380622,,,False
rr,landing,20.17540213,,,False
rr,liftoff,24.494411152,,,False
rr,landing,25.940688907,,,False
rr,liftoff,30.254352601,,,False
rr,landing,31.694216316,,,False
rr,liftoff,36.013785827,,,False
rr,landing,37.453844136,,,False
rr,liftoff,41.774358118,,,False
rr,landing,43.214515508,,,False
rr,liftoff,47.541931148,,,False
rr,landing,48.973949651,,,False
rr,liftoff,53.295453357,,,False
rr,landing,54.736176689,,,False
rr,liftoff,59.056393601,,,False
rr,landing,60.494573617,,,False
rr,liftoff,64.813820377,,,False
rr,landing,66.258290676,,,False
