ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,4.339663892,4.339663892,255,0.020394460683043816,0.004699548442136315,0.004514312761254625,0.006944376741257415,0.22361904536987617,0.22435215891198748,0.2240479021452642,0.8402856028714812,2.1130549701420467,1.6768770342635575,4.170105965807208,0.019683196706205774,0.9782859333082523
2,4.339663892,8.659481385,4.319817493,254,0.025108462330572914,0.005812389613973192,0.00018384706305701946,0.0056122857261738865,0.22367066625711704,0.2243537189017155,0.22417649540076856,0.8226636803433316,2.0719339772099876,1.6396000267650521,4.083413446653852,0.01971726318751077,0.9903040740440974
3,8.659481385,12.979655797,4.320174412,253,0.023221696489401186,0.005375175693115324,0.0009687373466246234,0.005235204678383945,0.2236649521188691,0.22435636741893475,0.2241828978878081,0.8226955338351921,2.073271700404222,1.6378876526449595,4.099423195464196,0.019659102251714855,0.9815498851269955
4,12.979655797,17.299558916,4.319903119,254,0.02396358940331915,0.005547251580231364,0.0006544247108884959,0.0055996871673822295,0.2236680619312426,0.22435413267790882,0.22417919912287249,0.8363599104518904,2.0733318111794485,1.665192709665261,4.094468229304295,0.019631458014281233,0.9758351532113093
5,17.299558916,21.61953052,4.319971604,210,0.02032647462599517,0.004705233387917234,7.757145384203537e-07,0.005678336950834502,0.22365477428339792,0.22435198260707784,0.22415540033272047,0.9265638096352277,2.101728263404854,1.8406594523413065,4.172671734434816,0.01972309512898862,0.9905803239341475
6,21.61953052,25.939768133,4.320237613,253,0.02362424819370333,0.005468275199173248,0.0008002263607337994,0.0052236380310980365,0.2236830593482758,0.2243577677034504,0.2241830951738715,0.8302156134905267,2.074316634131954,1.6512920785077136,4.0907293510238425,0.01971722665460829,0.9903023435347447
7,25.939768133,30.259775701,4.320007568,254,0.02373066131798507,0.005493199015151602,0.0006416987294584659,0.005488118009288752,0.22367392804534764,0.2243543122585671,0.22417926361457213,0.8350587538930899,2.0733469814771976,1.6616783537627409,4.0941223986880875,0.019630681623147073,0.9872813086875694
8,30.259775701,34.579766875,4.319991174,254,0.024158616254736365,0.005592283706535268,0.00043837161508878536,0.005647016330155768,0.22367589954871386,0.2243541770500836,0.22417593936953195,0.8468963573166312,2.081116057778367,1.6870478199751253,4.107440427304373,0.01964541382119056,0.9764962177033412
9,34.579766875,38.899504312,4.319737437,253,0.023631688463589456,0.005470630752039724,0.000682438651143839,0.0056635724332473655,0.2236592969056213,0.22435322495885546,0.22417282307084466,0.8529449819563331,2.1026594120526236,1.6995448217370484,4.169510746028572,0.019682011765886465,0.9790572445872863
10,38.899504312,43.219716177,4.320211865,254,0.024321606355515807,0.005629725373553134,0.00039265546209680873,0.0057276695621656425,0.22365991147940995,0.22435414387462463,0.2241749254244027,0.8351847831270451,2.06123315659934,1.66467640879451,4.096113384551496,0.019474907614501547,0.9684196079665921
11,43.219716177,47.520331759,4.300615582,252,0.02404425951285885,0.005590887875097424,0.000517907311728706,0.005595917601300966,0.22368673768829098,0.22435596930653795,0.22418370162049206,0.8174189091338926,2.0836713600468872,1.6267695239058448,4.10687400811093,0.019673634938575213,0.9856903421622856
12,47.520331759,51.8398238,4.319492041,253,0.022467755144107482,0.005201480852574045,0.0012181080058785276,0.005592275517026013,0.22368324963517267,0.22435521661987418,0.22418453871851107,0.8225054735535222,2.072907450612781,1.6366085382016067,4.085265957046156,0.019619311121202188,0.9752597740199123
13,51.8398238,56.179716676,4.339892876,255,0.026029926581839058,0.005997826979966926,-0.00034404456421734553,0.0061516828437145395,0.2236786814452939,0.22435414489253114,0.2241799108037221,0.835612135383042,2.0824306526096468,1.6635822724665523,4.109114178175859,0.019673852089630905,0.9872846411821549
14,56.179716676,60.499666255,4.319949579,253,0.023655503569368852,0.0054758749232542495,0.0007048290196910324,0.005332440700898359,0.22367545049917653,0.22435379277674117,0.22418312843150864,0.8208976919682708,2.0644600144431373,1.633623497983925,4.09155452979513,0.019716547795934458,0.9902701870336494
15,60.499666255,64.820413307,4.320747052,253,0.023358048554750876,0.005406020827796164,0.0008375072832784401,0.005552613467081936,0.22366181118963158,0.2243554031613835,0.2241715620625965,0.8555592865151608,2.111850292142939,1.7044639815556322,4.163836545291277,0.019668625007897123,0.9899711774151982
16,64.820413307,69.1395609,4.319147593,254,0.02438933969441537,0.005646794690216868,0.0003539419015275852,0.005792213375807296,0.2236684061388012,0.22435374049620765,0.2241803938454747,0.8290425560850363,2.074640487552994,1.6502201572594213,4.097767887068256,0.01968740049091644,0.9784086056456127
17,69.1395609,73.459443154,4.319882254,254,0.02505987217755201,0.005801054451043843,9.873716848186106e-05,0.0056372097381742065,0.22367588977533465,0.2243548766537887,0.22418095915460487,0.824014534254914,2.0736024782091658,1.6400712409235283,4.083819837157064,0.01971741716444886,0.9903113676833535
18,73.459443154,77.759719883,4.300276729,252,0.021804223210339535,0.005070423273762188,0.001533186638683062,0.005252603121113817,0.22367901102622337,0.22435405921622537,0.2241806173600266,0.8337384292208493,2.0711746333364447,1.660020159025075,4.083313110085936,0.019531207794193706,0.9739300592533676
19,77.759719883,82.079696649,4.319976766,254,0.024610859298786092,0.005696988810792621,0.0002878934748336958,0.006163692825485011,0.22367148468852308,0.22435661284843428,0.22418017305657495,0.8322049691825063,2.0746005083122916,1.655483507811824,4.090532581463751,0.019685421373287326,0.9782928676829254
20,82.079696649,86.419740467,4.340043818,254,0.02444583375252446,0.005632623719405144,0.0003527534198157975,0.005867009924732957,0.2236763563556306,0.22435567383047472,0.22418223552642624,0.8247070449179656,2.066567501118847,1.641986921802909,4.093066999397392,0.019630903787893228,0.977689309961635
21,86.419740467,90.739525663,4.319785196,254,0.024031614441926863,0.005563150330757063,0.0005449693143282693,0.005682174807563027,0.22367551228509563,0.22435492199000806,0.22417655118373636,0.8418017499280461,2.084263115180996,1.6756215832092598,4.1111684358932,0.019611585074864712,0.988041587027241
