ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,5.778033418,5.778033418,339,0.014970972100607317,0.002591015146082237,0.0029884700276471797,0.008107098706927347,0.22340489796511878,0.22424632266401168,0.22389733483326757,0.5779784113944131,1.2593693526199239,1.197742392858307,2.533070362385053,0.00989962939553779,0.49741397469145837
2,5.778033418,11.53790062,5.759867202,338,0.02209003780549545,0.0038351644284134057,0.00032645356649454766,0.00541646692600395,0.22365046797728766,0.22433110406291906,0.2241190556168971,0.60974083631,1.2802861430411576,1.1861984822245077,2.4838353382229115,0.008353572815656851,0.4186770651372811
3,11.53790062,17.297886509,5.759985889,339,0.02224561055100569,0.003862094626566487,0.00026455252636610113,0.005403233359281869,0.22366997152100498,0.22432932016848378,0.22412567118475205,0.6122413891106593,1.2818967742589455,1.1867822481241475,2.483822345959925,0.008353572816787835,0.4186770651800842
4,17.297886509,23.057750369,5.75986386,338,0.02199020196703063,0.003817833633142612,0.0003137171047339865,0.005446677005573245,0.22367001683589652,0.22432913313626315,0.22412582012185134,0.6126421631918115,1.282100571392295,1.1873497704512732,2.483711271640178,0.008353563637906514,0.4186766303798838
5,23.057750369,28.817803743,5.760053374,338,0.021919183285432006,0.00380537850297913,0.00032740198817462584,0.005441857116873959,0.2236700735771854,0.22432914950618751,0.2241259286032138,0.6124502581845752,1.282105689526075,1.186979568656682,2.483463744848515,0.008353563637812922,0.41867706517990544
6,28.817803743,34.577771499,5.759967756,338,0.021763164910572216,0.003778348392298225,0.00035757062165679677,0.005424249348980359,0.22367002626236215,0.2243291626160098,0.22412587494991204,0.612562693125747,1.281947438320096,1.187197391764275,2.4841909735700263,0.008353572816783394,0.4186770651798686
7,34.577771499,40.33801556,5.760244061,339,0.022300793341001796,0.0038715014684864405,0.00024797691771878216,0.005383500740088623,0.22367004977601124,0.22432907965864074,0.22412617410482655,0.6111915064920876,1.2816136798571585,1.1845057274406554,2.483723425889684,0.008353563637979455,0.41867663038332964
8,40.33801556,46.097905366,5.759889806,338,0.021818123156873287,0.003787941070356179,0.000348140077741853,0.005442536316975105,0.22367007287520552,0.22432912994885307,0.2241258809400019,0.6125955558405107,1.2820989441916915,1.1872581868635168,2.483846813474394,0.008353572815805843,0.4186770651797866
9,46.097905366,51.857758707,5.759853341,338,0.022051727589566555,0.0038285224091726667,0.00029889179947663574,0.00540717857642307,0.22367012257193034,0.224329167725656,0.22412578664484484,0.6124966439090485,1.2816774367313784,1.18707553735743,2.483448710727083,0.00835357281678073,0.4186770651797527
10,51.857758707,57.61783356,5.760074853,338,0.022155251144660743,0.0038463477836788353,0.0002792044162167138,0.00541878617284846,0.22367053856993138,0.22432914146367192,0.2241261237207538,0.6115649341729076,1.2820950917958176,1.185244618393147,2.4826658619557502,0.008353563637812922,0.41867706517971265
11,57.61783356,63.377802948,5.759969388,338,0.021919483746961538,0.003805486152865217,0.0003270736347284072,0.005447131810741238,0.2236701444405336,0.22432915920486757,0.22412592361937136,0.612398671648095,1.282062379045989,1.1869645918940022,2.4833564088540223,0.008353563637762407,0.418677065179569
12,63.377802948,69.137848384,5.760045436,338,0.021872552019693348,0.0037972881052276038,0.000338036886343804,0.005431095174932429,0.2236701436525685,0.22432915940307485,0.2241255176521693,0.6132430129198716,1.2820793390727547,1.1885018354933223,2.4835999981601478,0.008353572815848143,0.4186770651796289
13,69.137848384,74.897861473,5.760013089,339,0.02221628844708312,0.003856985757464677,0.00026829820599447293,0.005407218174084053,0.22367000315324911,0.22432913811716954,0.22412586461859463,0.612351335742589,1.2821881458312738,1.1867718668492628,2.4839257076186514,0.0083535728167774,0.41867706517958064
