ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,4.320134082,4.320134082,254,0.008178816594396121,0.0018931858222811801,0.006075873606571331,0.009147677741302318,0.2225998956064711,0.22422471403621844,0.22367553519530317,1.076239244282497,2.233567831524613,2.171989795694043,4.360100177341725,0.020633065017202967,1.0693892804640133
2,4.320134082,8.640029548,4.319895466,253,0.022719630973188076,0.005259301099298424,0.0010289670147336505,0.014947815214650061,0.22290214948679452,0.22425669721244657,0.22383023642609057,1.1381322876077171,2.233806625678255,2.23536773301168,4.3789422364565755,0.018484684107497706,0.9264979484349855
3,8.640029548,12.959996044,4.319966496,254,0.023254399235052126,0.005383004534082416,0.0008224116354773551,0.015152272366093419,0.22290094484199627,0.22425850607687248,0.22382814323496,1.1410923762389211,2.2337336838578876,2.241209307662142,4.380317782940318,0.01823788146234151,0.9193397134397904
4,12.959996044,17.279957675,4.319961631,254,0.023605834015962834,0.005464361962515503,0.0007411837394901075,0.015151657281174945,0.22289968715352243,0.22425835786243614,0.22382885082699905,1.1429288061641154,2.2331063055734166,2.245030738846796,4.381156150748591,0.018321572137069975,0.9193397137450122
5,17.279957675,21.600006425,4.32004875,254,0.023629970226593966,0.0054698387898039266,0.0006718489712958641,0.015069741863636707,0.22290240493617453,0.22425836882763064,0.22382752208672377,1.1421817425972585,2.233664986872294,2.242832861859776,4.379313865573036,0.018484684092856973,0.9264979477820439
6,21.600006425,25.920138745,4.32013232,253,0.022867341205942915,0.005293203891019458,0.001004639550676362,0.014933768451336054,0.22289828058930858,0.22425900242616326,0.22382886192141938,1.139693041156559,2.2333601192156163,2.2388783610681,4.381722082924103,0.01832157214762098,0.9193397141990645
7,25.920138745,30.240339767,4.320201022,254,0.023468083589914368,0.0054321739822768755,0.0007415348699227331,0.01512452940678726,0.22290124367568753,0.22425763380170305,0.22382841406653897,1.1410205448092796,2.233206718264505,2.240309244673504,4.380222527356727,0.018321572210486692,0.9193397171769193
8,30.240339767,34.560090259,4.319750492,253,0.02308122141822333,0.0053431839317962465,0.000914942283880147,0.015020165628759782,0.2228965471410085,0.22425885283665434,0.2238257965018688,1.1398477988803921,2.22679106141279,2.239137557426441,4.381591717683526,0.0183648966345894,0.921970462375046
9,34.560090259,38.880054596,4.319964337,253,0.022865380681044156,0.005292955889752327,0.0009496674091731827,0.015093927463269922,0.2228956557283469,0.22425474648496535,0.22382438521257766,1.1408599815292522,2.233688080878683,2.2406222066938155,4.380801344252903,0.01832157212224239,0.9193397133616794
10,38.880054596,43.200325592,4.320270996,254,0.023651141600121495,0.005474457880540209,0.0007218378823717481,0.015198682985163863,0.2228982925914212,0.22425792113508208,0.22383012470543812,1.1396924442017053,2.231749529631432,2.2383123882406646,4.381264251552296,0.01832454008130857,0.9194803005316645
11,43.200325592,47.520090721,4.319765129,253,0.02303347350681295,0.005332112468842736,0.0009649232922288586,0.015066417962097851,0.22289743249238458,0.2242604790695636,0.2238286392121938,1.1418540102475634,2.233636500991955,2.242612492386638,4.382464491130685,0.018321572520028417,0.9193397318394166
12,47.520090721,51.840144042,4.320053321,254,0.023220560282385505,0.00537506335153531,0.0008970527224406201,0.015123715303725357,0.2229033669081025,0.2242581807849215,0.22383061945739313,1.1374452758036748,2.2335952255587093,2.2339473206143268,4.368779877338409,0.018324539915258065,0.9194802926661045
13,51.840144042,56.160084379,4.319940337,254,0.023460460083135737,0.00543073705953725,0.0008491045014287837,0.015124240419547484,0.22289052091393796,0.22425943107115703,0.22382587909695767,1.1414930621421846,2.233610002562176,2.2434217285235207,4.384653448309052,0.01848468408925974,0.9264979474771258
14,56.160084379,60.480032085,4.319947706,253,0.02305017315062352,0.005335752819092927,0.000968406856645683,0.01508886444986477,0.2228942814987427,0.22425839892054758,0.22382848028189622,1.1393408370761722,2.233584692409191,2.2381222092475332,4.382352844929072,0.018237881456935168,0.9264979474546177
