ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,4.320020729,4.320020729,253,0.014957453550328709,0.003462356893317747,0.003331751851783682,0.005545429934838005,0.22356607444768042,0.22437367244847772,0.2240746212250567,0.8142848132775344,2.0806823603093085,1.640862636589702,4.202143446839163,0.020569660450837413,1.0361116062985778
2,4.320020729,8.63995639,4.319935661,253,0.023374194977522245,0.005410773866042133,0.0012156366593404225,0.005849246021466872,0.2236225548264906,0.22435671261067722,0.22417425527063345,0.8727171970306686,2.1216068130843113,1.7392665828412817,4.196199644926976,0.02060699259846721,1.0356804922891856
3,8.63995639,12.959911241,4.319954851,254,0.02417949042542944,0.005597162761974764,0.0008916073854987674,0.005985065679547506,0.22362393012361514,0.22435435639233364,0.2241756013176902,0.8743007122128679,2.1242435096696672,1.7403268303675596,4.197241242029071,0.020606921667745026,1.0359392022438783
4,12.959911241,17.28127193,4.321360689,253,0.023168700940360748,0.005361436502936807,0.0012890633382811375,0.005826473420134554,0.22362179974855337,0.22435439618028036,0.22417656112649223,0.8768827407440861,2.1253322657107865,1.7460052349108095,4.190841316177642,0.020565762336476112,1.0359269590105302
5,17.28127193,21.599986218,4.318714288,254,0.02385387587528781,0.005523374385188737,0.0010016204014363442,0.0060484628762445805,0.22362332979440178,0.22435616385062657,0.22417579749811503,0.8759021804046233,2.1241072996108166,1.745747255312558,4.1941577558294325,0.02056589861740732,1.035933414235242
6,21.599986218,25.920144112,4.320157894,253,0.02405485628263898,0.005568050259470211,0.0009226820034962686,0.005956934549995092,0.22363819197763973,0.22435695625285448,0.22417972641501216,0.8719492700005937,2.1258929520938303,1.7344739013645198,4.180150757361869,0.020607489556817793,1.0351188891887757
7,25.920144112,30.2399131,4.319768988,253,0.023085750513768266,0.005344209511642586,0.0012950235240427443,0.005838722095816134,0.22362135559497254,0.22435702477773956,0.22417650074012802,0.8770118379873865,2.125433221240721,1.7467586920767446,4.194717528934052,0.02060699859030901,1.035925072411174
8,30.2399131,34.559922795,4.320009695,254,0.023806514526262368,0.005510754884142075,0.000978341906552006,0.006052971698639919,0.22362570367631326,0.22435738589331192,0.22417795689304945,0.8772414087335251,2.1270463941927127,1.7469015606625167,4.1970993836137245,0.020566120208205252,1.0359439106546877
9,34.559922795,38.880108737,4.320185942,254,0.023631579717587503,0.005470037640705675,0.0010397431717322683,0.005964466314405392,0.22362495477016012,0.2243567262318209,0.22417799022627663,0.8760422960221419,2.126663503297697,1.7445545750037148,4.197824985044234,0.020566234175527942,1.0359493090201717
10,38.880108737,43.200174258,4.320065521,253,0.02366523382849084,0.005477980302255429,0.0010638180892755533,0.005944524522153032,0.2236237133502372,0.22435378665953581,0.224177454033426,0.8768911912129845,2.126909045299955,1.745909362056595,4.196227086675033,0.02060716463673451,1.0359443317341983
11,43.200174258,47.51990474,4.319730482,254,0.023738466996186536,0.005495358355134189,0.0010623027382067139,0.005919073963097133,0.22362735141274345,0.2243574495422229,0.2241778763619927,0.8813957386783348,2.12698560031478,1.7536262058917451,4.194877424568035,0.020606840975521012,1.0322846136754829
12,47.51990474,51.840152672,4.320247932,253,0.023679116798042243,0.0054809624750124745,0.0010603643941420795,0.005910545385536948,0.2236276960518284,0.22435682315166947,0.22417814112361645,0.8774126196126524,2.1269492017584084,1.7460818121848751,4.194484662194169,0.02024430904549479,1.0359275119531635
13,51.840152672,56.16035911,4.320206438,254,0.023787575092190816,0.00550612000458086,0.0010175024353595696,0.005906012192930979,0.2236319320336847,0.22435675235235444,0.2241785663087945,0.8772074576958194,2.127016559139635,1.7456671124068466,4.19477522638863,0.02060692193870206,1.024766714369335
14,56.16035911,60.480045642,4.319686532,253,0.023548947882662874,0.005451540918123008,0.0011358154202776114,0.0058779111194308745,0.2236280479226949,0.22435424020917183,0.22417605950391975,0.8779912360294113,2.126939899518346,1.748647249695311,4.194315754542969,0.02060701263818554,1.035941794705098
15,60.480045642,64.800005437,4.319959795,254,0.023818897598872735,0.005513685017726591,0.0010380798820049768,0.00589638240602265,0.22362828361601417,0.22435681475386893,0.22417850534591116,0.8766709647462719,2.1271946681289173,1.7445817028454376,4.195338529278415,0.020607094912283408,1.035921252637408
