ciclo,duracion_s,error_rms_rad,error_max_abs_rad
1,5.759948113,0.014711874357096798,0.044223294944255254
2,5.76027857,0.01457504403776952,0.044207003034773096
3,5.760079726,0.01457504400197001,0.044207003052541216
4,5.759752118,0.014575044001717993,0.044207003070227624
5,5.759635186,0.014575044001368989,0.04420700308792458
6,5.760660271,0.01457504400121392,0.044207003105631526
7,5.760024398,0.014575051940707968,0.04420700308140291
8,5.759642209,0.014787642950142324,0.04420704135738662
9,5.760429029,0.015148480873100363,0.047970166230526745
10,5.759837177,0.015148480610880996,0.0479701662480676
11,5.759816402,0.015148480610593809,0.047970166265286274
