ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,5.778143392,5.778143392,338,0.004902061459110065,0.00084838002911058,0.002773938355465926,0.006572963997778677,0.22188204123129623,0.2243186993975187,0.22305884716614705,1.1328359795747833,1.8219783003438677,1.4376087972186684,2.8002845158138845,0.007731906913761133,0.5833933692404639
2,5.778143392,11.538193782,5.76005039,337,0.01213772401959349,0.002107225318838485,0.0007697885323657248,0.006095794708019535,0.22133408849354924,0.224543070123094,0.2233291169134845,1.216126878529777,2.24700204807663,1.3350582721455238,2.5990042546926753,0.00760630396455092,0.38212005571603463
3,11.538193782,17.298284608,5.760090826,337,0.015502983258467402,0.0026914477092079454,8.294269299361293e-06,0.005105928836200597,0.22132594131333586,0.22462988168287099,0.22349690987177806,1.2345832375493262,2.2008594081505017,1.2897523312560524,2.633405584478717,0.007451547735701225,0.3748598737319268
4,17.298284608,23.057851842,5.759567234,337,0.01637533635959022,0.002843153954853237,0.00032700102834987534,0.005349842893670428,0.22176497885659494,0.22498518532448836,0.22379706346359976,1.254501271638009,2.153759431941462,1.2647448422413385,2.6169006232480725,0.007346408981264929,0.369924369315225
5,23.057851842,28.818173718,5.760321876,338,0.01558619882449612,0.002705786093210344,-0.00040864717799872713,0.005060217712511606,0.22304302733403125,0.22547587175810216,0.22445931266155716,1.2414481769041377,2.0117106583510975,1.1746121960110085,2.447936907414413,0.007512768228627231,0.3783116251625085
6,28.818173718,34.578285992,5.760112274,337,0.02120628755180605,0.003681575383092272,0.0008405215255937941,0.005923426994781043,0.22465523979287935,0.22577749777424344,0.22522803345170528,1.1504884565224547,2.174972926141854,1.1684775120452189,2.493739370974299,0.00740887045494143,0.37271914920793486
7,34.578285992,40.338345148,5.760059156,337,0.020581623493753157,0.0035731618263528052,0.001430499295201889,0.00605034160253756,0.22521878069689039,0.2262913524014616,0.22572032711274345,1.1587822954676488,2.2655447877307684,1.1680892629422113,2.478010006114775,0.0074074050406456315,0.3726455129438671
8,40.338345148,46.098688442,5.760343294,336,0.019237050115206517,0.003339566607990867,0.00115009103526957,0.005780188116408768,0.2252185954341143,0.22634573534103558,0.2259305216037091,1.1039708688123295,2.230027237710714,1.1662192388109505,2.4621985374167266,0.007397787448481741,0.3724536656694823
9,46.098688442,51.858136748,5.759448306,337,0.020435536234488558,0.0035481759968571122,0.000804201237806829,0.005375081704055988,0.22511665143570522,0.22617746963614424,0.22576923238659177,1.1063038810253036,2.259256760018008,1.1690239481599187,2.494300738516853,0.007494579034406534,0.3770380265236094
10,51.858136748,57.618966267,5.760829519,338,0.02082905623715567,0.003615634895713995,0.0008555571597654082,0.005631684183853341,0.22532515958904586,0.2262938123174902,0.2259055812142598,1.1155293809486948,2.2737036075022914,1.1656077966630485,2.490779799556695,0.007406827781682779,0.37261811392887123
