ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,5.75998795,5.75998795,338,0.009704649240160821,0.0016848384622333839,-0.0030583044265291535,0.0034344576994981744,0.22046853488415571,0.22423205543600072,0.22271132647178435,0.4769085865179378,0.9226514708859643,1.6554845170849684,3.283137700231042,0.017116634459135582,0.9766170080124031
2,5.75998795,11.519561771,5.759573821,338,0.018915033437887994,0.0032841029606950835,-1.1016512078842414e-05,0.005188253562373566,0.22224224831865644,0.22440002122718863,0.22344390867615643,0.5337208842923737,1.1025406390108572,1.6251333606587908,3.287524987342677,0.007308083439431123,0.3705585985624755
3,11.519561771,17.279699734,5.760137963,339,0.02132838278020737,0.003702755544608363,0.001262360238796284,0.0052592583355758095,0.22359510154664375,0.2251562990494484,0.22425601458948605,0.5975557196068619,1.2364701526999435,1.565452778444296,3.1977262977151586,0.007404439854642009,0.3741380763493797
4,17.279699734,23.039932859,5.760233125,337,0.019821734535874158,0.0034411340835921738,0.0005550453524128139,0.00519155571075124,0.22414753753549996,0.22531694067811828,0.22486451822309592,0.5974621874802476,1.3551207079940224,1.5229546555560636,3.116812332175919,0.007385741454207451,0.3715508978244811
5,23.039932859,28.799833565,5.759900706,339,0.019672447418939705,0.003415414331439294,-2.9100286629697844e-05,0.0047686598105881155,0.22389474066962184,0.22526153171365149,0.22467610341245633,0.6071740500778272,1.3969329061302633,1.586411506350599,3.29387488033407,0.007437273077342321,0.37464446941405194
6,28.799833565,34.559914346,5.760080781,338,0.019224553859219812,0.0033375493487232417,0.000582870058594472,0.005234439926683548,0.22415693009959312,0.225246804517431,0.22477048312263037,0.6136716567781122,1.4223336922412364,1.5481547294861264,3.2013208704291922,0.007425863605780791,0.3735771627434743
7,34.559914346,40.319988972,5.760074626,338,0.02058537667047003,0.003573803814546279,0.00045124185288730056,0.005143037212053736,0.2239456345860678,0.2253207694063049,0.22483426268795345,0.581898210854349,1.296758127805223,1.5280877950115375,3.1186925509729155,0.007384733897164986,0.3753886481822688
8,40.319988972,46.079767772,5.7597788,338,0.019031370712717086,0.003304184305257883,0.0001297190469669895,0.004844337769637287,0.22396681244011055,0.22526166332129427,0.2247123571958876,0.6156360668580171,1.4240614886168752,1.5860253777043127,3.294520575687589,0.00742451445876724,0.37350977151317616
9,46.079767772,51.840543785,5.760776013,338,0.019471534174979516,0.0033800193118148085,0.0005473814932731464,0.005198320039272823,0.22406331724482434,0.22524865366438973,0.22476013790174637,0.6073807356320744,1.3874593525348602,1.5488217974280338,3.2022323830835813,0.007400160906573583,0.37413971047876216
10,51.840543785,57.600240408,5.759696623,339,0.02055028903178252,0.0035679464348382086,0.0004822124540219987,0.005153363462242265,0.22405346399177775,0.22531896099180904,0.22485791923938261,0.592141574032506,1.3313834753647413,1.519819867569485,3.116260484560662,0.0074045602969546875,0.3742347708235661
