ciclo,gazebo_duracion_s,mujoco_duracion_s,gazebo_velocidad_articular_max_rad_s,mujoco_error_rms_rad,mujoco_error_max_abs_rad
1,5.760055111,5.760040883,0.48071981371259254,0.02663336201680097,0.05498279999505051
2,5.759906538,5.759951892,0.41867898961439676,0.02650398975630895,0.05463701540259347
3,5.760071036,5.760267155,0.4186770651836127,0.026485020204724492,0.05463700998282972
4,5.760273124,5.759734778,0.4216320173009795,0.026242989019837792,0.05453058512668085
5,5.759819393,5.760018819,0.41867706514477165,0.02612819631554286,0.05069926467572716
6,5.75987408,5.760031765,0.4216714912837712,0.026126773005037875,0.05069926467240282
7,5.75998373,5.760048365,0.41867663037989145,0.026135763870349774,0.05069926467149344
8,5.76003531,5.759985336,0.41867706518014564,0.026136181479521434,0.05069926467149344
9,5.760029169,5.75987324,0.41867706517989906,0.02612850017034736,0.05069926467149344
10,5.75999313,5.760036502,0.41867706517986214,0.0261286191669916,0.05069926467187791
11,5.76012058,5.76007731,0.41867683884106427,0.026384326081119895,0.054566458854115485
12,5.759971407,5.759968272,0.4186770651797053,0.026149561136657434,0.050702385693369934
