front_ratio,rear_ratio,max_joint_jump_rad,max_foot_jump_m,reachable,periodic,passes_implemented_limit
0.7071067811865476,0.7071067811865476,0.17001351875579718,0.01390344303005554,True,True,True
0.2,0.75,0.18440055037963887,0.014337214795419655,True,True,True
0.2,0.8,0.19174497854590944,0.014857514196190419,True,True,True
0.2,0.85,0.20326267428786549,0.015392067050594637,True,True,False
0.35,0.75,0.18010303176917308,0.014337214795419655,True,True,True
0.35,0.8,0.19174497854590944,0.014857514196190419,True,True,True
0.35,0.85,0.20326267428786549,0.015392067050594637,True,True,False
0.5,0.75,0.18010303176917308,0.014337214795419655,True,True,True
0.5,0.8,0.19174497854590944,0.014857514196190419,True,True,True
0.5,0.85,0.20326267428786549,0.015392067050594637,True,True,False
