leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.364815549,0.498852143,0.134036594,True
fl,landing,0.904424441,1.172516913,0.268092472,True
fl,liftoff,4.68474756,4.813552188,0.128804628,True
fl,landing,5.22462162,5.727461218,0.502839598,True
fl,liftoff,9.00467581,9.130064638,0.125388828,True
fl,landing,9.554709228,10.040968399,0.486259171,True
fl,liftoff,13.324526308,13.450411259,0.125884951,True
fl,landing,13.866184636,14.348316571,0.482131935,True
fl,liftoff,17.645577224,17.774069731,0.128492507,True
fl,landing,18.184596819,18.683851393,0.499254574,True
fl,liftoff,21.965067217,22.097340873,0.132273656,True
fl,landing,22.504257532,23.00936947,0.505111938,True
fl,liftoff,26.284495425,26.417924999,0.133429574,True
fl,landing,26.82465505,27.320575782,0.495920732,True
fl,liftoff,30.604394932,30.742879116,0.138484184,True
fl,landing,31.144609786,31.641736062,0.497126276,True
fl,liftoff,34.924326446,35.064118021,0.139791575,True
fl,landing,35.464251809,35.965886956,0.501635147,True
fl,liftoff,39.244610097,39.38357648,0.138966383,True
fl,landing,39.784934344,40.277496701,0.492562357,True
fl,liftoff,43.564712403,43.70491773,0.140205327,True
fl,landing,44.113222831,44.601860889,0.488638058,True
fr,liftoff,2.524867464,2.641857645,0.116990181,True
fr,landing,3.064508677,3.563987378,0.499478701,True
fr,liftoff,6.852708596,6.971709336,0.11900074,True
fr,landing,7.384574112,7.881404597,0.496830485,True
fr,liftoff,11.167003692,11.291203614,0.124199922,True
fr,landing,11.704743715,12.205480518,0.500736803,True
fr,liftoff,15.484494321,15.613105241,0.12861092,True
fr,landing,16.027020628,16.523699896,0.496679268,True
fr,liftoff,19.804351507,19.945832058,0.141480551,True
fr,landing,20.349584297,20.847938294,0.498353997,True
fr,liftoff,24.124592094,24.268610817,0.144018723,True
fr,landing,24.66454244,25.167579784,0.503037344,True
fr,liftoff,28.452182066,28.587643266,0.1354612,True
fr,landing,28.993214137,29.489708437,0.4964943,True
fr,liftoff,32.764444193,32.901770826,0.137326633,True
fr,landing,33.304566832,33.80334712,0.498780288,True
fr,liftoff,37.085330643,37.21634708,0.131016437,True
fr,landing,37.62441394,38.108522957,0.484109017,True
fr,liftoff,41.404497031,41.544002229,0.139505198,True
fr,landing,41.945247633,42.446196766,0.500949133,True
fr,liftoff,45.724620527,45.862019206,0.137398679,True
fr,landing,46.264992265,46.769708871,0.504716606,True
rl,liftoff,3.604463659,3.738471099,0.13400744,True
rl,landing,4.144590142,3.816906925,-0.327683217,True
rl,liftoff,7.924565054,8.059111665,0.134546611,True
rl,landing,8.464450066,8.135982394,-0.328467672,True
rl,liftoff,12.246932465,12.385362503,0.138430038,True
rl,landing,12.784469982,12.449692634,-0.334777348,True
rl,liftoff,16.564460419,16.704191493,0.139731074,True
rl,landing,17.105623041,16.77032635,-0.335296691,True
rl,liftoff,20.884300179,21.026869045,0.142568866,True
rl,landing,21.424729994,21.098298506,-0.326431488,True
rl,liftoff,25.20463166,25.34147695,0.13684529,True
rl,landing,25.744530188,25.420027605,-0.324502583,True
rl,liftoff,29.527746882,29.664503202,0.13675632,True
rl,landing,30.064478981,29.742100085,-0.322378896,True
rl,liftoff,33.844816701,33.981891222,0.137074521,True
rl,landing,34.385914957,34.05988033,-0.326034627,True
rl,liftoff,38.167158088,38.306721465,0.139563377,True
rl,landing,38.704513547,38.387383173,-0.317130374,True
rl,liftoff,42.488760038,42.624695822,0.135935784,True
rl,landing,43.024335594,42.703658485,-0.320677109,True
rl,liftoff,46.804728706,46.943449981,0.138721275,True
rl,landing,47.344468461,47.023362766,-0.321105695,True
rr,liftoff,1.44444434,1.582922319,0.138477979,True
rr,landing,1.984469212,1.649044638,-0.335424574,True
rr,liftoff,5.764533417,5.894954821,0.130421404,True
rr,landing,6.306164281,5.973410288,-0.332753993,True
rr,liftoff,10.084611565,10.21583061,0.131219045,True
rr,landing,10.624542567,10.293554008,-0.330988559,True
rr,liftoff,14.405131836,14.535758039,0.130626203,True
rr,landing,14.944895512,14.614611865,-0.330283647,True
rr,liftoff,18.726675247,18.868705802,0.142030555,True
rr,landing,19.264654059,18.940679717,-0.323974342,True
rr,liftoff,23.044277008,23.187795913,0.143518905,True
rr,landing,23.584611864,23.267599529,-0.317012335,True
rr,liftoff,27.368574946,27.503699663,0.135124717,True
rr,landing,27.9051088,27.580469689,-0.324639111,True
rr,liftoff,31.684594872,31.829510824,0.144915952,True
rr,landing,32.227992322,31.902933503,-0.325058819,True
rr,liftoff,36.004438072,36.140961136,0.136523064,True
rr,landing,36.544583404,36.22154978,-0.323033624,True
rr,liftoff,40.324630669,40.460597722,0.135967053,True
rr,landing,40.865634322,40.536479602,-0.32915472,True
rr,liftoff,44.644470243,44.789637616,0.145167373,True
rr,landing,45.184609811,44.858823787,-0.325786024,True
