leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.376866479,0.517980995,0.141114516,True
fl,landing,0.918009599,1.226575603,0.308566004,True
fl,liftoff,4.697214877,4.829444278,0.132229401,True
fl,landing,5.236808896,5.743973209,0.507164313,True
fl,liftoff,9.016952402,9.151619011,0.134666609,True
fl,landing,9.55674284,10.072231011,0.515488171,True
fl,liftoff,13.336777071,13.4738835,0.137106429,True
fl,landing,13.876758898,14.390072952,0.513314054,True
fl,liftoff,17.658377801,17.795419779,0.137041978,True
fl,landing,18.196722479,18.70993913,0.513216651,True
fl,liftoff,21.976975674,22.113871842,0.136896168,True
fl,landing,22.516866085,23.03775907,0.520892985,True
fl,liftoff,26.296693135,26.43461202,0.137918885,True
fl,landing,26.83674662,27.350906882,0.514160262,True
fl,liftoff,30.617040032,30.749741108,0.132701076,True
fl,landing,31.156788227,31.666008314,0.509220087,True
fl,liftoff,34.936786968,35.067832217,0.131045249,True
fl,landing,35.477307407,35.992297424,0.514990017,True
fl,liftoff,39.25694481,39.394170783,0.137225973,True
fl,landing,39.79700124,40.307124742,0.510123502,True
fl,liftoff,43.576831811,43.717203377,0.140371566,True
fl,landing,44.117078337,44.632355087,0.51527675,True
fl,liftoff,47.896991134,48.04270555,0.145714416,True
fl,landing,48.437097711,48.947027324,0.509929613,True
fl,liftoff,52.216763081,52.351473993,0.134710912,True
fl,landing,52.756848945,53.268462397,0.511613452,True
fr,liftoff,2.536642505,2.674259832,0.137617327,True
fr,landing,3.076825033,3.578408979,0.501583946,True
fr,liftoff,6.856925794,6.993323581,0.136397787,True
fr,landing,7.397011842,7.900845799,0.503833957,True
fr,liftoff,11.176616478,11.319086504,0.142470026,True
fr,landing,11.717130305,12.231848353,0.514718048,True
fr,liftoff,15.498451247,15.629905147,0.1314539,True
fr,landing,16.037515078,16.547151493,0.509636415,True
fr,liftoff,19.817167654,19.951536979,0.134369325,True
fr,landing,20.357792094,20.867876613,0.510084519,True
fr,liftoff,24.141285765,24.269014782,0.127729017,True
fr,landing,24.676660931,25.193643627,0.516982696,True
fr,liftoff,28.456905448,28.594242182,0.137336734,True
fr,landing,28.996601521,29.509087163,0.512485642,True
fr,liftoff,32.776946324,32.91733312,0.140386796,True
fr,landing,33.316707463,33.833308457,0.516600994,True
fr,liftoff,37.096727498,37.243547352,0.146819854,True
fr,landing,37.636510795,38.154393862,0.517883067,True
fr,liftoff,41.416866019,41.559943172,0.143077153,True
fr,landing,41.956989778,42.468796306,0.511806528,True
fr,liftoff,45.736870297,45.872413248,0.135542951,True
fr,landing,46.276603912,46.791114588,0.514510676,True
fr,liftoff,50.056687012,50.194821756,0.138134744,True
fr,landing,50.596857302,51.11569326,0.518835958,True
fr,liftoff,54.376863251,54.508852588,0.131989337,True
fr,landing,54.916651185,55.427101564,0.510450379,True
rl,liftoff,3.620332475,3.751520137,0.131187662,True
rl,landing,4.156857526,3.831482781,-0.325374745,True
rl,liftoff,7.93676025,8.083332978,0.146572728,True
rl,landing,8.476776217,8.156362628,-0.320413589,True
rl,liftoff,12.257159418,12.395863915,0.138704497,True
rl,landing,12.796687362,12.474352299,-0.322335063,True
rl,liftoff,16.577052724,16.712020446,0.134967722,True
rl,landing,17.116996047,16.789028193,-0.327967854,True
rl,liftoff,20.896785981,21.03460228,0.137816299,True
rl,landing,21.436805739,21.116450006,-0.320355733,True
rl,liftoff,25.216841275,25.356101076,0.139259801,True
rl,landing,25.756582353,25.433086592,-0.323495761,True
rl,liftoff,29.537060666,29.675115721,0.138055055,True
rl,landing,30.076887765,29.752952111,-0.323935654,True
rl,liftoff,33.856704815,34.004969255,0.14826444,True
rl,landing,34.396696147,34.068142334,-0.328553813,True
rl,liftoff,38.176873248,38.317399837,0.140526589,True
rl,landing,38.717565777,38.391544666,-0.326021111,True
rl,liftoff,42.496823079,42.634243253,0.137420174,True
rl,landing,43.046756331,42.718907457,-0.327848874,True
rl,liftoff,46.816737601,46.958465506,0.141727905,True
rl,landing,47.356878713,47.035682799,-0.321195914,True
rl,liftoff,51.137069349,51.272422993,0.135353644,True
rl,landing,51.676550889,51.351537848,-0.325013041,True
rl,liftoff,55.463323378,55.605383431,0.142060053,True
rl,landing,55.996699819,55.68306065,-0.313639169,True
rr,liftoff,1.456849481,1.609901184,0.153051703,True
rr,landing,1.997458437,1.686000746,-0.311457691,True
rr,liftoff,5.776866242,5.921681074,0.144814832,True
rr,landing,6.316886864,5.987426026,-0.329460838,True
rr,liftoff,10.096793004,10.239047657,0.142254653,True
rr,landing,10.636864965,10.314685185,-0.32217978,True
rr,liftoff,14.416901454,14.553939395,0.137037941,True
rr,landing,14.957097944,14.630995065,-0.326102879,True
rr,liftoff,18.73691876,18.875792172,0.138873412,True
rr,landing,19.277010661,18.953914422,-0.323096239,True
rr,liftoff,23.057038452,23.202969785,0.145931333,True
rr,landing,23.599382498,23.26993536,-0.329447138,True
rr,liftoff,27.376937679,27.518764733,0.141827054,True
rr,landing,27.916856407,27.597373169,-0.319483238,True
rr,liftoff,31.696733907,31.842199319,0.145465412,True
rr,landing,32.236612841,31.910818633,-0.325794208,True
rr,liftoff,36.020356106,36.157621755,0.137265649,True
rr,landing,36.558481139,36.234460555,-0.324020584,True
rr,liftoff,40.336761364,40.473515811,0.136754447,True
rr,landing,40.876664036,40.551470602,-0.325193434,True
rr,liftoff,44.657453052,44.799196765,0.141743713,True
rr,landing,45.196965729,44.877975935,-0.318989794,True
rr,liftoff,48.976738647,49.112785432,0.136046785,True
rr,landing,49.516887011,49.190189742,-0.326697269,True
rr,liftoff,53.297045056,53.436445066,0.13940001,True
rr,landing,53.836824525,53.500726033,-0.336098492,True
