semilla,modo,ang_max_rad,avance_m,fallos
11,nominal,0.027508205737892477,0.0,0
11,ppo_residual,0.02850638355932079,0.06634399557439019,0
23,nominal,0.023593311840292414,0.0,0
23,ppo_residual,0.028115462713896124,0.07021723463282675,0
37,nominal,0.022453729396626564,0.0,0
37,ppo_residual,0.02610329908758734,0.0619040599203413,0
53,nominal,0.024618668764763763,0.0,0
53,ppo_residual,0.029336265435018816,0.07401822196988801,0
71,nominal,0.027764786260685514,0.0,0
71,ppo_residual,0.027040387189175584,0.0762177322232288,0
