leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.306207733,0.438788959,0.132581226,True
fl,landing,0.725356727,1.05770765,0.332350923,True
fl,liftoff,3.766425153,3.905448081,0.139022928,True
fl,landing,4.186145959,4.655888124,0.469742165,True
fl,liftoff,7.215378186,7.356477073,0.141098887,True
fl,landing,7.646310966,8.117232917,0.470921951,True
fl,liftoff,10.666533002,10.808918873,0.142385871,True
fl,landing,11.105698341,12.454522965,1.348824624,True
fl,liftoff,14.125630443,14.271360556,0.145730113,True
fl,landing,14.56540515,15.890448792,1.325043642,True
fl,liftoff,17.585444144,17.726524214,0.14108007,True
fl,landing,18.005599336,19.359436735,1.353837399,True
fl,liftoff,21.046684855,21.185085825,0.13840097,True
fl,landing,21.46547944,22.808818359,1.343338919,True
fl,liftoff,24.485496999,24.62395291,0.138455911,True
fl,landing,24.925569906,25.393532575,0.467962669,True
fl,liftoff,27.945708298,28.082456295,0.136747997,True
fl,landing,28.385582181,29.728245433,1.342663252,True
fl,liftoff,31.405418074,31.546259061,0.140840987,True
fl,landing,31.845856678,33.173298498,1.32744182,True
fl,liftoff,34.865428791,35.012751868,0.147323077,True
fl,landing,35.286704134,36.636667148,1.349963014,True
fl,liftoff,38.325831239,38.466314466,0.140483227,True
fl,landing,38.745785348,40.093514831,1.347729483,True
fl,liftoff,41.766664645,41.91041026,0.143745615,True
fl,landing,42.20550416,42.678865133,0.473360973,True
fl,liftoff,45.226321866,45.374538312,0.148216446,True
fl,landing,45.666104936,47.011742526,1.34563759,True
fl,liftoff,48.685415562,48.829062283,0.143646721,True
fl,landing,49.125794189,50.465497183,1.339702994,True
fl,liftoff,52.147327243,52.286779897,0.139452654,True
fl,landing,52.568291806,53.909603801,1.341311995,True
fl,liftoff,55.605788539,55.748766776,0.142978237,True
fl,landing,56.025931613,56.492587942,0.466656329,True
fl,liftoff,59.045512073,59.188276724,0.142764651,True
fl,landing,59.48596583,59.958376847,0.472411017,True
fl,liftoff,62.506314575,62.651615591,0.145301016,True
fl,landing,62.945685454,64.300580877,1.354895423,True
fl,liftoff,65.965659441,66.103369211,0.13770977,True
fl,landing,66.405607043,67.724163064,1.318556021,True
fl,liftoff,69.425796442,69.56652252,0.140726078,True
fl,landing,69.84598266,71.199532225,1.353549565,True
fl,liftoff,72.885335473,73.021786769,0.136451296,True
fl,landing,73.305789681,74.65860275,1.352813069,True
fl,liftoff,76.327446891,76.476635321,0.14918843,True
fl,landing,76.765701695,77.239423064,0.473721369,True
fl,liftoff,79.785832418,79.928521333,0.142688915,True
fl,landing,80.225424824,81.56561456,1.340189736,True
fl,liftoff,83.255360587,83.390366934,0.135006347,True
fl,landing,83.685738618,85.007857217,1.322118599,True
fl,liftoff,86.705761755,86.849872625,0.14411087,True
fl,landing,87.125871743,88.478579214,1.352707471,True
fl,liftoff,90.165887444,90.312805198,0.146917754,True
fl,landing,90.585721443,91.929319828,1.343598385,True
fr,liftoff,2.025554188,2.162868841,0.137314653,True
fr,landing,2.465872263,1.206962731,-1.258909532,True
fr,liftoff,5.485742565,5.631128634,0.145386069,True
fr,landing,5.926056843,7.254440025,1.328383182,True
fr,liftoff,8.946016355,9.092732169,0.146715814,True
fr,landing,9.365516407,10.709742518,1.344226111,True
fr,liftoff,12.405636089,12.554712888,0.149076799,True
fr,landing,12.825717174,13.302106904,0.47638973,True
fr,liftoff,15.846007489,15.985777393,0.139769904,True
fr,landing,16.28545554,16.743824255,0.458368715,True
fr,liftoff,19.305303524,19.445102651,0.139799127,True
fr,landing,19.745667168,21.096640785,1.350973617,True
fr,liftoff,22.765511755,22.902079433,0.136567678,True
fr,landing,23.206743568,24.528870421,1.322126853,True
fr,liftoff,26.226333382,26.365756083,0.139422701,True
fr,landing,26.645460391,27.995012889,1.349552498,True
fr,liftoff,29.685273323,29.828096582,0.142823259,True
fr,landing,30.105951825,31.449357092,1.343405267,True
fr,liftoff,33.126096877,33.275579289,0.149482412,True
fr,landing,33.565328553,34.026738417,0.461409864,True
fr,liftoff,36.585796778,36.734570675,0.148773897,True
fr,landing,37.025540404,38.368557792,1.343017388,True
fr,liftoff,40.045882726,40.18787379,0.141991064,True
fr,landing,40.486323694,41.811586146,1.325262452,True
fr,liftoff,43.506352439,43.652787153,0.146434714,True
fr,landing,43.92541007,45.274327767,1.348917697,True
fr,liftoff,46.965685859,47.110793463,0.145107604,True
fr,landing,47.385394352,48.737465857,1.352071505,True
fr,liftoff,50.405990098,50.550286024,0.144295926,True
fr,landing,50.846240676,51.314016849,0.467776173,True
fr,liftoff,53.86640926,54.010308414,0.143899154,True
fr,landing,54.305538106,55.647023938,1.341485832,True
fr,liftoff,57.32667582,57.471367742,0.144691922,True
fr,landing,57.766403723,59.092497724,1.326094001,True
fr,liftoff,60.78579307,60.930949982,0.145156912,True
fr,landing,61.205743027,62.5512587,1.345515673,True
fr,liftoff,64.245459347,64.385658275,0.140198928,True
fr,landing,64.666156119,65.124983077,0.458826958,True
fr,liftoff,67.685644497,67.820704678,0.135060181,True
fr,landing,68.126117885,68.595182502,0.469064617,True
fr,liftoff,71.148855538,71.286969347,0.138113809,True
fr,landing,71.585637196,72.925566152,1.339928956,True
fr,liftoff,74.608906354,74.749731466,0.140825112,True
fr,landing,75.045660567,76.377078817,1.33141825,True
fr,liftoff,78.065656234,78.209935837,0.144279603,True
fr,landing,78.486149463,79.831525872,1.345376409,True
fr,liftoff,81.525508521,81.665986342,0.140477821,True
fr,landing,81.945650355,83.290368301,1.344717946,True
fr,liftoff,84.965706312,85.106276802,0.14057049,True
fr,landing,85.405713756,86.753757611,1.348043855,True
fr,liftoff,88.428832154,88.564906326,0.136074172,True
