ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,3.459997953,3.459997953,203,0.01312409823641445,0.0037930942199070282,0.0025165912165359444,0.004263849419126942,0.2236093259801076,0.22432994616931498,0.22404327129709384,0.7937396510811134,1.9693258780968899,1.6040735892088624,3.92309922040241,0.021291152595655505,1.1011081368498246
2,3.459997953,6.920300512,3.460302559,203,0.023450947821639236,0.006777137958831084,0.0008018425502464132,0.005882283764161462,0.22363683616535926,0.224349265310885,0.22416720927890615,0.7978327778655172,1.9937953267989137,1.6088573158337356,3.991263043377747,0.022001021275895094,1.1056555959954137
3,6.920300512,10.379837145,3.459536633,203,0.023615133464665657,0.006826097240712657,0.0007521837196601683,0.005979201163977585,0.22365961064451498,0.22435154662930143,0.22416833217354548,0.7907848047542011,1.950332618334433,1.5927566404284383,3.892709488780135,0.021848494876237856,1.0984306620150792
4,10.379837145,13.840122848,3.460285703,203,0.024515452120708867,0.007084805771805042,0.0003210127478518849,0.00601708096267565,0.223670286971968,0.22434911512625566,0.22417046554101003,0.7950852874938318,1.9633876864905164,1.5987111457320418,3.9276339215218092,0.021905429364204587,1.1011275587642722
5,13.840122848,17.27993954,3.439816692,202,0.023381674855965554,0.0067973607170243805,0.0008347418759605835,0.005626466997666989,0.22361862555313244,0.22434719269148293,0.2241662746772973,0.7979201489313628,1.9848668630924562,1.6068654358331573,3.993975988148755,0.021790036242757993,1.0944274731538135
6,17.27993954,20.740055565,3.460116025,203,0.023562289359769617,0.006809681868910629,0.0007712189891445147,0.005765669732345883,0.22366390434659267,0.2243494870193429,0.22416827469153539,0.7995163583149564,1.9730797662881077,1.6085535072108903,3.9225116570822234,0.021291092075112372,1.1011055567175214
7,20.740055565,24.19989207,3.459836505,203,0.024056195531835772,0.00695298621685471,0.0005529987902705537,0.005860819274277774,0.22367320762981724,0.22434994660161647,0.2241721246657424,0.784404628763902,2.0062607866517963,1.579977576364079,3.993303676950494,0.02184663268691145,1.094415440400445
8,24.19989207,27.660127574,3.460235504,203,0.023718491867316532,0.006854588897171356,0.0007027036554213399,0.005766033528391426,0.22365660438227977,0.22434977195856143,0.22416822694114802,0.792087658388423,1.9510514226251032,1.5954894277705867,3.8935891995211,0.021848646605501454,1.098437849187764
9,27.660127574,31.12014868,3.460021106,203,0.024243399650807518,0.007006720163864664,0.00043028809180521016,0.00578768323238949,0.2236657257555476,0.2243506686235187,0.22417066003573674,0.7941131189505171,1.959555707387683,1.5974669331083773,3.928664357572241,0.021704398131701108,1.0985019361202153
10,31.12014868,34.560054265,3.439905585,202,0.022764529592455895,0.00661777744474225,0.001084362300782819,0.0055369352834309426,0.22362163484943215,0.22434813478378293,0.2241667076690063,0.7986676036865165,1.985501828423509,1.6082360773637177,3.995295283618255,0.02200059461428505,1.1056353864711403
11,34.560054265,38.019960607,3.459906342,203,0.023504136572251755,0.0067932869415954136,0.00079291505731135,0.005909221957140901,0.2236619082743003,0.2243519450609833,0.22416790097977599,0.801138064004916,1.9750299838029948,1.6103114332461623,3.9194754160997696,0.02190479126858147,1.1010973332305944
12,38.019960607,41.480191301,3.460230694,203,0.02373207250943593,0.006858523204995283,0.0006798027892000605,0.006007084724718142,0.22365477376225545,0.22434845545971263,0.224168783398498,0.7990353895420049,1.9991396556635075,1.6086625999428865,3.988988795180805,0.02200044511009769,1.1056283041769164
13,41.480191301,44.939909255,3.459717954,203,0.023820520185882765,0.0068851046537890025,0.0006668299142783881,0.005996032557555575,0.22366910014556426,0.2243502488521099,0.22416924743216188,0.7945470373457258,1.9521238247220654,1.597963035387995,3.889434459014006,0.02164200062422772,1.0984046339255007
14,44.939909255,48.400216799,3.460307544,203,0.024630524309656565,0.007118015955652457,0.0002822940175251122,0.005947689637604586,0.22366104219389227,0.22434889204993275,0.22416914337160662,0.7894360769873786,1.9586791197766191,1.591443553517526,3.926911345690231,0.02129169505823747,1.1011312628724381
15,48.400216799,51.839853456,3.439636657,202,0.02287725947657049,0.006651068632500183,0.0010372199637240778,0.0055360315664352445,0.2235968985798868,0.2243481262134354,0.22416429374003696,0.7960081899917636,1.9778240688274071,1.6062478149503703,3.99180398929063,0.0220008060898077,1.1056454036547363
16,51.839853456,55.299989194,3.460135738,202,0.0231469610135428,0.006689610687620602,0.0009206123591454013,0.005842973195371756,0.22353769995742792,0.22435005858801416,0.22416206687471202,0.7965759111332307,1.97357170745204,1.608841944272353,3.92749183531728,0.021468163199692913,1.0893864826537913
17,55.299989194,58.760079526,3.460090332,204,0.02439924755225298,0.007051621550628632,0.00041123039326940603,0.006095122139183013,0.223649308896452,0.2243487171106183,0.22416696095545816,0.7979188708944885,2.0025830594576113,1.6077439512490592,3.991746155015402,0.021789764177923665,1.0944115629958506
18,58.760079526,62.219925656,3.45984613,203,0.02335696368466572,0.006750867757424149,0.0008606165389614187,0.005838399255963451,0.2236500616811893,0.22434911688521375,0.22416717129210734,0.7892811337593333,1.9454464513589826,1.5917382816603596,3.888022703928741,0.021652938610982497,1.0886597772715443
19,62.219925656,65.679946182,3.460020526,203,0.024939411089824004,0.007207879520488141,0.00014293704264546105,0.005985050565454193,0.22366554117267537,0.22434894090196578,0.22416822564346287,0.7914933916113734,1.96055435145567,1.5949995852809995,3.9298423328176133,0.02190570885232479,1.1011407976719427
20,65.679946182,69.120162167,3.440215985,202,0.022527084810635867,0.006548160030898719,0.0011948413967814622,0.005451307001688249,0.22363480152813758,0.22434785166854976,0.22416729875819907,0.7991306857765892,1.988468738969158,1.6085955807677639,3.9941813368534844,0.022000275140252268,1.105620253317464
21,69.120162167,72.579918535,3.459756368,203,0.02422787314848751,0.007002768568496934,0.0004958100786264449,0.005932371643555006,0.22366860226555865,0.22435014498871877,0.22416962599600937,0.7928917302521311,1.958543037084954,1.5947486161904938,3.8920721840500754,0.021694654735616936,1.0933254626084596
22,72.579918535,76.039876936,3.459958401,203,0.02328665741273428,0.006730328724762688,0.0008425100749993916,0.005766617141632438,0.2236357636523543,0.22434823195355283,0.22416786509186615,0.7970779039442217,2.004301280287751,1.6065829058716987,3.9907215183071916,0.021655329687176983,1.1056230761533399
23,76.039876936,79.500175619,3.460298683,203,0.02424479216566844,0.007006560527500117,0.0004910914342402036,0.00594050734119208,0.22367311043764823,0.22434880788776007,0.22416826617552926,0.792395267221319,1.945773725165369,1.5954520951460065,3.888360024750117,0.021467637682345497,1.0984106737602335
24,79.500175619,82.960157888,3.459982269,202,0.023871494293160378,0.006899311163250466,0.0006280651596930892,0.005750384521141242,0.2236630766974755,0.22435162042031903,0.22417035036966632,0.7897966756437532,1.9613417437176401,1.5912116057201728,3.9303485377064424,0.021904930742117967,1.1011039398266402
25,82.960157888,86.400083235,3.439925347,202,0.022919813167745717,0.006662880980174282,0.0010478784409720474,0.005642924775535296,0.22363228712506697,0.22435023720101022,0.2241670239955409,0.7975715839341136,1.9882906130758378,1.6066929075008665,3.9940095103869817,0.022000317439789696,1.1056222574921604
26,86.400083235,89.859949376,3.459866141,203,0.0235317761059749,0.006801354488001534,0.0007912294158427414,0.0059501367531287035,0.22364344462688474,0.22434949522414022,0.2241664040635833,0.8026105146488446,1.9792489453157291,1.6129706970104747,3.9192767797391204,0.021904512825603684,1.1010841431550022
