leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,0.099088593,0.111060229,0.011971636,False,True
fl,0.222324572,1.735228561,1.512903989,True,True
fl,3.271926163,4.626009769,1.354083606,True,True
fl,6.146762176,7.49019798,1.343435804,True,True
fl,9.031657641,10.37445569,1.342798049,True,True
fl,11.916207068,13.256731092,1.340524024,True,True
fl,14.800743785,16.13916766,1.338423875,True,True
fl,17.676750933,19.024004767,1.347253834,True,True
fl,20.551220899,21.890855528,1.339634629,True,True
fl,23.430233135,24.767490143,1.337257008,True,True
fl,26.308648549,27.653676494,1.345027945,True,True
fl,29.195402856,30.533789365,1.338386509,True,True
fl,32.072793942,33.415049866,1.342255924,True,True
fl,34.950449094,36.301625249,1.351176155,True,True
fl,37.840665467,39.177109308,1.336443841,True,True
fl,40.719987596,42.057619214,1.337631618,True,True
fl,43.605525152,44.942336376,1.336811224,True,True
fl,46.482995793,47.8131499,1.330154107,True,True
fl,49.363069341,50.700090324,1.337020983,True,True
fl,52.232845375,53.570263637,1.337418262,True,True
fl,55.108726747,56.448152639,1.339425892,True,True
fl,57.991784663,59.335384151,1.343599488,True,True
fl,60.872010474,62.212643761,1.340633287,True,True
fl,63.75323401,65.089853913,1.336619903,True,True
fl,66.638667306,67.979801234,1.341133928,True,True
fl,69.51991585,70.862042667,1.342126817,True,True
fl,72.400643859,73.729358802,1.328714943,True,True
fl,75.270028782,76.612880163,1.342851381,True,True
fl,78.15027911,79.50101868,1.35073957,True,True
fl,81.040715055,82.377948902,1.337233847,True,True
fr,1.832982673,3.183130366,1.350147693,True,True
fr,4.715119468,6.044248323,1.329128855,True,True
fr,7.589356961,8.934434601,1.34507764,True,True
fr,10.472989547,11.816943447,1.3439539,True,True
fr,13.357286666,14.702030617,1.344743951,True,True
fr,16.236053441,17.579590123,1.343536682,True,True
fr,19.127589497,20.452573841,1.324984344,True,True
fr,21.989644977,23.331426363,1.341781386,True,True
fr,24.87808529,26.207864323,1.329779033,True,True
fr,27.750834706,29.095805511,1.344970805,True,True
fr,30.633100352,31.975609245,1.342508893,True,True
fr,33.514026947,34.850117293,1.336090346,True,True
fr,36.392447666,37.74169762,1.349249954,True,True
fr,39.275474592,40.618785542,1.34331095,True,True
fr,42.157673179,43.499993697,1.342320518,True,True
fr,45.03991227,46.383153563,1.343241293,True,True
fr,47.921959839,49.265124179,1.34316434,True,True
fr,50.800714659,52.136724795,1.336010136,True,True
fr,53.668364515,55.010350499,1.341985984,True,True
fr,56.549018714,57.894366977,1.345348263,True,True
fr,59.425741629,60.772369913,1.346628284,True,True
fr,62.31675085,63.653612061,1.336861211,True,True
fr,65.197073504,66.528747612,1.331674108,True,True
fr,68.078556937,69.422069358,1.343512421,True,True
fr,70.963272509,72.299163515,1.335891006,True,True
fr,73.828404223,75.179599817,1.351195594,True,True
fr,76.713802981,78.048779976,1.334976995,True,True
fr,79.597977138,80.941411441,1.343434303,True,True
fr,82.47631407,,,,False
rl,2.530354371,2.678281825,0.147927454,True,True
