leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.247752049,0.339182531,0.091430482,True
fl,landing,0.607405038,1.768807977,1.161402939,True
fl,liftoff,3.127366506,3.394989141,0.267622635,True
fl,landing,3.487508024,4.651182928,1.163674904,True
fl,liftoff,6.007276542,6.268790801,0.261514259,True
fl,landing,6.367653453,7.52230132,1.154647867,True
fl,liftoff,8.88787068,9.153565642,0.265694962,True
fl,landing,9.247511234,10.408796812,1.161285578,True
fl,liftoff,11.767616454,12.03873036,0.271113906,True
fl,landing,12.131497497,13.288697726,1.157200229,True
fl,liftoff,14.647359086,14.930527652,0.283168566,True
fl,landing,15.007556175,16.172014602,1.164458427,True
fl,liftoff,17.527598254,17.79696781,0.269369556,True
fl,landing,17.887575056,19.056735681,1.169160625,True
fl,liftoff,20.407635453,20.67439286,0.266757407,True
fl,landing,20.768573003,21.92366969,1.155096687,True
fl,liftoff,23.287350077,23.550866963,0.263516886,True
fl,landing,23.647448918,24.800654234,1.153205316,True
fl,liftoff,26.167389032,26.432838622,0.26544959,True
fl,landing,26.527379879,27.684530929,1.15715105,True
fl,liftoff,29.047500985,29.324976493,0.277475508,True
fl,landing,29.40769855,30.567622707,1.159924157,True
fl,liftoff,31.927277557,32.202797021,0.275519464,True
fl,landing,32.291587661,33.448737385,1.157149724,True
fl,liftoff,34.807514506,35.073781734,0.266267228,True
fl,landing,35.167393489,36.333633699,1.16624021,True
fl,liftoff,37.687143119,37.968092234,0.280949115,True
fl,landing,38.0473833,39.208912101,1.161528801,True
fl,liftoff,40.567418048,40.845384345,0.277966297,True
fl,landing,40.927370705,42.088225265,1.16085456,True
fl,liftoff,43.447160393,43.721843959,0.274683566,True
fl,landing,43.807403766,44.975762987,1.168359221,True
fl,liftoff,46.331535785,46.613477138,0.281941353,True
fl,landing,46.687989916,47.845825638,1.157835722,True
fl,liftoff,49.207716172,49.486147035,0.278430863,True
fl,landing,49.568024395,50.733834313,1.165809918,True
fl,liftoff,52.087279964,52.353276971,0.265997007,True
fl,landing,52.447249889,53.60243097,1.155181081,True
fl,liftoff,54.967615526,55.23099877,0.263383244,True
fl,landing,55.328891187,56.481540961,1.152649774,True
fl,liftoff,57.847572602,58.111784111,0.264211509,True
fl,landing,58.207277485,59.369791391,1.162513906,True
fl,liftoff,60.727773715,60.995308835,0.26753512,True
fl,landing,61.087233905,62.246493001,1.159259096,True
fl,liftoff,63.607897517,63.874077603,0.266180086,True
fl,landing,63.967366963,65.121648838,1.154281875,True
fl,liftoff,66.48739139,66.759399792,0.272008402,True
fl,landing,66.847556583,68.020772592,1.173216009,True
fl,liftoff,69.367091997,69.640021739,0.272929742,True
fl,landing,69.727880041,70.895866382,1.167986341,True
fl,liftoff,72.247164088,72.526468526,0.279304438,True
fl,landing,72.607249227,73.761842385,1.154593158,True
fl,liftoff,75.127501873,75.392814431,0.265312558,True
fl,landing,75.48765583,76.646404937,1.158749107,True
fl,liftoff,78.007395557,78.270743102,0.263347545,True
fl,landing,78.367531739,79.534162026,1.166630287,True
fl,liftoff,80.887771031,81.161412258,0.273641227,True
fl,landing,81.247871174,82.411482544,1.16361137,True
fr,liftoff,1.689072931,1.952224279,0.263151348,True
fr,landing,2.047317244,3.216298599,1.168981355,True
fr,liftoff,4.568511995,4.837154352,0.268642357,True
fr,landing,4.927063635,6.079397785,1.15233415,True
fr,liftoff,7.447365812,7.710450387,0.263084575,True
fr,landing,7.807190717,8.967056468,1.159865751,True
fr,liftoff,10.327435639,10.593386395,0.265950756,True
fr,landing,10.687463957,11.850811138,1.163347181,True
fr,liftoff,13.21221908,13.480359123,0.268140043,True
fr,landing,13.567565176,14.734937601,1.167372425,True
fr,liftoff,16.087217649,16.356783592,0.269565943,True
fr,landing,16.447347717,17.611012565,1.163664848,True
fr,liftoff,18.967233883,19.25660863,0.289374747,True
fr,landing,19.331122283,20.485685782,1.154563499,True
fr,liftoff,21.852121155,22.110427183,0.258306028,True
