leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,0.005359647,0.228303421,0.222943774,True,True
fl,0.517753783,1.244160719,0.726406936,True,True
fl,1.598206891,2.562570028,0.964363137,True,True
fl,4.828941906,5.745522642,0.916580736,True,True
fl,5.898357018,6.892237216,0.993880198,True,True
fl,9.15208316,10.069995556,0.917912396,True,True
fl,10.224742849,11.213864373,0.989121524,True,True
fl,13.465810985,14.378439099,0.912628114,True,True
fl,14.54541064,15.534401695,0.988991055,True,True
fl,17.792623699,18.700834678,0.908210979,True,True
fl,18.854654379,19.846993243,0.992338864,True,True
fl,22.107770428,23.027782673,0.920012245,True,True
fl,23.182578202,24.172255907,0.989677705,True,True
fl,26.423442482,27.349763116,0.926320634,True,True
fl,27.508931269,28.487272259,0.97834099,True,True
fl,30.748698937,31.65895647,0.910257533,True,True
fl,31.818105891,32.818069071,0.99996318,True,True
fl,35.064186176,35.987546873,0.923360697,True,True
fl,36.142010624,37.129814857,0.987804233,True,True
fl,39.386909588,40.303895711,0.916986123,True,True
fl,40.461329274,41.444865355,0.983536081,True,True
fl,43.709103366,44.621115515,0.912012149,True,True
fl,44.789736465,45.767830139,0.978093674,True,True
fl,48.038063035,48.934424186,0.896361151,True,True
fl,49.102344978,50.084800248,0.98245527,True,True
fl,52.351608146,53.263438703,0.911830557,True,True
fl,53.420636842,54.415017544,0.994380702,True,True
fl,56.670345771,57.591186892,0.920841121,True,True
fl,57.742473548,58.729531524,0.987057976,True,True
fl,60.994380023,61.903135759,0.908755736,True,True
fl,62.057489719,63.050204763,0.992715044,True,True
fl,65.309596028,66.225829413,0.916233385,True,True
fl,66.379729701,67.366708616,0.986978915,True,True
fl,69.632512756,70.558470404,0.925957648,True,True
fl,70.737724489,71.698830871,0.961106382,True,True
fl,73.948223094,74.869359642,0.921136548,True,True
fl,75.024379034,76.028094231,1.003715197,True,True
fl,78.270023369,79.181293308,0.911269939,True,True
fr,1.342451212,1.496218928,0.153767716,True,True
fr,2.662781959,3.586013353,0.923231394,True,True
fr,3.738498999,4.729064605,0.990565606,True,True
fr,6.984834143,7.904603476,0.919769333,True,True
fr,8.064185228,9.051517238,0.98733201,True,True
fr,11.313482866,12.231785826,0.91830296,True,True
fr,12.383293666,13.365645129,0.982351463,True,True
fr,15.631212365,16.543574745,0.91236238,True,True
fr,16.702715846,17.696411463,0.993695617,True,True
fr,19.947033283,20.864353163,0.91731988,True,True
fr,21.02662705,22.007962014,0.981334964,True,True
fr,24.269133999,25.186910654,0.917776655,True,True
fr,25.342605081,26.323824332,0.981219251,True,True
fr,28.587656845,29.49824303,0.910586185,True,True
fr,29.665602268,30.648313603,0.982711335,True,True
fr,32.917642122,33.826141575,0.908499453,True,True
fr,33.98062749,34.973944877,0.993317387,True,True
fr,37.229942292,38.146137716,0.916195424,True,True
fr,38.311596693,39.289996891,0.978400198,True,True
fr,41.55718734,42.470190272,0.913002932,True,True
fr,42.623362966,43.610623046,0.98726008,True,True
