leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.371725152,0.647653586,0.275928434,True
fl,landing,0.912114105,1.273294728,0.361180623,True
fl,liftoff,4.691791678,4.949513209,0.257721531,True
fl,landing,5.235588509,5.777304581,0.541716072,True
fl,liftoff,9.013958292,9.283859773,0.269901481,True
fl,landing,9.551838697,10.10319619,0.551357493,True
fl,liftoff,13.331958824,13.596862798,0.264903974,True
fl,landing,13.872260719,14.412801578,0.540540859,True
fl,liftoff,17.6518093,17.916014574,0.264205274,True
fl,landing,18.191726334,18.734309974,0.54258364,True
fl,liftoff,21.971966142,22.227938732,0.25597259,True
fl,landing,22.512055012,23.058722368,0.546667356,True
fl,liftoff,26.292520901,26.546078211,0.25355731,True
fl,landing,26.832200197,27.382927926,0.550727729,True
fl,liftoff,30.612030273,30.870581659,0.258551386,True
fl,landing,31.156126114,31.692718693,0.536592579,True
fl,liftoff,34.935348466,35.188046043,0.252697577,True
fl,landing,35.472012853,36.021432124,0.549419271,True
fl,liftoff,39.251988507,39.51219625,0.260207743,True
fl,landing,39.793688943,40.338921279,0.545232336,True
fl,liftoff,43.572064106,43.83077954,0.258715434,True
fl,landing,44.112260048,44.655046857,0.542786809,True
fl,liftoff,47.891768043,48.164829356,0.273061313,True
fl,landing,48.432309772,48.968604588,0.536294816,True
fl,liftoff,52.212232842,52.474583713,0.262350871,True
fl,landing,52.751940449,53.296452543,0.544512094,True
fl,liftoff,56.53196305,56.791770019,0.259806969,True
fl,landing,57.072021706,57.626233393,0.554211687,True
fl,liftoff,60.85187689,61.112708098,0.260831208,True
fl,landing,61.391698592,61.936765577,0.545066985,True
fl,liftoff,65.171818489,65.430138427,0.258319938,True
fl,landing,65.711864435,66.257013945,0.54514951,True
fl,liftoff,69.491943051,69.749619995,0.257676944,True
fl,landing,70.032242893,70.591859913,0.55961702,True
fl,liftoff,73.812342832,74.070479578,0.258136746,True
fl,landing,74.35231459,74.902334331,0.550019741,True
fl,liftoff,78.13548955,78.401258256,0.265768706,True
fl,landing,78.672148104,,,False
fr,liftoff,2.531725509,2.784684931,0.252959422,True
fr,landing,3.072105805,3.618438094,0.546332289,True
fr,liftoff,6.851842496,7.105012107,0.253169611,True
fr,landing,7.391739499,7.937612863,0.545873364,True
fr,liftoff,11.171556508,11.435654463,0.264097955,True
fr,landing,11.711790903,12.264569332,0.552778429,True
fr,liftoff,15.492446902,15.754681921,0.262235019,True
fr,landing,16.031816762,16.578319751,0.546502989,True
fr,liftoff,19.812012952,20.069729235,0.257716283,True
fr,landing,20.351737964,20.898826227,0.547088263,True
fr,liftoff,24.131705337,24.398817393,0.267112056,True
fr,landing,24.672498955,25.22163987,0.549140915,True
fr,liftoff,28.452594808,28.70921717,0.256622362,True
fr,landing,28.992377185,29.531719569,0.539342384,True
fr,liftoff,32.77203103,33.038367159,0.266336129,True
fr,landing,33.311748497,33.85921595,0.547467453,True
fr,liftoff,37.092071376,37.352731013,0.260659637,True
fr,landing,37.632053515,38.181283138,0.549229623,True
fr,liftoff,41.413447091,41.678574516,0.265127425,True
fr,landing,41.952239284,42.500730215,0.548490931,True
fr,liftoff,45.731852893,45.998423701,0.266570808,True
fr,landing,46.271844698,46.827330735,0.555486037,True
fr,liftoff,50.053301923,50.306310967,0.253009044,True
fr,landing,50.591651437,51.140993804,0.549342367,True
fr,liftoff,54.37450165,54.623726937,0.249225287,True
fr,landing,54.911965188,55.450986641,0.539021453,True
fr,liftoff,58.692286387,58.951993824,0.259707437,True
fr,landing,59.231641749,59.773524092,0.541882343,True
fr,liftoff,63.01196318,63.28229733,0.27033415,True
fr,landing,63.552096727,64.101196716,0.549099989,True
fr,liftoff,67.332700147,67.590459087,0.25775894,True
fr,landing,67.875124423,68.417631303,0.54250688,True
fr,liftoff,71.652149801,71.909299347,0.257149546,True
fr,landing,72.19185027,72.743848076,0.551997806,True
fr,liftoff,75.976444061,76.240480636,0.264036575,True
fr,landing,76.512134469,77.059271038,0.547136569,True
rl,liftoff,3.613357296,,,False
rl,landing,4.152069662,,,False
rl,liftoff,7.931835516,,,False
rl,landing,8.471845787,,,False
rl,liftoff,12.251944941,,,False
rl,landing,12.792014521,,,False
rl,liftoff,16.572484654,,,False
rl,landing,17.111792638,,,False
rl,liftoff,20.891943734,,,False
rl,landing,21.432040268,,,False
rl,liftoff,25.213086788,,,False
rl,landing,25.752229052,,,False
rl,liftoff,29.531799035,,,False
rl,landing,30.072233586,,,False
rl,liftoff,33.852087488,,,False
rl,landing,34.392021532,,,False
rl,liftoff,38.171991489,,,False
rl,landing,38.714453339,,,False
