leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.371725152,0.517753783,0.146028631,True
fl,landing,0.912114105,1.244160719,0.332046614,True
fl,liftoff,4.691791678,4.828941906,0.137150228,True
fl,landing,5.235588509,5.745522642,0.509934133,True
fl,liftoff,9.013958292,9.15208316,0.138124868,True
fl,landing,9.551838697,10.069995556,0.518156859,True
fl,liftoff,13.331958824,13.465810985,0.133852161,True
fl,landing,13.872260719,14.378439099,0.50617838,True
fl,liftoff,17.6518093,17.792623699,0.140814399,True
fl,landing,18.191726334,18.700834678,0.509108344,True
fl,liftoff,21.971966142,22.107770428,0.135804286,True
fl,landing,22.512055012,23.027782673,0.515727661,True
fl,liftoff,26.292520901,26.423442482,0.130921581,True
fl,landing,26.832200197,27.349763116,0.517562919,True
fl,liftoff,30.612030273,30.748698937,0.136668664,True
fl,landing,31.156126114,31.65895647,0.502830356,True
fl,liftoff,34.935348466,35.064186176,0.12883771,True
fl,landing,35.472012853,35.987546873,0.51553402,True
fl,liftoff,39.251988507,39.386909588,0.134921081,True
fl,landing,39.793688943,40.303895711,0.510206768,True
fl,liftoff,43.572064106,43.709103366,0.13703926,True
fl,landing,44.112260048,44.621115515,0.508855467,True
fl,liftoff,47.891768043,48.038063035,0.146294992,True
fl,landing,48.432309772,48.934424186,0.502114414,True
fl,liftoff,52.212232842,52.351608146,0.139375304,True
fl,landing,52.751940449,53.263438703,0.511498254,True
fl,liftoff,56.53196305,56.670345771,0.138382721,True
fl,landing,57.072021706,57.591186892,0.519165186,True
fl,liftoff,60.85187689,60.994380023,0.142503133,True
fl,landing,61.391698592,61.903135759,0.511437167,True
fl,liftoff,65.171818489,65.309596028,0.137777539,True
fl,landing,65.711864435,66.225829413,0.513964978,True
fl,liftoff,69.491943051,69.632512756,0.140569705,True
fl,landing,70.032242893,70.558470404,0.526227511,True
fl,liftoff,73.812342832,73.948223094,0.135880262,True
fl,landing,74.35231459,74.869359642,0.517045052,True
fl,liftoff,78.13548955,78.270023369,0.134533819,True
fl,landing,78.672148104,79.181293308,0.509145204,True
fr,liftoff,2.531725509,2.662781959,0.13105645,True
fr,landing,3.072105805,3.586013353,0.513907548,True
fr,liftoff,6.851842496,6.984834143,0.132991647,True
fr,landing,7.391739499,7.904603476,0.512863977,True
fr,liftoff,11.171556508,11.313482866,0.141926358,True
fr,landing,11.711790903,12.231785826,0.519994923,True
fr,liftoff,15.492446902,15.631212365,0.138765463,True
fr,landing,16.031816762,16.543574745,0.511757983,True
fr,liftoff,19.812012952,19.947033283,0.135020331,True
fr,landing,20.351737964,20.864353163,0.512615199,True
fr,liftoff,24.131705337,24.269133999,0.137428662,True
fr,landing,24.672498955,25.186910654,0.514411699,True
fr,liftoff,28.452594808,28.587656845,0.135062037,True
fr,landing,28.992377185,29.49824303,0.505865845,True
fr,liftoff,32.77203103,32.917642122,0.145611092,True
fr,landing,33.311748497,33.826141575,0.514393078,True
fr,liftoff,37.092071376,37.229942292,0.137870916,True
fr,landing,37.632053515,38.146137716,0.514084201,True
fr,liftoff,41.413447091,41.55718734,0.143740249,True
fr,landing,41.952239284,42.470190272,0.517950988,True
fr,liftoff,45.731852893,45.868885278,0.137032385,True
fr,landing,46.271844698,46.793339086,0.521494388,True
fr,liftoff,50.053301923,50.186091607,0.132789684,True
fr,landing,50.591651437,51.107522288,0.515870851,True
fr,liftoff,54.37450165,54.503039975,0.128538325,True
fr,landing,54.911965188,55.419434273,0.507469085,True
fr,liftoff,58.692286387,58.82929401,0.137007623,True
fr,landing,59.231641749,59.740269529,0.50862778,True
fr,liftoff,63.01196318,63.152321282,0.140358102,True
fr,landing,63.552096727,64.066341799,0.514245072,True
fr,liftoff,67.332700147,67.466591932,0.133891785,True
fr,landing,67.875124423,68.379966325,0.504841902,True
fr,liftoff,71.652149801,71.78556236,0.133412559,True
fr,landing,72.19185027,72.70814381,0.51629354,True
fr,liftoff,75.976444061,76.11814678,0.141702719,True
fr,landing,76.512134469,77.027363127,0.515228658,True
rl,liftoff,3.613357296,3.749376527,0.136019231,True
rl,landing,4.152069662,3.827933169,-0.324136493,True
rl,liftoff,7.931835516,8.074710634,0.142875118,True
rl,landing,8.471845787,8.153870583,-0.317975204,True
rl,liftoff,12.251944941,12.383293666,0.131348725,True
rl,landing,12.792014521,12.472331847,-0.319682674,True
rl,liftoff,16.572484654,16.713460564,0.14097591,True
rl,landing,17.111792638,16.793498831,-0.318293807,True
rl,liftoff,20.891943734,21.031401964,0.13945823,True
rl,landing,21.432040268,21.119786911,-0.312253357,True
rl,liftoff,25.213086788,25.353523275,0.140436487,True
rl,landing,25.752229052,25.443785681,-0.308443371,True
rl,liftoff,29.531799035,29.676833071,0.145034036,True
rl,landing,30.072233586,29.763976761,-0.308256825,True
rl,liftoff,33.852087488,33.992174898,0.14008741,True
rl,landing,34.392021532,34.067014311,-0.325007221,True
rl,liftoff,38.171991489,38.311596693,0.139605204,True
rl,landing,38.714453339,38.400599661,-0.313853678,True
rl,liftoff,42.492289536,42.634097269,0.141807733,True
rl,landing,43.031897994,42.723822574,-0.30807542,True
rl,liftoff,46.812492876,46.950897896,0.13840502,True
rl,landing,47.352062302,47.029071112,-0.32299119,True
rl,liftoff,51.132036509,51.274609909,0.1425734,True
rl,landing,51.674831467,51.354183576,-0.320647891,True
rl,liftoff,55.452303642,55.593016571,0.140712929,True
rl,landing,55.992302626,55.671837688,-0.320464938,True
rl,liftoff,59.772128505,59.910324075,0.13819557,True
rl,landing,60.312146702,60.000207493,-0.311939209,True
rl,liftoff,64.091984453,64.234175498,0.142191045,True
rl,landing,64.632547728,64.322770687,-0.309777041,True
rl,liftoff,68.412202917,68.552433224,0.140230307,True
rl,landing,68.952002777,68.639029658,-0.312973119,True
rl,liftoff,72.735725951,72.873847806,0.138121855,True
rl,landing,73.27417393,72.951876049,-0.322297881,True
rl,liftoff,77.052223529,77.193563803,0.141340274,True
rl,landing,77.59308084,77.27089058,-0.32219026,True
rr,liftoff,1.451972799,1.598206891,0.146234092,True
rr,landing,1.991975573,1.675210559,-0.316765014,True
rr,liftoff,5.771978954,5.908996311,0.137017357,True
rr,landing,6.314547755,5.997680313,-0.316867442,True
rr,liftoff,10.09182465,10.235988899,0.144164249,True
rr,landing,10.632282055,10.31388241,-0.318399645,True
rr,liftoff,14.411779392,14.556009527,0.144230135,True
rr,landing,14.951848928,14.63801811,-0.313830818,True
rr,liftoff,18.73196441,18.865266586,0.133302176,True
rr,landing,19.272044163,18.952528906,-0.319515257,True
rr,liftoff,23.051649975,23.194429828,0.142779853,True
rr,landing,23.592307187,23.273034027,-0.31927316,True
rr,liftoff,27.372068819,27.508931269,0.13686245,True
rr,landing,27.911726722,27.597764287,-0.313962435,True
rr,liftoff,31.691849557,31.829088901,0.137239344,True
rr,landing,32.232172598,31.915979282,-0.316193316,True
rr,liftoff,36.01182097,36.153505168,0.141684198,True
rr,landing,36.551687406,36.234979651,-0.316707755,True
rr,liftoff,40.332139119,40.472042166,0.139903047,True
rr,landing,40.871773405,40.560603678,-0.311169727,True
rr,liftoff,44.653158347,44.789736465,0.136578118,True
rr,landing,45.192368858,44.879961444,-0.312407414,True
rr,liftoff,48.972121933,49.113126815,0.141004882,True
rr,landing,49.513876349,49.18888192,-0.324994429,True
rr,liftoff,53.291910633,53.431589216,0.139678583,True
rr,landing,53.831933283,53.518679986,-0.313253297,True
rr,liftoff,57.612323656,57.749685068,0.137361412,True
rr,landing,58.152036479,57.839319884,-0.312716595,True
rr,liftoff,61.932466601,62.069011178,0.136544577,True
rr,landing,62.472682584,62.149940384,-0.3227422,True
rr,liftoff,66.252321013,66.390777943,0.13845693,True
rr,landing,66.792161273,66.47000764,-0.322153633,True
rr,liftoff,70.572541031,70.737724489,0.165183458,True
rr,landing,71.112173046,70.838925774,-0.273247272,True
rr,liftoff,74.891862812,75.034997304,0.143134492,True
rr,landing,75.432301713,75.114986909,-0.317314804,True
