leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,0.007091845,0.209165844,0.202073999,True,True
fl,0.525711478,1.234270236,0.708558758,True,True
fl,1.599098907,2.56923751,0.970138603,True,True
fl,4.819158853,5.738166209,0.919007356,True,True
fl,5.902377698,6.882816823,0.980439125,True,True
fl,9.148327963,10.0661848,0.917856837,True,True
fl,10.220883758,11.21127204,0.990388282,True,True
fl,13.460950096,14.390190148,0.929240052,True,True
fl,14.542544544,15.521798104,0.97925356,True,True
fl,17.782581654,18.731004284,0.94842263,True,True
fl,18.860489356,19.846915863,0.986426507,True,True
fl,22.097464965,23.016297682,0.918832717,True,True
fl,23.183036485,24.173196652,0.990160167,True,True
fl,26.431614457,27.357194267,0.92557981,True,True
fl,27.511315147,28.49342575,0.982110603,True,True
fl,30.745504665,31.662117927,0.916613262,True,True
fl,31.818934452,32.810006958,0.991072506,True,True
fl,35.064816877,35.982068615,0.917251738,True,True
fl,36.1466366,37.12891088,0.98227428,True,True
fl,39.38994576,40.30451788,0.91457212,True,True
fl,40.469732665,41.454854347,0.985121682,True,True
fl,43.706187883,44.634032624,0.927844741,True,True
fl,44.790033446,45.793754218,1.003720772,True,True
fl,48.032418017,48.952358925,0.919940908,True,True
fl,49.111297509,50.088851611,0.977554102,True,True
fl,52.343796257,53.261794471,0.917998214,True,True
fl,53.414112709,54.413103995,0.998991286,True,True
fl,56.664196974,57.581116754,0.91691978,True,True
fl,57.7461952,58.727132124,0.980936924,True,True
fl,60.995074305,61.903702964,0.908628659,True,True
fl,62.067871107,63.05424113,0.986370023,True,True
fl,65.310400912,66.227469957,0.917069045,True,True
fl,66.38282147,67.370965682,0.988144212,True,True
fl,69.639478638,70.556283436,0.916804798,True,True
fl,70.70920568,71.69507458,0.9858689,True,True
fl,73.948426343,74.866814071,0.918387728,True,True
fl,75.02313958,75.999394534,0.976254954,True,True
fl,78.26020543,,,,False
fr,1.335276278,1.500741555,0.165465277,True,True
fr,2.668740525,3.580171559,0.911431034,True,True
fr,3.741085958,4.72105954,0.979973582,True,True
fr,6.978048652,7.906150334,0.928101682,True,True
fr,8.061969744,9.051232954,0.98926321,True,True
fr,11.301190938,12.225135219,0.923944281,True,True
fr,12.384165635,13.372772069,0.988606434,True,True
fr,15.621206527,16.541485569,0.920279042,True,True
fr,16.69997207,17.683333218,0.983361148,True,True
fr,19.950794621,20.871868064,0.921073443,True,True
fr,21.027644541,22.009465761,0.98182122,True,True
fr,24.265649221,25.19725367,0.931604449,True,True
fr,25.3458262,26.334477182,0.988650982,True,True
fr,28.583231582,29.51173753,0.928505948,True,True
fr,29.669139921,30.644037364,0.974897443,True,True
fr,32.902845792,33.815174109,0.912328317,True,True
fr,33.983047386,34.976821215,0.993773829,True,True
fr,37.227588102,38.14563474,0.918046638,True,True
fr,38.307875602,39.290376432,0.98250083,True,True
fr,41.557253968,42.459135685,0.901881717,True,True
fr,42.624300172,43.607596349,0.983296177,True,True
fr,45.889437945,46.780935452,0.891497507,True,True
fr,46.94753217,47.9211028,0.97357063,True,True
fr,50.184298801,51.09854507,0.914246269,True,True
fr,51.265636568,52.25403891,0.988402342,True,True
fr,54.510309076,55.425476875,0.915167799,True,True
fr,55.589127443,56.580061757,0.990934314,True,True
fr,58.826187797,59.750343781,0.924155984,True,True
fr,59.906392186,60.894132871,0.987740685,True,True
fr,63.156424986,64.057358024,0.900933038,True,True
fr,64.221014389,65.213178577,0.992164188,True,True
fr,67.46844993,68.37964559,0.91119566,True,True
fr,68.535666508,69.539296883,1.003630375,True,True
fr,71.793811799,72.707679317,0.913867518,True,True
fr,72.862216537,73.861063273,0.998846736,True,True
fr,76.099080148,77.020376643,0.921296495,True,True
fr,77.178523555,78.170252644,0.991729089,True,True
rl,3.741085958,3.87616411,0.135078152,True,True
rl,8.061969744,8.201676333,0.139706589,True,True
rl,12.384165635,12.517245478,0.133079843,True,True
rl,16.69997207,16.842631837,0.142659767,True,True
rl,21.027644541,21.164645882,0.137001341,True,True
rl,25.3458262,25.493229849,0.147403649,True,True
rl,29.669139921,29.802458815,0.133318894,True,True
rl,33.983047386,34.115247314,0.132199928,True,True
rl,38.307875602,38.440784884,0.132909282,True,True
rl,42.624300172,42.766267345,0.141967173,True,True
rl,46.94753217,47.081658479,0.134126309,True,True
rl,51.254547379,51.394577893,0.140030514,True,True
rl,55.589127443,55.724683066,0.135555623,True,True
rl,59.906392186,60.035878028,0.129485842,True,True
rl,64.221014389,64.363113472,0.142099083,True,True
rl,68.535666508,68.67210871,0.136442202,True,True
rl,72.862216537,73.006676508,0.144459971,True,True
rl,77.178523555,77.314469838,0.135946283,True,True
rr,1.599098907,1.721251295,0.122152388,True,True
rr,5.902377698,6.032931829,0.130554131,True,True
rr,10.220883758,10.35286864,0.131984882,True,True
rr,14.542544544,14.685967444,0.1434229,True,True
rr,18.860489356,19.003062116,0.14257276,True,True
rr,23.183036485,23.316337632,0.133301147,True,True
rr,27.504840096,27.643782752,0.138942656,True,True
rr,31.818934452,31.960031283,0.141096831,True,True
rr,36.1466366,36.281367449,0.134730849,True,True
rr,40.469732665,40.604360507,0.134627842,True,True
rr,44.790033446,44.924176697,0.134143251,True,True
rr,49.100757477,49.245949611,0.145192134,True,True
rr,53.426270696,53.557442738,0.131172042,True,True
rr,57.7461952,57.880734983,0.134539783,True,True
rr,62.067871107,62.198004344,0.130133237,True,True
rr,66.38282147,66.529570142,0.146748672,True,True
rr,70.70920568,70.840369761,0.131164081,True,True
rr,75.02313958,75.160807617,0.137668037,True,True
