leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.372942904,0.648544653,0.275601749,True
fl,landing,0.913526407,1.268336994,0.354810587,True
fl,liftoff,4.693281218,4.940743569,0.247462351,True
fl,landing,5.233358344,5.770313593,0.536955249,True
fl,liftoff,9.012644342,9.27204921,0.259404868,True
fl,landing,9.55286725,10.099506622,0.546639372,True
fl,liftoff,13.332822324,13.58485354,0.252031216,True
fl,landing,13.875045916,14.423013353,0.547967437,True
fl,liftoff,17.656776553,17.910475453,0.2536989,True
fl,landing,18.195548376,18.761764684,0.566216308,True
fl,liftoff,21.972707995,22.222098048,0.249390053,True
fl,landing,22.51879605,23.048934469,0.530138419,True
fl,liftoff,26.292526739,26.552442988,0.259916249,True
fl,landing,26.837249876,27.389112297,0.551862421,True
fl,liftoff,30.613438375,30.869203542,0.255765167,True
fl,landing,31.153283243,31.698694242,0.545410999,True
fl,liftoff,34.933009113,35.186610839,0.253601726,True
fl,landing,35.472533484,36.013880671,0.541347187,True
fl,liftoff,39.252954342,39.518284944,0.265330602,True
fl,landing,39.792632079,40.338942538,0.546310459,True
fl,liftoff,43.573038982,43.830256153,0.257217171,True
fl,landing,44.11266199,44.667977911,0.555315921,True
fl,liftoff,47.893084898,48.154530026,0.261445128,True
fl,landing,48.432595177,48.983021363,0.550426186,True
fl,liftoff,52.213092794,52.473753136,0.260660342,True
fl,landing,52.753304528,53.294594372,0.541289844,True
fl,liftoff,56.53278525,56.785894812,0.253109562,True
fl,landing,57.072953699,57.613340371,0.540386672,True
fl,liftoff,60.852887869,61.115547759,0.26265989,True
fl,landing,61.392850683,61.936128249,0.543277566,True
fl,liftoff,65.172932807,65.440178006,0.267245199,True
fl,landing,65.713262179,66.260793281,0.547531102,True
fl,liftoff,69.493468951,69.765648388,0.272179437,True
fl,landing,70.032859844,70.58879137,0.555931526,True
fl,liftoff,73.812616806,74.080291477,0.267674671,True
fl,landing,74.352693624,74.900537688,0.547844064,True
fl,liftoff,78.132875063,78.381779289,0.248904226,True
fl,landing,78.674515305,,,False
fr,liftoff,2.532780749,2.789902173,0.257121424,True
fr,landing,3.073465805,3.611790749,0.538324944,True
fr,liftoff,6.852773287,7.102759148,0.249985861,True
fr,landing,7.392722796,7.940788503,0.548065707,True
fr,liftoff,11.172675576,11.42534944,0.252673864,True
fr,landing,11.712980514,12.255435008,0.542454494,True
fr,liftoff,15.49256199,15.741529692,0.248967702,True
fr,landing,16.032905762,16.57521402,0.542308258,True
fr,liftoff,19.812594626,20.072792854,0.260198228,True
fr,landing,20.352922306,20.906033993,0.553111687,True
fr,liftoff,24.132834177,24.39227034,0.259436163,True
fr,landing,24.67306688,25.232424983,0.559358103,True
fr,liftoff,28.452678327,28.707290458,0.254612131,True
fr,landing,28.992838094,29.548410093,0.555571999,True
fr,liftoff,32.772987218,33.024304333,0.251317115,True
fr,landing,33.312681866,33.84701369,0.534331824,True
fr,liftoff,37.093108719,37.352312317,0.259203598,True
fr,landing,37.632755783,38.175141775,0.542385992,True
fr,liftoff,41.412702093,41.67745449,0.264752397,True
fr,landing,41.952544486,42.491523634,0.538979148,True
fr,liftoff,45.734743372,46.012999679,0.278256307,True
fr,landing,46.273023875,46.814300368,0.541276493,True
fr,liftoff,50.053213169,50.305519861,0.252306692,True
fr,landing,50.593076101,51.131339253,0.538263152,True
fr,liftoff,54.372714545,54.641655175,0.26894063,True
fr,landing,54.913784369,55.456976703,0.543192334,True
fr,liftoff,58.693732346,58.946983144,0.253250798,True
fr,landing,59.232862721,59.782212357,0.549349636,True
