leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.372942904,0.525711478,0.152768574,True
fl,landing,0.913526407,1.234270236,0.320743829,True
fl,liftoff,4.693281218,4.819158853,0.125877635,True
fl,landing,5.233358344,5.738166209,0.504807865,True
fl,liftoff,9.012644342,9.148327963,0.135683621,True
fl,landing,9.55286725,10.0661848,0.51331755,True
fl,liftoff,13.332822324,13.460950096,0.128127772,True
fl,landing,13.875045916,14.390190148,0.515144232,True
fl,liftoff,17.656776553,17.782581654,0.125805101,True
fl,landing,18.195548376,18.731004284,0.535455908,True
fl,liftoff,21.972707995,22.097464965,0.12475697,True
fl,landing,22.51879605,23.016297682,0.497501632,True
fl,liftoff,26.292526739,26.431614457,0.139087718,True
fl,landing,26.837249876,27.357194267,0.519944391,True
fl,liftoff,30.613438375,30.745504665,0.13206629,True
fl,landing,31.153283243,31.662117927,0.508834684,True
fl,liftoff,34.933009113,35.064816877,0.131807764,True
fl,landing,35.472533484,35.982068615,0.509535131,True
fl,liftoff,39.252954342,39.38994576,0.136991418,True
fl,landing,39.792632079,40.30451788,0.511885801,True
fl,liftoff,43.573038982,43.706187883,0.133148901,True
fl,landing,44.11266199,44.634032624,0.521370634,True
fl,liftoff,47.893084898,48.032418017,0.139333119,True
fl,landing,48.432595177,48.952358925,0.519763748,True
fl,liftoff,52.213092794,52.343796257,0.130703463,True
fl,landing,52.753304528,53.261794471,0.508489943,True
fl,liftoff,56.53278525,56.664196974,0.131411724,True
fl,landing,57.072953699,57.581116754,0.508163055,True
fl,liftoff,60.852887869,60.995074305,0.142186436,True
fl,landing,61.392850683,61.903702964,0.510852281,True
fl,liftoff,65.172932807,65.310400912,0.137468105,True
fl,landing,65.713262179,66.227469957,0.514207778,True
fl,liftoff,69.493468951,69.639478638,0.146009687,True
fl,landing,70.032859844,70.556283436,0.523423592,True
fl,liftoff,73.812616806,73.948426343,0.135809537,True
fl,landing,74.352693624,74.866814071,0.514120447,True
fl,liftoff,78.132875063,78.26020543,0.127330367,True
fl,landing,78.674515305,,,False
