ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,4.319916208,4.319916208,254,0.016380370114477932,0.003791825888692777,0.004238347168212903,0.007749230277250005,0.22317949265587528,0.22435294941267755,0.2239604222761839,1.0557400483642694,2.6290486078623427,2.1166226961329055,5.219701613506,0.02545573966361192,1.2772412087451974
2,4.319916208,8.639970174,4.320053966,254,0.023127571306996903,0.005353537592126668,0.0006663376295616779,0.008544454045220251,0.2232598477269921,0.2243552966986814,0.2241024425308793,1.06274698032779,2.6277913997084283,2.1252525699115656,5.2197461601625275,0.025261007180721773,1.2772408266162913
3,8.639970174,12.960258294,4.32028812,254,0.02296025148584891,0.005314518580267492,0.00079490864870271,0.008460443368011123,0.22324711627300423,0.22435731467919193,0.2241033701800874,1.062907528325754,2.6315308154725217,2.1253123797880376,5.214471294954051,0.025261004303951173,1.2772406903482207
4,12.960258294,17.279921107,4.319662813,254,0.02304207515867787,0.00533423004437589,0.0006293219843807904,0.008541580065614,0.22324486254473927,0.22435755946538985,0.22410268333271116,1.0632760356212074,2.6285536247572283,2.1274201050329737,5.217338214693478,0.025261001441460595,1.2772405547565744
5,17.279921107,21.599948117,4.32002701,253,0.02295021895614882,0.005312517468762035,0.0006434961019165966,0.00844589127677154,0.2231956933170196,0.22435796450568926,0.2241001940458285,1.0567411497354597,2.619479095007155,2.117975760281337,5.216753147475516,0.025474897287141696,1.2702489687497933
6,21.599948117,25.920211348,4.320263231,252,0.022158574735395523,0.005128987182169114,0.0011114390426302488,0.008361409357130298,0.22324426583113183,0.22435775936203795,0.2240997217876054,1.0664374723699803,2.6266690187306363,2.1337534677468155,5.21188121430995,0.025207061515764462,1.277240647811619
7,25.920211348,30.24016902,4.319957672,254,0.024527132598541307,0.005677632620688628,0.0001884077484169593,0.00869580446655839,0.2232466444014193,0.22435629371308677,0.22410065017300915,1.057081648619743,2.626962220506139,2.1162256998963556,5.217785513167253,0.025474276520454642,1.2772406459570853
8,30.24016902,34.560031461,4.319862441,253,0.02214332188507756,0.005125932176662466,0.0010192938243816763,0.008192021840158907,0.22324372750724164,0.22435822998203842,0.22410073613039877,1.0642598900609999,2.6288530216112056,2.129257012159681,5.2171117864460115,0.025261005364237032,1.2772407405722803
9,34.560031461,38.879990504,4.319959043,253,0.022697518483050294,0.0052541050174605315,0.0008923906811375299,0.008484661851728078,0.22324935836224805,0.22435728171315453,0.22409986179323538,1.0623207619199166,2.62887557358698,2.1262662451933823,5.213714321315628,0.025474897295587606,1.2772412612170227
10,38.879990504,43.199909853,4.319919349,254,0.023649134756271367,0.00547443895260355,0.000491895808233481,0.008614883738120381,0.22324672833871714,0.22435700447665458,0.22410094195274805,1.0615088727242097,2.6271053128802766,2.1240335170795834,5.212380561594788,0.025261003558682993,1.2772406550460493
11,43.199909853,47.520083276,4.320173423,253,0.022979571829656265,0.00531913179857925,0.0007168842314681312,0.008376258558636693,0.22324153089640425,0.22435779428131558,0.2240999838366964,1.062286568228176,2.6273767009381572,2.1261279129316755,5.214571192116096,0.025474895349368865,1.277240660128732
12,47.520083276,51.840212331,4.320129055,253,0.023198773984972887,0.005369926150267029,0.0005963249819675902,0.008390472330456547,0.22324377229076708,0.22435772018400155,0.2241002411706356,1.063765398575436,2.6265903108881514,2.129262227182803,5.217938709488098,0.025474892782724523,1.2772387179594704
13,51.840212331,56.160038616,4.319826285,253,0.022541354258437174,0.005218115908204205,0.0008995890754455891,0.008268844034578886,0.22326005334548463,0.2243565347731511,0.22410118965955333,1.062914246503192,2.628118983687462,2.126231333556338,5.21982289291651,0.025261007517447198,1.277240842566436
14,56.160038616,60.480120696,4.32008208,253,0.022518192849671992,0.005212445604661288,0.0008588717264070957,0.008454304990689415,0.2232535065526058,0.22435529445617716,0.22409946678513867,1.0629101388403008,2.624882824413095,2.1278183661194623,5.218671964606256,0.025474897145116082,1.2772409276156576
15,60.480120696,64.800100137,4.319979441,254,0.023548509123546668,0.005451069720390983,0.0006105174810525013,0.008567378964933198,0.22324417089645862,0.22435686967267285,0.2241005510834855,1.062239485955834,2.6283578232367235,2.125370608172831,5.219482191729955,0.025474902840193048,1.277240601706442
16,64.800100137,69.120642084,4.320541947,253,0.02105290395240872,0.004872746107007932,0.0014481797298796558,0.00841626313886681,0.22323038616598342,0.22435777065183593,0.22409705864207724,1.0702509549617278,2.625301636297995,2.1436444210481893,5.2149704539929385,0.025261005234557987,1.2772410666237064
17,69.120642084,73.439954971,4.319312887,253,0.024519558783365925,0.00567672669816613,0.0001442425572339076,0.009118689506280257,0.2232443303581621,0.22435495114898885,0.2240990052123069,1.0655143904060624,2.6330443699061084,2.1312342424517756,5.215655555097574,0.025474902078163608,1.2702491956929312
18,73.439954971,77.75998434,4.320029369,254,0.023925569121571066,0.005538288534160904,0.0003852062247038709,0.00851269676561319,0.2232481473368629,0.22435620116520982,0.2241003284688431,1.0608412973625883,2.627593668846349,2.1230457556299287,5.214396442088093,0.025474895202256653,1.2772408353018556
