leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,0.007620068,1.230309646,1.222689578,True,True
fl,1.498857881,2.429578274,0.930720393,True,True
fl,4.908410828,7.132936096,2.224525268,True,True
fl,9.533045217,11.7413533,2.208308083,True,True
fl,14.137771145,16.353639838,2.215868693,True,True
fl,18.747325336,20.95699908,2.209673744,True,True
fl,23.358929409,25.562037687,2.203108278,True,True
fl,27.970985942,30.178998791,2.208012849,True,True
fl,32.578979963,34.774886146,2.195906183,True,True
fl,37.177359521,39.397203164,2.219843643,True,True
fl,41.798032212,43.993221399,2.195189187,True,True
fl,46.396315723,48.596878945,2.200563222,True,True
fl,51.01084374,53.220498979,2.209655239,True,True
fl,55.620550582,57.814282579,2.193731997,True,True
fl,60.219469779,62.433001513,2.213531734,True,True
fl,64.824927099,67.039852433,2.214925334,True,True
fl,69.436722597,71.643562285,2.206839688,True,True
fl,74.048653734,76.25158756,2.202933826,True,True
fl,78.655312626,80.858823461,2.203510835,True,True
fl,83.255537479,85.4732999,2.217762421,True,True
fl,87.875484807,90.080065073,2.204580266,True,True
fl,92.477307212,94.680107993,2.202800781,True,True
fl,97.089843683,99.294715572,2.204871889,True,True
fl,101.697367817,103.902119199,2.204751382,True,True
fl,106.297133915,108.519780504,2.222646589,True,True
fl,110.913704414,113.11395933,2.200254916,True,True
fl,115.51496669,117.724543936,2.209577246,True,True
fr,1.332038763,1.398716468,0.066677705,False,True
fr,2.565108285,4.810327746,2.245219461,True,True
fr,7.231932381,9.434498901,2.20256652,True,True
fr,11.837662248,14.04132581,2.203663562,True,True
fr,16.44316783,18.657790069,2.214622239,True,True
fr,21.05614062,23.258131315,2.201990695,True,True
fr,25.669093851,27.873296018,2.204202167,True,True
fr,30.276227546,32.481384997,2.205157451,True,True
fr,34.871669923,37.080540188,2.208870265,True,True
fr,39.485212285,41.696635587,2.211423302,True,True
fr,44.090749249,46.2947088,2.203959551,True,True
fr,48.695817877,50.910910203,2.215092326,True,True
fr,53.315877177,55.52227973,2.206402553,True,True
fr,57.914802232,60.119005059,2.204202827,True,True
fr,62.533588704,64.724795577,2.191206873,True,True
fr,67.129477194,69.334812871,2.205335677,True,True
fr,71.734816339,73.947338719,2.21252238,True,True
fr,76.348907141,78.556665711,2.20775857,True,True
fr,80.957262504,83.158059348,2.200796844,True,True
fr,85.572403667,87.776414824,2.204011157,True,True
fr,90.1783205,92.379918348,2.201597848,True,True
fr,94.778028931,97.00211775,2.224088819,True,True
fr,99.391637215,101.596753981,2.205116766,True,True
fr,104.001603576,106.200016201,2.198412625,True,True
fr,108.617845214,110.814217312,2.196372098,True,True
fr,113.209363854,115.422882988,2.213519134,True,True
fr,117.82259435,,,,False
