leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,landing,1.173694715,1.264625932,0.090931217,True
fl,liftoff,4.61326998,5.029246302,0.415976322,True
fl,landing,5.773173358,7.166709899,1.393536541,True
fl,liftoff,9.233817391,9.655493743,0.421676352,True
fl,landing,10.3806181,11.773478134,1.392860034,True
fl,liftoff,13.833969313,14.25960875,0.425639437,True
fl,landing,14.993492958,16.387624158,1.3941312,True
fl,liftoff,18.453139302,18.869049748,0.415910446,True
fl,landing,19.593323269,20.988916173,1.395592904,True
fl,liftoff,23.053288765,23.479547215,0.42625845,True
fl,landing,24.213786541,25.59569452,1.381907979,True
fl,liftoff,27.653257384,28.101594818,0.448337434,True
fl,landing,28.813113618,30.209808175,1.396694557,True
fl,liftoff,32.273913128,32.700286198,0.42637307,True
fl,landing,33.414467693,34.805784579,1.391316886,True
fl,liftoff,36.874187277,37.297606069,0.423418792,True
fl,landing,38.03341037,39.430924419,1.397514049,True
fl,liftoff,41.493713003,41.921770605,0.428057602,True
fl,landing,42.633576468,44.026414328,1.39283786,True
fl,liftoff,46.093315839,46.528651448,0.435335609,True
fl,landing,47.253347951,48.630687706,1.377339755,True
fl,liftoff,50.69363885,51.136996186,0.443357336,True
fl,landing,51.853261897,53.250577496,1.397315599,True
fl,liftoff,55.313133156,55.743152655,0.430019499,True
fl,landing,56.453210514,57.848041867,1.394831353,True
fl,liftoff,59.913408167,60.342573298,0.429165131,True
fl,landing,61.073004167,62.465739795,1.392735628,True
fl,liftoff,64.533828762,64.945239426,0.411410664,True
fl,landing,65.673091476,67.073752447,1.400660971,True
fl,liftoff,69.133236468,69.558222463,0.424985995,True
fl,landing,70.293461246,71.672829012,1.379367766,True
fl,liftoff,73.733207582,74.169235129,0.436027547,True
fl,landing,74.893064262,76.283617718,1.390553456,True
fl,liftoff,78.35334635,78.777484079,0.424137729,True
fl,landing,79.493272724,80.893696991,1.400424267,True
fl,liftoff,82.953273841,83.384652417,0.431378576,True
fl,landing,84.113361259,85.507362531,1.394001272,True
fl,liftoff,87.573198996,87.999158936,0.42595994,True
fl,landing,88.713054929,90.112021532,1.398966603,True
fl,liftoff,92.174505666,92.603208521,0.428702855,True
fl,landing,93.336734063,94.712061648,1.375327585,True
fl,liftoff,96.773395323,97.212351805,0.438956482,True
fl,landing,97.933262793,99.326854556,1.393591763,True
fl,liftoff,101.393608452,101.820222964,0.426614512,True
fl,landing,102.533516011,103.935467424,1.401951413,True
fl,liftoff,105.993260394,106.420602048,0.427341654,True
fl,landing,107.154266744,108.552287832,1.398021088,True
fl,liftoff,110.613261921,111.036176329,0.422914408,True
fl,landing,111.754237876,113.145648426,1.39141055,True
fl,liftoff,115.213644647,115.636513491,0.422868844,True
fl,landing,116.373200263,117.756520063,1.3833198,True
fr,liftoff,2.313230463,2.695934947,0.382704484,True
fr,landing,3.473407223,4.84244216,1.369034937,True
fr,liftoff,6.933458517,7.353525634,0.420067117,True
fr,landing,8.07497565,9.465916702,1.390941052,True
fr,liftoff,11.533381724,11.961074462,0.427692738,True
fr,landing,12.693435696,14.07268994,1.379254244,True
fr,liftoff,16.13341217,16.566620912,0.433208742,True
fr,landing,17.293391419,18.689614988,1.396223569,True
fr,liftoff,20.754509558,21.179765416,0.425255858,True
fr,landing,21.893367227,23.2910207,1.397653473,True
fr,liftoff,25.353125783,25.78312625,0.430000467,True
fr,landing,26.513321955,27.904227994,1.390906039,True
fr,liftoff,29.973545949,30.399462428,0.425916479,True
fr,landing,31.113610868,32.514321823,1.400710955,True
fr,liftoff,34.573286729,35.000536584,0.427249855,True
fr,landing,35.733187817,37.113089823,1.379902006,True
fr,liftoff,39.173477344,39.606947601,0.433470257,True
fr,landing,40.335506943,41.729499266,1.393992323,True
fr,liftoff,43.793214523,44.220974344,0.427759821,True
fr,landing,44.932935222,46.327906929,1.394971707,True
fr,liftoff,48.393026917,48.817148691,0.424121774,True
fr,landing,49.552932253,50.944397998,1.391465745,True
fr,liftoff,53.013382244,53.436858804,0.42347656,True
fr,landing,54.153383795,55.554347167,1.400963372,True
fr,liftoff,57.613213566,58.04555805,0.432344484,True
fr,landing,58.773415505,60.153557703,1.380142198,True
fr,liftoff,62.213557269,62.650751872,0.437194603,True
fr,landing,63.373638046,64.757453829,1.383815783,True
fr,liftoff,66.832988882,67.258198386,0.425209504,True
fr,landing,67.973203734,69.368311317,1.395107583,True
fr,liftoff,71.432955404,71.860565798,0.427610394,True
fr,landing,72.593345566,73.981407661,1.388062095,True
fr,liftoff,76.054431501,76.4708957,0.416464199,True
fr,landing,77.193401619,78.589652453,1.396250834,True
fr,liftoff,80.653719995,81.078245096,0.424525101,True
fr,landing,81.813121687,83.190310904,1.377189217,True
fr,liftoff,85.253040164,85.695842883,0.442802719,True
fr,landing,86.413042935,87.809609528,1.396566593,True
fr,liftoff,89.873398267,90.300994213,0.427595946,True
fr,landing,91.013277948,92.412491741,1.399213793,True
fr,liftoff,94.473094172,94.897944894,0.424850722,True
fr,landing,95.633346375,97.034706622,1.401360247,True
fr,liftoff,99.093102002,99.522360478,0.429258476,True
fr,landing,100.233234452,101.63158428,1.398349828,True
fr,liftoff,103.693484259,104.128770113,0.435285854,True
fr,landing,104.853535245,106.231959967,1.378424722,True
fr,liftoff,108.29439187,108.737026363,0.442634493,True
fr,landing,109.453081604,110.847504832,1.394423228,True
fr,liftoff,112.913067619,113.33218087,0.419113251,True
fr,landing,114.053052056,115.45768845,1.404636394,True
fr,liftoff,117.513464873,117.953126475,0.439661602,True
fr,landing,118.673815181,,,False
rl,liftoff,3.473407223,,,False
rl,landing,4.61326998,,,False
rl,liftoff,8.07497565,,,False
rl,landing,9.233817391,,,False
rl,liftoff,12.693435696,,,False
rl,landing,13.833969313,,,False
rl,liftoff,17.293391419,,,False
rl,landing,18.453139302,,,False
rl,liftoff,21.893367227,,,False
rl,landing,23.053288765,,,False
rl,liftoff,26.513321955,,,False
rl,landing,27.653257384,,,False
rl,liftoff,31.113610868,,,False
rl,landing,32.273913128,,,False
rl,liftoff,35.733187817,,,False
rl,landing,36.874187277,,,False
rl,liftoff,40.335506943,,,False
rl,landing,41.493713003,,,False
rl,liftoff,44.932935222,,,False
rl,landing,46.093315839,,,False
rl,liftoff,49.552932253,,,False
rl,landing,50.69363885,,,False
rl,liftoff,54.153383795,,,False
rl,landing,55.313133156,,,False
rl,liftoff,58.773415505,,,False
rl,landing,59.913408167,,,False
rl,liftoff,63.373638046,,,False
rl,landing,64.533828762,,,False
rl,liftoff,67.973203734,,,False
rl,landing,69.133236468,,,False
rl,liftoff,72.593345566,,,False
rl,landing,73.733207582,,,False
rl,liftoff,77.193401619,,,False
rl,landing,78.35334635,,,False
rl,liftoff,81.813121687,,,False
rl,landing,82.953273841,,,False
rl,liftoff,86.413042935,,,False
rl,landing,87.573198996,,,False
rl,liftoff,91.013277948,,,False
rl,landing,92.174505666,,,False
rl,liftoff,95.633346375,,,False
rl,landing,96.773395323,,,False
rl,liftoff,100.233234452,,,False
rl,landing,101.393608452,,,False
rl,liftoff,104.853535245,,,False
rl,landing,105.993260394,,,False
rl,liftoff,109.453081604,,,False
rl,landing,110.613261921,,,False
rl,liftoff,114.053052056,,,False
rl,landing,115.213644647,,,False
rl,liftoff,118.673815181,,,False
rr,liftoff,1.173694715,,,False
rr,landing,2.313230463,,,False
rr,liftoff,5.773173358,,,False
rr,landing,6.933458517,,,False
rr,liftoff,10.3806181,,,False
rr,landing,11.533381724,,,False
rr,liftoff,14.993492958,,,False
rr,landing,16.13341217,,,False
rr,liftoff,19.593323269,,,False
rr,landing,20.754509558,,,False
rr,liftoff,24.213786541,,,False
rr,landing,25.353125783,,,False
rr,liftoff,28.813113618,,,False
rr,landing,29.973545949,,,False
rr,liftoff,33.414467693,,,False
rr,landing,34.573286729,,,False
rr,liftoff,38.03341037,,,False
rr,landing,39.173477344,,,False
rr,liftoff,42.633576468,,,False
rr,landing,43.793214523,,,False
rr,liftoff,47.253347951,,,False
rr,landing,48.393026917,,,False
rr,liftoff,51.853261897,,,False
rr,landing,53.013382244,,,False
rr,liftoff,56.453210514,,,False
rr,landing,57.613213566,,,False
rr,liftoff,61.073004167,,,False
rr,landing,62.213557269,,,False
rr,liftoff,65.673091476,,,False
rr,landing,66.832988882,,,False
rr,liftoff,70.293461246,,,False
rr,landing,71.432955404,,,False
rr,liftoff,74.893064262,,,False
rr,landing,76.054431501,,,False
rr,liftoff,79.493272724,,,False
rr,landing,80.653719995,,,False
rr,liftoff,84.113361259,,,False
rr,landing,85.253040164,,,False
rr,liftoff,88.713054929,,,False
rr,landing,89.873398267,,,False
rr,liftoff,93.336734063,,,False
rr,landing,94.473094172,,,False
rr,liftoff,97.933262793,,,False
rr,landing,99.093102002,,,False
rr,liftoff,102.533516011,,,False
rr,landing,103.693484259,,,False
rr,liftoff,107.154266744,,,False
rr,landing,108.29439187,,,False
rr,liftoff,111.754237876,,,False
rr,landing,112.913067619,,,False
rr,liftoff,116.373200263,,,False
rr,landing,117.513464873,,,False
