ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,4.599953151,4.599953151,270,0.013480511887233412,0.0029305759090835167,0.002370723269824998,0.007300984372316797,0.2233680638065556,0.22425280544374565,0.22386235213340283,0.5654620572447346,1.2311393989593316,1.186577896438811,2.507069393793315,0.009822844394664632,0.49522071765373255
2,4.599953151,9.219470449,4.619517298,271,0.021676558601883215,0.004692386066238563,0.00043626597032058096,0.005379869209445501,0.2236553087962037,0.22433324591511916,0.22411392677289022,0.5974634932847918,1.257004085167404,1.167580205169591,2.449632097612294,0.009649564018640588,0.4889616053905024
3,9.219470449,13.819444225,4.599973776,270,0.021718051997063642,0.004721342567293723,0.00029491391515680716,0.005239511927350527,0.2236573466313895,0.22433145902454737,0.22411842206568425,0.600727300865572,1.2623011309881853,1.173282167909089,2.4591815981238336,0.009650445048605683,0.48900333830571463
4,13.819444225,18.439471561,4.620027336,271,0.02217191970196996,0.00479908842296295,0.00019803018885580412,0.00523153527611485,0.22365594085798274,0.22433135980029015,0.2241194847076443,0.6021018487971609,1.2615361179482298,1.1742689002929196,2.4574737305092493,0.009650616150539415,0.4890114432160674
5,18.439471561,23.039379759,4.599908198,269,0.020436328193396594,0.0044427687061846435,0.0005604136110291647,0.005355773538040967,0.2236602263591372,0.22433109991748396,0.22412000954430847,0.6002395717182298,1.2579252219647612,1.1714782140495894,2.4472211397071635,0.00965044504500745,0.4890033381352405
6,23.039379759,27.639645107,4.600265348,271,0.022170764828721726,0.0048194534774739966,0.00020478727563966154,0.005112303727199629,0.22365536085829602,0.2243315893734432,0.2241164601491581,0.6036909278942318,1.2631390251174048,1.1790412611417385,2.459303198348886,0.009650616148436542,0.48901144304992383
7,27.639645107,32.259423807,4.6197787,271,0.021569784558246277,0.0046690081839301685,0.00035969736119693333,0.005272106933638394,0.22366349377929104,0.22433012646831021,0.22412197150239144,0.5996231424958692,1.2614512770000381,1.1683063555582658,2.4499849062320043,0.009764916905557919,0.4889616053889484
8,32.259423807,36.859623576,4.600199769,270,0.021897822121942745,0.0047601893877541185,0.0002545347006999768,0.005208458555900875,0.22365659021427547,0.2243314901098757,0.22411762085794176,0.6024973681135369,1.2625992820046268,1.176834541382754,2.460891259750196,0.009581983577379272,0.4894559778613903
9,36.859623576,41.480019503,4.620395927,271,0.02213973344030251,0.004791739450492878,0.00020699521899855342,0.005240674335973482,0.22365599066560143,0.22433134574061916,0.22411941697007018,0.602314946045442,1.2615366257668494,1.174722797880859,2.457682678353964,0.009650616150412294,0.48901144238663363
10,41.480019503,46.079604225,4.599584722,270,0.021082333249044183,0.004583529714803714,0.00043870269502642803,0.0053586558954049545,0.22366019497914666,0.22433124638686897,0.2241202632251645,0.5994547604961912,1.2575491268600014,1.1700398213435412,2.4482024131374605,0.009764916908782006,0.48900332798573914
