leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,landing,0.981463296,1.085560605,0.104097309,True
fl,liftoff,3.862398738,4.145071099,0.282672361,True
fl,landing,4.821447432,5.964907655,1.143460223,True
fl,liftoff,7.701468705,7.990480703,0.289011998,True
fl,landing,8.662096953,9.811866068,1.149769115,True
fl,liftoff,11.541858325,11.83086553,0.289007205,True
fl,landing,12.5012316,13.650889965,1.149658365,True
fl,liftoff,15.384438864,15.670066473,0.285627609,True
fl,landing,16.341166334,17.478997834,1.1378315,True
fl,liftoff,19.223565165,19.496483082,0.272917917,True
fl,landing,20.181370569,21.326576606,1.145206037,True
fl,liftoff,23.061214171,23.344104638,0.282890467,True
fl,landing,24.021590038,25.17015555,1.148565512,True
fl,liftoff,26.900939813,27.180011,0.279071187,True
fl,landing,27.861471093,29.00673283,1.145261737,True
fl,liftoff,30.741050023,31.02437659,0.283326567,True
fl,landing,31.702963184,32.85030362,1.147340436,True
fl,liftoff,34.581368585,34.864843303,0.283474718,True
fl,landing,35.541626195,36.688364237,1.146738042,True
fl,liftoff,38.422056853,38.710506232,0.288449379,True
fl,landing,39.382073474,40.523137282,1.141063808,True
fl,liftoff,42.261740272,42.542802286,0.281062014,True
fl,landing,43.221867418,44.363068635,1.141201217,True
fl,liftoff,46.101374295,46.382690117,0.281315822,True
fl,landing,47.06114426,48.210786597,1.149642337,True
fl,liftoff,49.94141011,50.226043024,0.284632914,True
fl,landing,50.905538249,52.051718055,1.146179806,True
fl,liftoff,53.782909734,54.065529738,0.282620004,True
fl,landing,54.74134025,55.897338211,1.155997961,True
fl,liftoff,57.621448382,57.912283876,0.290835494,True
fl,landing,58.581247197,59.721129262,1.139882065,True
fl,liftoff,61.46221693,61.743805825,0.281588895,True
fl,landing,62.421084766,63.567612677,1.146527911,True
fl,liftoff,65.301714723,65.577851457,0.276136734,True
fl,landing,66.261352664,67.411276551,1.149923887,True
fl,liftoff,69.141883158,69.419816277,0.277933119,True
fl,landing,70.101575749,71.253214481,1.151638732,True
fl,liftoff,72.981135176,73.260295343,0.279160167,True
fl,landing,73.941468335,75.093308458,1.151840123,True
fl,liftoff,76.822471676,77.100737729,0.278266053,True
fl,landing,77.781764284,78.924737149,1.142972865,True
fl,liftoff,80.661447809,80.948918976,0.287471167,True
fl,landing,81.621608689,82.776426867,1.154818178,True
fl,liftoff,84.501545838,84.795524369,0.293978531,True
fl,landing,85.461025708,86.614918703,1.153892995,True
fl,liftoff,88.342900594,88.629605372,0.286704778,True
fl,landing,89.3022507,90.462313931,1.160063231,True
fl,liftoff,92.18176266,92.466291719,0.284529059,True
fl,landing,93.141174823,94.291835147,1.150660324,True
fl,liftoff,96.021297611,96.307141077,0.285843466,True
fl,landing,96.981165517,98.123739945,1.142574428,True
fl,liftoff,99.861374932,100.142226521,0.280851589,True
fl,landing,100.821260627,,,False
fr,liftoff,1.941303074,2.193565586,0.252262512,True
fr,landing,2.901515693,4.043049015,1.141533322,True
fr,liftoff,5.782456497,6.074790311,0.292333814,True
fr,landing,6.741139736,7.88988869,1.148748954,True
fr,liftoff,9.621197215,9.9108224,0.289625185,True
fr,landing,10.581323925,11.735724756,1.154400831,True
fr,liftoff,13.461380018,13.751465082,0.290085064,True
fr,landing,14.422210887,15.57023147,1.148020583,True
fr,liftoff,17.302045363,17.577471781,0.275426418,True
fr,landing,18.261092108,19.407741332,1.146649224,True
fr,liftoff,21.141131825,21.417397702,0.276265877,True
