leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,0.006254268,1.523665274,1.517411006,True,True
fl,1.834915845,3.001367526,1.166451681,True,True
fl,6.076782147,8.884680948,2.807898801,True,True
fl,11.871088476,14.659688792,2.788600316,True,True
fl,17.648646988,20.411651247,2.763004259,True,True
fl,23.40072996,26.167300296,2.766570336,True,True
fl,29.15869289,31.939298305,2.780605415,True,True
fl,34.906749893,37.688564522,2.781814629,True,True
fl,40.665931777,43.462369563,2.796437786,True,True
fl,46.429092342,49.211097228,2.782004886,True,True
fl,52.185801198,54.975165359,2.789364161,True,True
fl,57.954613978,60.729840855,2.775226877,True,True
fl,63.707819959,66.49781209,2.789992131,True,True
fl,69.46729715,72.253243456,2.785946306,True,True
fl,75.230740362,78.013723645,2.782983283,True,True
fl,80.988802057,83.773484204,2.784682147,True,True
fl,86.755929395,89.534473963,2.778544568,True,True
fl,92.519175351,95.296824051,2.7776487,True,True
fl,98.276213518,101.052242475,2.776028957,True,True
fl,104.029969842,106.806296358,2.776326516,True,True
fl,109.790678522,112.576183328,2.785504806,True,True
fl,115.561361153,118.336861158,2.775500005,True,True
fl,121.313374942,124.100696851,2.787321909,True,True
fl,127.078247349,129.855260552,2.777013203,True,True
fr,1.625759423,1.738476253,0.11271683,False,True
fr,3.199524247,4.499638611,1.300114364,True,True
fr,4.659539311,5.976667668,1.317128357,True,True
fr,8.984827809,11.768820086,2.783992277,True,True
fr,14.756873011,17.546531524,2.789658513,True,True
fr,20.510073902,23.301292662,2.79121876,True,True
fr,26.267568872,29.061254247,2.793685375,True,True
fr,32.037996713,34.808362611,2.770365898,True,True
fr,37.788664072,40.569818299,2.781154227,True,True
fr,43.561774135,46.331554618,2.769780483,True,True
fr,49.310485341,52.097008625,2.786523284,True,True
fr,55.07233977,57.856625821,2.784286051,True,True
fr,60.830027726,63.618150542,2.788122816,True,True
fr,66.599391778,69.364004702,2.764612924,True,True
fr,72.351317919,75.133594689,2.78227677,True,True
fr,78.113454411,80.888167236,2.774712825,True,True
fr,83.870656108,86.656784341,2.786128233,True,True
fr,89.635387863,92.414922046,2.779534183,True,True
fr,95.38527038,98.177977595,2.792707215,True,True
fr,101.152355808,103.939089212,2.786733404,True,True
fr,106.906983374,109.693588636,2.786605262,True,True
fr,112.674244195,115.463804626,2.789560431,True,True
fr,118.434303761,121.216089415,2.781785654,True,True
fr,124.190930275,126.982009615,2.79107934,True,True
fr,129.956355212,,,,False
