leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,landing,1.458756999,1.558717748,0.099960749,True
fl,liftoff,5.778651059,6.205124569,0.42647351,True
fl,landing,7.218534962,8.920060128,1.701525166,True
fl,liftoff,11.539535601,12.00024818,0.460712579,True
fl,landing,12.978515395,14.692845063,1.714329668,True
fl,liftoff,17.298341272,17.773516098,0.475174826,True
fl,landing,18.73854658,20.445348789,1.706802209,True
fl,liftoff,23.058478439,23.526091149,0.46761271,True
fl,landing,24.498488553,26.201293396,1.702804843,True
fl,liftoff,28.8183654,29.279948433,0.461583033,True
fl,landing,30.25867942,31.971245359,1.712565939,True
fl,liftoff,34.580225934,35.031165524,0.45093959,True
fl,landing,36.018178597,37.721939438,1.703760841,True
fl,liftoff,40.338165251,40.788032226,0.449866975,True
fl,landing,41.778141651,43.495842474,1.717700823,True
fl,liftoff,46.098161347,46.552258422,0.454097075,True
fl,landing,47.539662053,49.242884523,1.70322247,True
fl,liftoff,51.861825958,52.307644917,0.445818959,True
fl,landing,53.300036424,55.006760271,1.706723847,True
fl,liftoff,57.618494242,58.075865061,0.457370819,True
fl,landing,59.058722384,60.763727387,1.705005003,True
fl,liftoff,63.386450731,63.829451853,0.443001122,True
fl,landing,64.818477547,66.53101815,1.712540603,True
fl,liftoff,69.138434462,69.598045479,0.459611017,True
fl,landing,70.578577989,72.284580894,1.706002905,True
fl,liftoff,74.899688614,75.360665502,0.460976888,True
fl,landing,76.339381542,78.0462525,1.706870958,True
fl,liftoff,80.658335597,81.109817013,0.451481416,True
fl,landing,82.098301091,83.810238273,1.711937182,True
fl,liftoff,86.418426897,86.885456107,0.46702921,True
fl,landing,87.862156979,89.568581876,1.706424897,True
fl,liftoff,92.178654489,92.640571419,0.46191693,True
fl,landing,93.618091208,95.330499638,1.71240843,True
fl,liftoff,97.938273767,98.397193684,0.458919917,True
fl,landing,99.379015176,101.086178073,1.707162897,True
fl,liftoff,103.698153258,104.152189045,0.454035787,True
fl,landing,105.138451692,106.841337401,1.702885709,True
fl,liftoff,109.458120124,109.912780806,0.454660682,True
fl,landing,110.898991509,112.609235352,1.710243843,True
fl,liftoff,115.218934408,115.683187158,0.46425275,True
fl,landing,116.65866316,118.369622875,1.710959715,True
fl,liftoff,120.97833632,121.434254565,0.455918245,True
fl,landing,122.418110486,124.13485485,1.716744364,True
fl,liftoff,126.738095714,127.199129689,0.461033975,True
fl,landing,128.178631155,129.888868095,1.71023694,True
fr,liftoff,2.898884243,3.320789719,0.421905476,True
fr,landing,4.33836861,4.53425288,0.19588427,True
fr,liftoff,8.658308724,9.10609126,0.447782536,True
fr,landing,10.098439034,11.802452845,1.704013811,True
fr,liftoff,14.418604745,14.879828783,0.461224038,True
fr,landing,15.859119124,17.581673799,1.722554675,True
fr,liftoff,20.178544492,20.63181664,0.453272148,True
fr,landing,21.618124774,23.335361635,1.717236861,True
fr,liftoff,25.938510765,26.39166618,0.453155415,True
fr,landing,27.378486756,29.099539427,1.721052671,True
fr,liftoff,31.698242581,32.169708765,0.471466184,True
fr,landing,33.138246347,34.84139463,1.703148283,True
fr,liftoff,37.459223143,37.905519224,0.446296081,True
fr,landing,38.898703667,40.607241846,1.708538179,True
fr,liftoff,43.218470081,43.692465598,0.473995517,True
fr,landing,44.658200188,46.361463552,1.703263364,True
fr,liftoff,48.978330546,49.432919933,0.454589387,True
fr,landing,50.418312912,52.130517756,1.712204844,True
fr,liftoff,54.738861376,55.20209873,0.463237354,True
fr,landing,56.178208877,57.88860066,1.710391783,True
fr,liftoff,60.498641509,60.954654704,0.456013195,True
fr,landing,61.938279921,63.655264377,1.716984456,True
fr,liftoff,66.258518283,66.724990219,0.466471936,True
fr,landing,67.700156227,69.396204055,1.696047828,True
fr,liftoff,72.01816911,72.474873221,0.456704111,True
fr,landing,73.45842539,75.165905854,1.707480464,True
fr,liftoff,77.778404635,78.242560959,0.464156324,True
fr,landing,79.219116314,80.920946263,1.701829949,True
fr,liftoff,83.538564822,84.0014724,0.462907578,True
fr,landing,84.978497335,86.690024086,1.711526751,True
fr,liftoff,89.29858447,89.767415901,0.468831431,True
