leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,landing,1.458756999,1.523665274,0.064908275,True
fl,liftoff,5.778651059,6.076782147,0.298131088,True
fl,landing,7.218534962,8.884680948,1.666145986,True
fl,liftoff,11.539535601,11.871088476,0.331552875,True
fl,landing,12.978515395,14.659688792,1.681173397,True
fl,liftoff,17.298341272,17.648646988,0.350305716,True
fl,landing,18.73854658,20.411651247,1.673104667,True
fl,liftoff,23.058478439,23.40072996,0.342251521,True
fl,landing,24.498488553,26.167300296,1.668811743,True
fl,liftoff,28.8183654,29.15869289,0.34032749,True
fl,landing,30.25867942,31.939298305,1.680618885,True
fl,liftoff,34.580225934,34.906749893,0.326523959,True
fl,landing,36.018178597,37.688564522,1.670385925,True
fl,liftoff,40.338165251,40.665931777,0.327766526,True
fl,landing,41.778141651,43.462369563,1.684227912,True
fl,liftoff,46.098161347,46.429092342,0.330930995,True
fl,landing,47.539662053,49.211097228,1.671435175,True
fl,liftoff,51.861825958,52.185801198,0.32397524,True
fl,landing,53.300036424,54.975165359,1.675128935,True
fl,liftoff,57.618494242,57.954613978,0.336119736,True
fl,landing,59.058722384,60.729840855,1.671118471,True
fl,liftoff,63.386450731,63.707819959,0.321369228,True
fl,landing,64.818477547,66.49781209,1.679334543,True
fl,liftoff,69.138434462,69.46729715,0.328862688,True
fl,landing,70.578577989,72.253243456,1.674665467,True
fl,liftoff,74.899688614,75.230740362,0.331051748,True
fl,landing,76.339381542,78.013723645,1.674342103,True
fl,liftoff,80.658335597,80.988802057,0.33046646,True
fl,landing,82.098301091,83.773484204,1.675183113,True
fl,liftoff,86.418426897,86.755929395,0.337502498,True
fl,landing,87.862156979,89.534473963,1.672316984,True
fl,liftoff,92.178654489,92.519175351,0.340520862,True
fl,landing,93.618091208,95.296824051,1.678732843,True
fl,liftoff,97.938273767,98.276213518,0.337939751,True
fl,landing,99.379015176,101.052242475,1.673227299,True
fl,liftoff,103.698153258,104.029969842,0.331816584,True
fl,landing,105.138451692,106.806296358,1.667844666,True
fl,liftoff,109.458120124,109.790678522,0.332558398,True
fl,landing,110.898991509,112.576183328,1.677191819,True
fl,liftoff,115.218934408,115.561361153,0.342426745,True
fl,landing,116.65866316,118.336861158,1.678197998,True
fl,liftoff,120.97833632,121.313374942,0.335038622,True
fl,landing,122.418110486,124.100696851,1.682586365,True
fl,liftoff,126.738095714,127.078247349,0.340151635,True
fl,landing,128.178631155,129.855260552,1.676629397,True
fr,liftoff,2.898884243,3.199524247,0.300640004,True
fr,landing,4.33836861,4.499638611,0.161270001,True
fr,liftoff,8.658308724,8.984827809,0.326519085,True
fr,landing,10.098439034,11.768820086,1.670381052,True
fr,liftoff,14.418604745,14.756873011,0.338268266,True
fr,landing,15.859119124,17.546531524,1.6874124,True
fr,liftoff,20.178544492,20.510073902,0.33152941,True
fr,landing,21.618124774,23.301292662,1.683167888,True
fr,liftoff,25.938510765,26.267568872,0.329058107,True
fr,landing,27.378486756,29.061254247,1.682767491,True
fr,liftoff,31.698242581,32.037996713,0.339754132,True
fr,landing,33.138246347,34.808362611,1.670116264,True
fr,liftoff,37.459223143,37.788664072,0.329440929,True
fr,landing,38.898703667,40.569818299,1.671114632,True
fr,liftoff,43.218470081,43.561774135,0.343304054,True
fr,landing,44.658200188,46.331554618,1.67335443,True
fr,liftoff,48.978330546,49.310485341,0.332154795,True
fr,landing,50.418312912,52.097008625,1.678695713,True
fr,liftoff,54.738861376,55.07233977,0.333478394,True
fr,landing,56.178208877,57.856625821,1.678416944,True
fr,liftoff,60.498641509,60.830027726,0.331386217,True
fr,landing,61.938279921,63.618150542,1.679870621,True
fr,liftoff,66.258518283,66.599391778,0.340873495,True
fr,landing,67.700156227,69.364004702,1.663848475,True
fr,liftoff,72.01816911,72.351317919,0.333148809,True
fr,landing,73.45842539,75.133594689,1.675169299,True
fr,liftoff,77.778404635,78.113454411,0.335049776,True
fr,landing,79.219116314,80.888167236,1.669050922,True
fr,liftoff,83.538564822,83.870656108,0.332091286,True
fr,landing,84.978497335,86.656784341,1.678287006,True
fr,liftoff,89.29858447,89.635387863,0.336803393,True
fr,landing,90.741171137,92.414922046,1.673750909,True
fr,liftoff,95.058742983,95.38527038,0.326527397,True
fr,landing,96.498491621,98.177977595,1.679485974,True
fr,liftoff,100.818648712,101.152355808,0.333707096,True
