ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,5.760055111,5.760055111,338,0.015080090071229986,0.002618046143765444,0.002928215272341041,0.008093220734620342,0.22340003246774554,0.2242439723872031,0.22389329648398712,0.5793434691635918,1.2594107398424241,1.2017206240118243,2.5332468537066886,0.0095390517167252,0.48071981371259254
2,5.760055111,11.519961649,5.759906538,338,0.021988112848253305,0.003817442644805169,0.00034426221464929,0.005467663574664088,0.2236478781396086,0.22433192781387631,0.22411669822123434,0.6111880147595103,1.2791071204199114,1.1900063520652608,2.4839291370843757,0.00835361344373542,0.41867898961439676
3,11.519961649,17.280032685,5.760071036,338,0.021761351286600526,0.0037779657838581775,0.0003635430402895237,0.0054238177722229644,0.22366964088712882,0.22432942640795878,0.22412526429742544,0.6128779129782609,1.2816718536021128,1.1880120851690956,2.48411935653371,0.008353572816862331,0.4186770651836127
4,17.280032685,23.040305809,5.760273124,338,0.02217424512862974,0.003849512801092961,0.00027617760722704865,0.005384483001633838,0.22367015162989684,0.22432916513916443,0.22412528133669968,0.6130771541640554,1.2819443937263044,1.1883892319105922,2.483577111631948,0.00836912544719115,0.4216320173009795
5,23.040305809,28.800125202,5.759819393,338,0.022026679826571346,0.003824196267914359,0.00030323391610368225,0.005417674332505739,0.2236701048812315,0.22432912015223827,0.22412555520479796,0.6132343921547017,1.28210201580467,1.188491976551943,2.483339639320333,0.008353462267959744,0.41867706514477165
6,28.800125202,34.559999282,5.75987408,338,0.022176433723648248,0.003850159468008413,0.00027264312704374346,0.005423857715568241,0.22367009279982547,0.2243291605114047,0.2241257810059717,0.6125447286864919,1.2819487328888162,1.187143098894144,2.483720400076036,0.008368799527272763,0.4216714912837712
7,34.559999282,40.319983012,5.75998373,338,0.021979129891859628,0.0038158319401814748,0.0003150218614662535,0.005454097760708622,0.22367000963786576,0.2243291596858173,0.22412558102953245,0.6130367160598452,1.2819789556688532,1.188191814468935,2.4837108010114184,0.008353563637906847,0.41867663037989145
8,40.319983012,46.080018322,5.76003531,338,0.021990199657016485,0.0038177195925933453,0.0003137196222009884,0.005444593875763933,0.22367002062275876,0.2243291680460182,0.22412569678867275,0.612818503027392,1.281812902474439,1.1876942951503628,2.4837113645681734,0.008353572816789057,0.41867706518014564
9,46.080018322,51.840047491,5.760029169,338,0.02164822351684914,0.0037583531058068397,0.00038182511813427414,0.005441780422203536,0.22367001221239444,0.22432915646597137,0.22412586593554587,0.6126839148701142,1.281947705728576,1.187416581382923,2.4843106815080573,0.00835357281678395,0.41867706517989906
10,51.840047491,57.600040621,5.75999313,338,0.02188860304790463,0.0038001092282387203,0.0003307905881090542,0.005376553746302917,0.22366999880365146,0.2243291089019427,0.22412575431463705,0.6128623663585575,1.2821704873389006,1.187772475658602,2.484220226348423,0.00835357281678295,0.41867706517986214
