leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,0.515970067,1.210347595,0.694377528,True,True
fl,1.598624644,2.474994698,0.876370054,True,True
fl,4.830834904,5.743465055,0.912630151,True,True
fl,5.900856196,6.881398638,0.980542442,True,True
fl,9.152473066,10.044291482,0.891818416,True,True
fl,10.234015972,11.218551683,0.984535711,True,True
fl,13.471499895,14.365646037,0.894146142,True,True
fl,14.544874789,15.525672947,0.980798158,True,True
fl,17.782797702,18.69275202,0.909954318,True,True
fl,18.873465935,19.851415899,0.977949964,True,True
fl,22.117207747,23.013109525,0.895901778,True,True
fl,23.189583388,24.173289807,0.983706419,True,True
fl,26.437228809,27.331019195,0.893790386,True,True
fl,27.49951106,28.491036345,0.991525285,True,True
fl,30.754492086,31.656817643,0.902325557,True,True
fl,31.83309442,32.81188918,0.97879476,True,True
fl,35.074384739,35.968917462,0.894532723,True,True
fl,36.15546243,37.130040243,0.974577813,True,True
fl,39.384030884,40.284505249,0.900474365,True,True
fl,40.46569936,41.4608794,0.99518004,True,True
fl,43.719408118,44.602997339,0.883589221,True,True
fl,44.785431408,45.774980531,0.989549123,True,True
fl,48.033623647,48.930014229,0.896390582,True,True
fl,49.115799863,50.092328977,0.976529114,True,True
fl,52.341636376,53.250487009,0.908850633,True,True
fl,53.423485527,54.409241488,0.985755961,True,True
fl,56.655742401,57.558892301,0.9031499,True,True
fl,57.747845789,58.723781391,0.975935602,True,True
fl,60.991276666,61.881098082,0.889821416,True,True
fl,62.068063499,63.054021436,0.985957937,True,True
fl,65.321219885,66.203209609,0.881989724,True,True
fl,66.392366772,67.380231105,0.987864333,True,True
fl,69.630300347,70.528873531,0.898573184,True,True
fl,70.707720044,71.689707357,0.981987313,True,True
fl,73.953885635,74.850007951,0.896122316,True,True
fl,75.029618482,76.011060315,0.981441833,True,True
fl,78.271319696,,,,False
fr,2.670878203,3.583988224,0.913110021,True,True
fr,3.740261911,4.728030622,0.987768711,True,True
fr,6.982945983,7.888843193,0.90589721,True,True
fr,8.065258614,9.052852619,0.987594005,True,True
fr,11.315548271,12.207521702,0.891973431,True,True
fr,12.386465438,13.373752105,0.987286667,True,True
fr,15.62724699,16.52818207,0.90093508,True,True
fr,16.706235024,17.692814166,0.986579142,True,True
fr,19.950676928,20.845054343,0.894377415,True,True
fr,21.031023971,22.016571163,0.985547192,True,True
fr,24.273633123,25.175140673,0.90150755,True,True
fr,25.345993992,26.33399301,0.987999018,True,True
fr,28.590619573,29.487880503,0.89726093,True,True
fr,29.669129405,30.65444936,0.985319955,True,True
fr,32.910115217,33.8114463,0.901331083,True,True
fr,33.991652123,34.975716065,0.984063942,True,True
fr,37.22815868,38.124994893,0.896836213,True,True
fr,38.302674064,39.284882166,0.982208102,True,True
fr,41.549349396,42.449173148,0.899823752,True,True
fr,42.628812625,43.612004653,0.983192028,True,True
fr,45.875740274,46.766038571,0.890298297,True,True
fr,46.94323316,47.934498987,0.991265827,True,True
fr,50.205877514,51.081612893,0.875735379,True,True
fr,51.259187753,52.25309522,0.993907467,True,True
fr,54.499713744,55.409791095,0.910077351,True,True
fr,55.59235275,56.568215473,0.975862723,True,True
fr,58.826035109,59.72476406,0.898728951,True,True
fr,59.905500513,60.890575344,0.985074831,True,True
fr,63.143420396,64.04269606,0.899275664,True,True
fr,64.234968795,65.220640801,0.985672006,True,True
fr,67.469268555,68.374424946,0.905156391,True,True
fr,68.550343384,69.530538779,0.980195395,True,True
fr,71.790360151,72.691943977,0.901583826,True,True
fr,72.869330517,73.853061137,0.98373062,True,True
fr,76.111649253,77.002724896,0.891075643,True,True
fr,77.190098219,78.178929823,0.988831604,True,True
rl,3.752416817,3.907870328,0.155453511,True,True
rl,8.065258614,8.209137772,0.143879158,True,True
rl,12.397280692,12.546872456,0.149591764,True,True
rl,16.706235024,16.848568721,0.142333697,True,True
rl,21.043037847,21.185549272,0.142511425,True,True
rl,25.345993992,25.505317323,0.159323331,True,True
rl,29.669129405,29.812421622,0.143292217,True,True
rl,33.991652123,34.137082366,0.145430243,True,True
rl,38.302674064,38.454751204,0.15207714,True,True
rl,42.637379931,42.77929984,0.141919909,True,True
rl,46.95473013,47.098158652,0.143428522,True,True
rl,51.270664545,51.414358201,0.143693656,True,True
rl,55.59235275,55.738446958,0.146094208,True,True
rl,59.916986611,60.060017422,0.143030811,True,True
rl,64.234968795,64.385001454,0.150032659,True,True
rl,68.550343384,68.700230848,0.149887464,True,True
rl,72.880209712,73.019766262,0.13955655,True,True
rl,77.190098219,77.347681817,0.157583598,True,True
rr,1.598624644,1.75471615,0.156091506,True,True
rr,5.908397631,6.050781016,0.142383385,True,True
rr,10.234015972,10.385647961,0.151631989,True,True
rr,14.544874789,14.685619226,0.140744437,True,True
rr,18.873465935,19.014697798,0.141231863,True,True
rr,23.189583388,23.332418313,0.142834925,True,True
rr,27.49951106,27.656554642,0.157043582,True,True
rr,31.83309442,31.965398845,0.132304425,True,True
rr,36.15546243,36.299827399,0.144364969,True,True
rr,40.475733628,40.620917611,0.145183983,True,True
rr,44.797326534,44.926494588,0.129168054,True,True
rr,49.127247079,49.251387653,0.124140574,True,True
rr,53.423485527,53.567328262,0.143842735,True,True
rr,57.75868452,57.904539791,0.145855271,True,True
rr,62.068063499,62.213635755,0.145572256,True,True
rr,66.392366772,66.524148124,0.131781352,True,True
rr,70.707720044,70.861530531,0.153810487,True,True
rr,75.040835608,75.177833573,0.136997965,True,True
