leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.375418393,0.639512304,0.264093911,True
fl,landing,0.915739997,1.242880196,0.327140199,True
fl,liftoff,4.695182925,4.955214902,0.260031977,True
fl,landing,5.235398031,5.775138393,0.539740362,True
fl,liftoff,9.015966084,9.272667106,0.256701022,True
fl,landing,9.555490236,10.075748448,0.520258212,True
fl,liftoff,13.335261039,13.59161133,0.256350291,True
fl,landing,13.87566854,14.397735921,0.522067381,True
fl,liftoff,17.655604072,17.911223939,0.255619867,True
fl,landing,18.195953327,18.724742073,0.528788746,True
fl,liftoff,21.976052807,22.247277685,0.271224878,True
fl,landing,22.51547437,23.044231159,0.528756789,True
fl,liftoff,26.295810306,26.554285198,0.258474892,True
fl,landing,26.835140901,27.363556031,0.52841513,True
fl,liftoff,30.617996079,30.876652727,0.258656648,True
fl,landing,31.155494534,31.690585672,0.535091138,True
fl,liftoff,34.935657789,35.19656513,0.260907341,True
fl,landing,35.475878015,36.00190581,0.526027795,True
fl,liftoff,39.258957134,39.513398438,0.254441304,True
fl,landing,39.795370406,40.318309612,0.522939206,True
fl,liftoff,43.575336421,43.839488431,0.26415201,True
fl,landing,44.115802403,44.63755056,0.521748157,True
fl,liftoff,47.896975064,48.156824721,0.259849657,True
fl,landing,48.435961741,48.963458094,0.527496353,True
fl,liftoff,52.215194434,52.464634338,0.249439904,True
fl,landing,52.755469662,53.28279519,0.527325528,True
fl,liftoff,56.536977443,56.779096049,0.242118606,True
fl,landing,57.075561049,57.592110856,0.516549807,True
fl,liftoff,60.855628414,61.114157601,0.258529187,True
fl,landing,61.395535108,61.912944272,0.517409164,True
fl,liftoff,65.178127286,65.443050502,0.264923216,True
fl,landing,65.715973242,66.235910449,0.519937207,True
fl,liftoff,69.497620609,69.753084503,0.255463894,True
fl,landing,70.035764586,70.560822753,0.525058167,True
fl,liftoff,73.81505853,74.08482216,0.26976363,True
fl,landing,74.355453115,74.884283892,0.528830777,True
fl,liftoff,78.135704497,78.393382251,0.257677754,True
fl,landing,78.675252296,,,False
fr,liftoff,2.535416992,2.791117821,0.255700829,True
fr,landing,3.075587099,3.617743272,0.542156173,True
fr,liftoff,6.856282878,7.113495749,0.257212871,True
fr,landing,7.395598832,7.921787781,0.526188949,True
fr,liftoff,11.175864387,11.43831095,0.262446563,True
fr,landing,11.71559393,12.240884922,0.525290992,True
fr,liftoff,15.495425267,15.748907429,0.253482162,True
fr,landing,16.035646857,16.564703108,0.529056251,True
fr,liftoff,19.820979574,20.076332657,0.255353083,True
fr,landing,20.355650082,20.877745415,0.522095333,True
fr,liftoff,24.135471703,24.398161917,0.262690214,True
fr,landing,24.677480145,25.211163341,0.533683196,True
fr,liftoff,28.456327039,28.712965629,0.25663859,True
fr,landing,28.997194941,29.522719584,0.525524643,True
fr,liftoff,32.775729927,33.041145755,0.265415828,True
fr,landing,33.315206979,33.847001137,0.531794158,True
fr,liftoff,37.106314931,37.350337024,0.244022093,True
fr,landing,37.635416335,38.159161565,0.52374523,True
fr,liftoff,41.416191388,41.672150472,0.255959084,True
fr,landing,41.955879313,42.483076629,0.527197316,True
fr,liftoff,45.735546886,45.996413067,0.260866181,True
fr,landing,46.275906361,46.799506252,0.523599891,True
fr,liftoff,50.057617328,50.330316532,0.272699204,True
fr,landing,50.596949574,51.116727626,0.519778052,True
fr,liftoff,54.375712873,54.622936267,0.247223394,True
fr,landing,54.915419435,55.441580661,0.526161226,True
fr,liftoff,58.695360333,58.947822043,0.25246171,True
fr,landing,59.23553995,59.758832365,0.523292415,True
fr,liftoff,63.015781533,63.264384222,0.248602689,True
fr,landing,63.555483855,64.077197755,0.5217139,True
fr,liftoff,67.335689898,67.59014042,0.254450522,True
fr,landing,67.875841639,68.406814945,0.530973306,True
fr,liftoff,71.655903579,71.91287857,0.256974991,True
fr,landing,72.19574562,72.725340572,0.529594952,True
fr,liftoff,75.975413706,76.238559262,0.263145556,True
fr,landing,76.515775914,77.034398132,0.518622218,True
rl,liftoff,3.61587599,3.875443389,0.259567399,True
rl,landing,4.155255149,3.941139144,-0.214116005,True
rl,liftoff,7.936966823,8.185922938,0.248956115,True
rl,landing,8.476097837,8.2400472,-0.236050637,True
rl,liftoff,12.255578813,12.523389625,0.267810812,True
rl,landing,12.795422543,12.580640314,-0.214782229,True
rl,liftoff,16.575933639,16.827102528,0.251168889,True
rl,landing,17.115847746,16.882826827,-0.233020919,True
rl,liftoff,20.895692373,21.166749186,0.271056813,True
rl,landing,21.435680599,21.219783801,-0.215896798,True
rl,liftoff,25.21551815,25.474525255,0.259007105,True
rl,landing,25.755297946,25.537156307,-0.218141639,True
rl,liftoff,29.535267601,29.789798759,0.254531158,True
rl,landing,30.075426951,29.845651521,-0.22977543,True
rl,liftoff,33.855390957,34.114724557,0.2593336,True
rl,landing,34.398728442,34.172722625,-0.226005817,True
rl,liftoff,38.176068717,38.43176813,0.255699413,True
rl,landing,38.715338765,38.488256421,-0.227082344,True
rl,liftoff,42.496783631,42.758684547,0.261900916,True
rl,landing,43.035168746,42.812392192,-0.222776554,True
rl,liftoff,46.815718154,47.077039184,0.26132103,True
rl,landing,47.355498974,47.134326854,-0.22117212,True
rl,liftoff,51.135254987,51.391879137,0.25662415,True
rl,landing,51.676193881,51.445258603,-0.230935278,True
rl,liftoff,55.455351252,55.714066971,0.258715719,True
rl,landing,55.997510876,55.772473155,-0.225037721,True
rl,liftoff,59.775526738,60.038005276,0.262478538,True
rl,landing,60.315334763,60.093686891,-0.221647872,True
rl,liftoff,64.095789905,64.362623827,0.266833922,True
rl,landing,64.635317708,64.417714016,-0.217603692,True
rl,liftoff,68.415443444,68.672059046,0.256615602,True
rl,landing,68.955359098,68.727943659,-0.227415439,True
rl,liftoff,72.73551401,73.009054734,0.273540724,True
rl,landing,73.275894254,73.051750018,-0.224144236,True
rl,liftoff,77.055382334,77.314325901,0.258943567,True
rl,landing,77.595589031,77.380873833,-0.214715198,True
rr,liftoff,1.455789522,1.721587048,0.265797526,True
rr,landing,1.995566693,1.788349538,-0.207217155,True
rr,liftoff,5.78146299,6.029068341,0.247605351,True
rr,landing,6.319949578,6.083372296,-0.236577282,True
rr,liftoff,10.095522153,10.363319679,0.267797526,True
rr,landing,10.637292728,10.418467551,-0.218825177,True
rr,liftoff,14.415690135,14.674881981,0.259191846,True
rr,landing,14.955860046,14.716875138,-0.238984908,True
rr,liftoff,18.735951924,18.992956183,0.257004259,True
rr,landing,19.276556114,19.048727991,-0.227828123,True
rr,liftoff,23.055328576,23.310841361,0.255512785,True
rr,landing,23.595345339,23.367229705,-0.228115634,True
rr,liftoff,27.375727574,27.621183711,0.245456137,True
rr,landing,27.91670348,27.68946197,-0.22724151,True
rr,liftoff,31.695593218,31.955378342,0.259785124,True
rr,landing,32.235426884,31.997773752,-0.237653132,True
rr,liftoff,36.015378409,36.276151912,0.260773503,True
rr,landing,36.555926067,36.331838645,-0.224087422,True
rr,liftoff,40.335382648,40.598243164,0.262860516,True
rr,landing,40.875829951,40.654391908,-0.221438043,True
rr,liftoff,44.655388415,,,False
rr,landing,45.20125967,,,False
rr,liftoff,48.975283748,,,False
rr,landing,49.516179317,,,False
rr,liftoff,53.295212465,53.546034746,0.250822281,True
rr,landing,53.835463548,53.600266236,-0.235197312,True
rr,liftoff,57.616082969,57.881820874,0.265737905,True
rr,landing,58.155473877,57.936967856,-0.218506021,True
rr,liftoff,61.936005727,62.19006772,0.254061993,True
rr,landing,62.475548564,62.245859802,-0.229688762,True
rr,liftoff,66.255768509,66.513485818,0.257717309,True
rr,landing,66.795358833,66.557150024,-0.238208809,True
rr,liftoff,70.576289296,70.828301462,0.252012166,True
rr,landing,71.115966112,70.897970056,-0.217996056,True
rr,liftoff,74.89531767,75.168198386,0.272880716,True
rr,landing,75.435026488,75.213235098,-0.22179139,True
