leg,transition,expected_time_s,observed_time_s,delay_s,paired
fl,liftoff,0.375418393,0.515970067,0.140551674,True
fl,landing,0.915739997,1.210347595,0.294607598,True
fl,liftoff,4.695182925,4.830834904,0.135651979,True
fl,landing,5.235398031,5.743465055,0.508067024,True
fl,liftoff,9.015966084,9.152473066,0.136506982,True
fl,landing,9.555490236,10.044291482,0.488801246,True
fl,liftoff,13.335261039,13.471499895,0.136238856,True
fl,landing,13.87566854,14.365646037,0.489977497,True
fl,liftoff,17.655604072,17.782797702,0.12719363,True
fl,landing,18.195953327,18.69275202,0.496798693,True
fl,liftoff,21.976052807,22.117207747,0.14115494,True
fl,landing,22.51547437,23.013109525,0.497635155,True
fl,liftoff,26.295810306,26.437228809,0.141418503,True
fl,landing,26.835140901,27.331019195,0.495878294,True
fl,liftoff,30.617996079,30.754492086,0.136496007,True
fl,landing,31.155494534,31.656817643,0.501323109,True
fl,liftoff,34.935657789,35.074384739,0.13872695,True
fl,landing,35.475878015,35.968917462,0.493039447,True
fl,liftoff,39.258957134,39.384030884,0.12507375,True
fl,landing,39.795370406,40.284505249,0.489134843,True
fl,liftoff,43.575336421,43.719408118,0.144071697,True
fl,landing,44.115802403,44.602997339,0.487194936,True
fl,liftoff,47.896975064,48.033623647,0.136648583,True
fl,landing,48.435961741,48.930014229,0.494052488,True
fl,liftoff,52.215194434,52.341636376,0.126441942,True
fl,landing,52.755469662,53.250487009,0.495017347,True
fl,liftoff,56.536977443,56.655742401,0.118764958,True
fl,landing,57.075561049,57.558892301,0.483331252,True
fl,liftoff,60.855628414,60.991276666,0.135648252,True
fl,landing,61.395535108,61.881098082,0.485562974,True
fl,liftoff,65.178127286,65.321219885,0.143092599,True
fl,landing,65.715973242,66.203209609,0.487236367,True
fl,liftoff,69.497620609,69.630300347,0.132679738,True
fl,landing,70.035764586,70.528873531,0.493108945,True
fl,liftoff,73.81505853,73.953885635,0.138827105,True
fl,landing,74.355453115,74.850007951,0.494554836,True
fl,liftoff,78.135704497,78.271319696,0.135615199,True
fl,landing,78.675252296,,,False
fr,liftoff,2.535416992,2.670878203,0.135461211,True
fr,landing,3.075587099,3.583988224,0.508401125,True
fr,liftoff,6.856282878,6.982945983,0.126663105,True
fr,landing,7.395598832,7.888843193,0.493244361,True
fr,liftoff,11.175864387,11.315548271,0.139683884,True
fr,landing,11.71559393,12.207521702,0.491927772,True
fr,liftoff,15.495425267,15.62724699,0.131821723,True
fr,landing,16.035646857,16.52818207,0.492535213,True
fr,liftoff,19.820979574,19.950676928,0.129697354,True
fr,landing,20.355650082,20.845054343,0.489404261,True
fr,liftoff,24.135471703,24.273633123,0.13816142,True
fr,landing,24.677480145,25.175140673,0.497660528,True
fr,liftoff,28.456327039,28.590619573,0.134292534,True
fr,landing,28.997194941,29.487880503,0.490685562,True
fr,liftoff,32.775729927,32.910115217,0.13438529,True
fr,landing,33.315206979,33.8114463,0.496239321,True
fr,liftoff,37.106314931,37.22815868,0.121843749,True
fr,landing,37.635416335,38.124994893,0.489578558,True
fr,liftoff,41.416191388,41.549349396,0.133158008,True
fr,landing,41.955879313,42.449173148,0.493293835,True
fr,liftoff,45.735546886,45.875740274,0.140193388,True
fr,landing,46.275906361,46.766038571,0.49013221,True
fr,liftoff,50.057617328,50.205877514,0.148260186,True
fr,landing,50.596949574,51.081612893,0.484663319,True
fr,liftoff,54.375712873,54.499713744,0.124000871,True
fr,landing,54.915419435,55.409791095,0.49437166,True
fr,liftoff,58.695360333,58.826035109,0.130674776,True
fr,landing,59.23553995,59.72476406,0.48922411,True
fr,liftoff,63.015781533,63.143420396,0.127638863,True
fr,landing,63.555483855,64.04269606,0.487212205,True
fr,liftoff,67.335689898,67.469268555,0.133578657,True
fr,landing,67.875841639,68.374424946,0.498583307,True
fr,liftoff,71.655903579,71.790360151,0.134456572,True
fr,landing,72.19574562,72.691943977,0.496198357,True
fr,liftoff,75.975413706,76.111649253,0.136235547,True
fr,landing,76.515775914,77.002724896,0.486948982,True
rl,liftoff,3.61587599,3.752416817,0.136540827,True
rl,landing,4.155255149,3.907870328,-0.247384821,True
rl,liftoff,7.936966823,8.065258614,0.128291791,True
rl,landing,8.476097837,8.209137772,-0.266960065,True
rl,liftoff,12.255578813,12.397280692,0.141701879,True
rl,landing,12.795422543,12.546872456,-0.248550087,True
rl,liftoff,16.575933639,16.706235024,0.130301385,True
rl,landing,17.115847746,16.848568721,-0.267279025,True
rl,liftoff,20.895692373,21.043037847,0.147345474,True
rl,landing,21.435680599,21.185549272,-0.250131327,True
rl,liftoff,25.21551815,25.345993992,0.130475842,True
rl,landing,25.755297946,25.505317323,-0.249980623,True
rl,liftoff,29.535267601,29.669129405,0.133861804,True
rl,landing,30.075426951,29.812421622,-0.263005329,True
rl,liftoff,33.855390957,33.991652123,0.136261166,True
rl,landing,34.398728442,34.137082366,-0.261646076,True
rl,liftoff,38.176068717,38.302674064,0.126605347,True
rl,landing,38.715338765,38.454751204,-0.260587561,True
rl,liftoff,42.496783631,42.637379931,0.1405963,True
rl,landing,43.035168746,42.77929984,-0.255868906,True
rl,liftoff,46.815718154,46.95473013,0.139011976,True
rl,landing,47.355498974,47.098158652,-0.257340322,True
rl,liftoff,51.135254987,51.270664545,0.135409558,True
rl,landing,51.676193881,51.414358201,-0.26183568,True
rl,liftoff,55.455351252,55.59235275,0.137001498,True
rl,landing,55.997510876,55.738446958,-0.259063918,True
rl,liftoff,59.775526738,59.916986611,0.141459873,True
rl,landing,60.315334763,60.060017422,-0.255317341,True
rl,liftoff,64.095789905,64.234968795,0.13917889,True
rl,landing,64.635317708,64.385001454,-0.250316254,True
rl,liftoff,68.415443444,68.550343384,0.13489994,True
rl,landing,68.955359098,68.700230848,-0.25512825,True
rl,liftoff,72.73551401,72.880209712,0.144695702,True
rl,landing,73.275894254,73.019766262,-0.256127992,True
rl,liftoff,77.055382334,77.190098219,0.134715885,True
rl,landing,77.595589031,77.347681817,-0.247907214,True
rr,liftoff,1.455789522,1.598624644,0.142835122,True
rr,landing,1.995566693,1.75471615,-0.240850543,True
rr,liftoff,5.78146299,5.908397631,0.126934641,True
rr,landing,6.319949578,6.050781016,-0.269168562,True
rr,liftoff,10.095522153,10.234015972,0.138493819,True
