ciclo,inicio_s,fin_s,duracion_observada_s,muestras,avance_m,velocidad_media_m_s,deriva_lateral_m,excursion_lateral_m,altura_min_m,altura_max_m,altura_media_m,roll_rms_deg,roll_max_abs_deg,pitch_rms_deg,pitch_max_abs_deg,salto_articular_max_rad,velocidad_articular_max_rad_s
1,0.0,4.320121393,4.320121393,252,0.015429312619741588,0.003571499783488049,0.002477396687325663,0.006089856736792563,0.2223558245732608,0.22434330980315603,0.22399002572361926,0.8393493595055929,2.097444699933807,1.6897926685924998,4.161718505734867,0.019627430071662677,0.9871601995303765
2,4.320121393,8.639858092,4.319736699,252,0.023567148081185686,0.005455690872696333,0.0007192126582799383,0.007166568957956471,0.22368651910232284,0.2243586122279858,0.22420145514335638,0.8540412594772938,2.1059174838985317,1.7061770606209463,4.200783628359425,0.019710827476852155,0.9870838026077622
3,8.639858092,12.95961259,4.319754498,253,0.023497377262501555,0.005439516822861251,0.0008019806273634224,0.007178438361163681,0.22368595168109534,0.22436674823121217,0.22419946243222214,0.8464742945840604,2.0951947712168804,1.69434601993369,4.164077614547134,0.019627209786528654,0.9870878067721931
4,12.95961259,17.280022774,4.320410184,253,0.023919424744786713,0.005536378196998231,0.0005376769649582526,0.0072733068968719086,0.22369375836925876,0.22436499766721016,0.22420368129295512,0.851718052708111,2.1039834482985635,1.7019905324990894,4.166696687545312,0.019627080859679125,0.9870905767734177
5,17.280022774,21.599771796,4.319749022,253,0.023658826859108292,0.005476898481512821,0.000718508683499887,0.007195173917213966,0.223698819765785,0.22436622782332466,0.22420415312951217,0.8464616501957672,2.0909207139811077,1.6960998048931857,4.168402337428125,0.019607628215963957,0.987089267928887
6,21.599771796,25.919912765,4.320140969,253,0.024008796707110883,0.005557410482526059,0.0005369766328671664,0.007185390220959763,0.22369285567038508,0.2243590662438368,0.2242022797321944,0.8419829214631049,2.083201594308373,1.685242784423755,4.167833408780338,0.019682460810951707,0.9902307446960068
7,25.919912765,30.239742481,4.319829716,253,0.023304960166095817,0.005394879358271403,0.0007927045036742316,0.00708009610741937,0.22371084278372372,0.2243628154899789,0.2242076952440544,0.8521922814125156,2.099246285748677,1.7026726503160798,4.169450205778938,0.019627128858235032,0.9870856680474365
8,30.239742481,34.55969433,4.319951849,253,0.022950456965000282,0.005312664994243616,0.0009289646811834248,0.007208917190444466,0.2237006124817809,0.22436229777200142,0.2242086916204094,0.8506077662808518,2.100798611475531,1.6993303741585204,4.164726088534397,0.019627175333448932,0.9756322893852156
9,34.55969433,38.880018873,4.320324543,254,0.024305465428279466,0.005625842500110406,0.00039225634232695813,0.007426368972291536,0.22370540760869453,0.22436327993824406,0.22420776198102296,0.8436339991170025,2.098132059299322,1.6861962553512473,4.155509394106205,0.019627125920741118,0.9756299487835745
10,38.880018873,43.199830961,4.319812088,253,0.023126186150939365,0.005353516699298464,0.0009662873542279956,0.007143169834027205,0.22367825214373363,0.22436580082729224,0.22419739274188194,0.8463860998711925,2.0927835148190828,1.6957194186393303,4.161324770474214,0.019627187454531625,0.9756328634188247
11,43.199830961,47.519757994,4.319927033,254,0.02423882721284218,0.005610934404141863,0.0004929560808389797,0.007388102620290684,0.2236917199847383,0.22436019330765536,0.2241985187111112,0.8478560288606248,2.093898933210407,1.6989722671164225,4.168659700695147,0.01925406906793703,0.9870863243227208
12,47.519757994,51.839758632,4.320000638,253,0.024004334975754882,0.005556558201544155,0.0005917880713180402,0.007184041092680364,0.22368762232321676,0.22435658053043006,0.2241974782908878,0.8470691317913904,2.091885982263504,1.6975246692482422,4.163703851339887,0.01962724261194504,0.9756354762569457
13,51.839758632,56.159787334,4.320028702,253,0.02300234795932049,0.005324582206750461,0.0008780994026546278,0.007112977436504625,0.2237162085402042,0.22436621219671524,0.2242100193809347,0.8556766217721864,2.1045042173145507,1.7060619771170618,4.169526375285215,0.019711480748665133,0.9900301689663322
14,56.159787334,60.479736571,4.319949237,253,0.023668150060022042,0.00547880281955777,0.0007127439048030147,0.007320367139813483,0.2236792134530324,0.2243609738540132,0.22420109492153847,0.8461887161186471,2.097895888413369,1.6941029927288276,4.167290881792847,0.019607781001134916,0.9870890928377327
15,60.479736571,64.799690308,4.319953737,254,0.023983928475799776,0.005551894750719127,0.0005869983601774816,0.007323716827280497,0.22370470261004896,0.2243613340741915,0.22420174303269066,0.8466843405313436,2.0942634078225346,1.6948891342269836,4.170871163895447,0.01960762161782026,0.9870888821991113
16,64.799690308,69.11964221,4.319951902,253,0.02317045691746683,0.00536359141099225,0.0009050465175917764,0.007182725614219283,0.22369597808933028,0.22435644979164993,0.2241999506717035,0.8514543769886578,2.0981566830841327,1.7033876307896236,4.167331098136843,0.019627204537870147,0.9756336727056512
17,69.11964221,73.439786866,4.320144656,254,0.02438479307373298,0.005644439021241186,0.0004202072584629773,0.007397898566863723,0.223692429410157,0.22435934014337722,0.22420056316293102,0.8469718003004583,2.09263124202998,1.6950000536270604,4.161840559829765,0.019627356392767914,0.9756408658765514
18,73.439786866,77.759733357,4.319946491,253,0.02323282044698427,0.005378034310236615,0.0009015641026838411,0.007139562699369625,0.22369385016787843,0.22436541777301863,0.22419985507143123,0.8447163181512,2.0900867283497693,1.693036978957457,4.164759824841719,0.019607998508289426,0.9870993958767329
