leg,start_time_s,end_time_s,duration_s,exceeds_off_debounce,bounded_by_recontact
fl,0.006823317,0.247880381,0.241057064,True,True
fl,0.545073992,1.245635046,0.700561054,True,True
fl,1.606437045,2.509691879,0.903254834,True,True
fl,4.767965118,5.733597257,0.965632139,True,True
fl,5.917689867,6.766505745,0.848815878,True,True
fl,9.054643511,10.055584159,1.000940648,True,True
fl,10.231262694,11.093187873,0.861925179,True,True
fl,13.394373449,14.373111132,0.978737683,True,True
fl,14.55362818,15.396988712,0.843360532,True,True
fl,17.716304966,18.69262518,0.976320214,True,True
fl,18.868229101,19.739597503,0.871368402,True,True
fl,22.03843012,23.010148277,0.971718157,True,True
fl,23.191557418,24.060579167,0.869021749,True,True
fl,26.346783004,27.32965854,0.982875536,True,True
fl,27.510156087,28.374721515,0.864565428,True,True
fl,30.680825564,31.65371611,0.972890546,True,True
fl,31.8325655,32.694548469,0.861982969,True,True
fl,34.999203179,35.985198004,0.985994825,True,True
fl,36.145796888,37.018651519,0.872854631,True,True
fl,39.332137241,40.287133578,0.954996337,True,True
fl,40.461469033,41.328516389,0.867047356,True,True
fl,43.628134419,44.627763626,0.999629207,True,True
fl,44.781454761,45.653868973,0.872414212,True,True
fl,47.962805526,48.948417541,0.985612015,True,True
fl,49.113006533,49.957823727,0.844817194,True,True
fl,52.268114069,53.253941854,0.985827785,True,True
fl,53.428729339,54.289087179,0.86035784,True,True
fl,56.595747089,57.558352134,0.962605045,True,True
fl,57.747718473,58.620670188,0.872951715,True,True
fl,60.908339526,61.899030005,0.990690479,True,True
fl,62.068015011,62.934023656,0.866008645,True,True
fl,65.235953168,66.211483966,0.975530798,True,True
fl,66.388677014,67.249162183,0.860485169,True,True
fl,69.542696808,70.52981552,0.987118712,True,True
fl,70.70632789,71.562374222,0.856046332,True,True
fl,73.875349492,74.860637706,0.985288214,True,True
fl,75.025366714,75.881306658,0.855939944,True,True
fl,78.203787554,79.174654805,0.970867251,True,True
fr,2.651166436,3.561902579,0.910736143,True,True
fr,3.749073528,4.621018498,0.87194497,True,True
fr,6.923427218,7.896123695,0.972696477,True,True
fr,8.073292949,8.945566772,0.872273823,True,True
fr,11.229376346,12.214754394,0.985378048,True,True
fr,12.389678402,13.253121276,0.863442874,True,True
fr,15.596903925,16.541173063,0.944269138,True,True
fr,16.71883766,17.549582472,0.830744812,True,True
fr,19.878475547,20.856312624,0.977837077,True,True
fr,21.021524712,21.895143754,0.873619042,True,True
fr,24.1952617,25.182849668,0.987587968,True,True
fr,25.350351262,26.204538508,0.854187246,True,True
fr,28.526118128,29.493580658,0.96746253,True,True
fr,29.669059509,30.532510466,0.863450957,True,True
fr,32.841778165,33.813446145,0.97166798,True,True
fr,33.993843611,34.853409447,0.859565836,True,True
fr,37.179921922,38.136380117,0.956458195,True,True
fr,38.312342498,39.177101042,0.864758544,True,True
fr,41.478609505,42.45153225,0.972922745,True,True
fr,42.628812891,43.484838581,0.85602569,True,True
fr,45.830432288,46.771159743,0.940727455,True,True
fr,46.944803048,47.82210781,0.877304762,True,True
fr,50.118113142,51.088169332,0.97005619,True,True
fr,51.270520254,52.122698457,0.852178203,True,True
fr,54.462094279,55.42261021,0.960515931,True,True
fr,55.593501841,56.467711668,0.874209827,True,True
fr,58.731679188,59.732808091,1.001128903,True,True
fr,59.902902133,60.773481701,0.870579568,True,True
fr,63.067898002,64.059930493,0.992032491,True,True
fr,64.225790241,65.089378629,0.863588388,True,True
fr,67.407010709,68.3819682,0.974957491,True,True
fr,68.560789765,69.424293235,0.86350347,True,True
fr,71.695029421,72.695203053,1.000173632,True,True
fr,72.867306008,73.733922214,0.866616206,True,True
fr,76.055465327,77.012538642,0.957073315,True,True
fr,77.189041792,78.048267082,0.85922529,True,True
rl,3.749073528,4.048070786,0.298997258,True,True
rl,8.062351558,8.367863517,0.305511959,True,True
rl,12.389678402,12.700138901,0.310460499,True,True
rl,16.709582717,17.016899911,0.307317194,True,True
rl,21.032582813,21.330375613,0.2977928,True,True
rl,25.350351262,25.66053,0.310178738,True,True
rl,29.669059509,29.96888235,0.299822841,True,True
rl,33.982789057,34.293946229,0.311157172,True,True
rl,38.312342498,38.607696979,0.295354481,True,True
rl,42.628812891,42.92555417,0.296741279,True,True
rl,46.944803048,47.253495063,0.308692015,True,True
rl,51.270520254,51.571675019,0.301154765,True,True
rl,55.593501841,55.889714113,0.296212272,True,True
rl,59.902902133,60.204334769,0.301432636,True,True
rl,64.23667273,64.526841995,0.290169265,True,True
rl,68.54916858,68.848149527,0.298980947,True,True
rl,72.867306008,73.167651352,0.300345344,True,True
rl,77.189041792,77.494320747,0.305278955,True,True
rr,1.606437045,1.880351925,0.27391488,True,True
rr,5.902024447,6.207960368,0.305935921,True,True
rr,10.231262694,10.533537242,0.302274548,True,True
rr,14.55362818,14.883976298,0.330348118,True,True
rr,18.868229101,19.173547156,0.305318055,True,True
rr,23.191557418,23.486027978,0.29447056,True,True
rr,27.510156087,27.808996363,0.298840276,True,True
rr,31.8325655,32.1367849,0.3042194,True,True
rr,36.145796888,36.447530879,0.301733991,True,True
rr,40.461469033,40.76186436,0.300395327,True,True
rr,44.781454761,45.091111981,0.30965722,True,True
rr,49.113006533,49.461086841,0.348080308,True,True
rr,53.428729339,53.733325688,0.304596349,True,True
rr,57.747718473,58.044842847,0.297124374,True,True
rr,62.068015011,62.36919083,0.301175819,True,True
rr,66.388677014,66.691007373,0.302330359,True,True
rr,70.70632789,71.004406931,0.298079041,True,True
rr,75.025366714,75.324724299,0.299357585,True,True
